actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-28T00:44:05.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-28T00:44:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-28T00:44:09.8Z,1,REGULAR,jumpball,recovered,[],1630230,,,1610612742,0,0,2024-11-28T00:44:09Z,40000,False,,,0,,Jump Ball D. Lively II vs. K. Towns: Tip to N. Marshall,"[1630230, 1641726, 1626157]",1610612742.0,DAL,startperiod,N. Marshall,1630230.0,Marshall,N. Marshall,Lively II,1641726.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-28T00:44:21.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629023,91.27792378449409,57.84313725490197,1610612742,0,0,2024-11-28T00:44:26Z,70000,False,39.0,29.0,1,right,MISS P. Washington turnaround bank Hook,[1629023],1610612742.0,DAL,turnaround bank,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,4.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-11-28T00:44:23.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,0,2024-11-28T00:44:26Z,80000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-11-28T00:44:29.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628969,13.272010512483574,63.99356617647059,1610612752,0,2,2024-11-28T00:45:11Z,90000,False,-70.0,72.0,1,left,M. Bridges 10' running pullup Jump Shot (2 PTS),[1628969],1610612752.0,NYK,running pullup,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Left,10.06,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M24.00S,2024-11-28T00:44:40.4Z,1,REGULAR,3pt,Jump Shot,[],1630230,95.6143232588699,96.81372549019608,1610612742,0,2,2024-11-28T00:44:45Z,100000,False,234.0,-11.0,1,right,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,23.44,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-11-28T00:44:43.4Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,2,2024-11-28T00:44:45Z,110000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M17.00S,2024-11-28T00:44:47.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628404,11.645860709592641,40.931372549019606,1610612752,0,2,2024-11-28T00:46:37Z,120000,False,45.0,57.0,1,left,MISS J. Hart 7' running Layup,[1628404],1610612752.0,NYK,running,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,7.28,Missed,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2024-11-28T00:44:49.7Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,0,2,2024-11-28T00:44:54Z,130000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M07.00S,2024-11-28T00:44:57.8Z,1,REGULAR,3pt,Jump Shot,[],1630230,71.69842312746385,22.794117647058822,1610612742,0,2,2024-11-28T00:45:01Z,140000,False,-136.0,214.0,1,right,MISS N. Marshall 25' 3PT,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,25.31,Missed,,,,,,,,,,,,,,,,,,
