actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-28T01:40:44.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-28T01:40:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-28T01:40:46.9Z,1,REGULAR,jumpball,recovered,[],1642354,,,1610612766,0,0,2025-02-28T01:40:46Z,40000,False,,,0,,Jump Ball M. Williams vs. M. Brown: Tip to K. Simpson,"[1642354, 1631109, 1629650]",1610612766.0,CHA,startperiod,K. Simpson,1642354.0,Simpson,K. Simpson,Williams,1631109.0,Brown,1629650.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-02-28T01:40:56.5Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,0,0,2025-02-28T01:41:12Z,70000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 1629650]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,1.0,Brown,1629650.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-02-28T01:40:56.5Z,1,REGULAR,steal,,[],1629650,,,1610612742,0,0,2025-02-28T01:40:58Z,80000,False,,,0,,M. Brown STEAL (1 STL),[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2025-02-28T01:40:59.3Z,1,REGULAR,foul,personal,[],1631109,,,1610612742,0,0,2025-02-28T01:41:24Z,90000,False,,,0,,M. Williams personal FOUL (1 PF),"[1631109, 1631108]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Mid-Range,8-16 Center,,,,202056.0,1.0,0.0,Christie,1631108.0,,,,,,,,,,,,
11,PT11M36.00S,2025-02-28T01:41:36.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202691,22.158344283837057,61.274509803921575,1610612742,0,0,2025-02-28T01:41:40Z,110000,False,-56.0,156.0,1,left,MISS K. Thompson 16' Jump Shot,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,16.57,Missed,,,,,,,,,,
12,PT11M34.00S,2025-02-28T01:41:38.4Z,1,REGULAR,rebound,defensive,[],1642354,,,1610612766,0,0,2025-02-28T01:41:40Z,120000,False,,,0,,K. Simpson REBOUND (Off:0 Def:1),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M22.00S,2025-02-28T01:41:50.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,90.22667542706965,40.931372549019606,1610612766,0,0,2025-02-28T01:42:31Z,130000,False,-45.0,39.0,1,right,MISS M. Williams 6' cutting Layup,[1631109],1610612766.0,CHA,cutting,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,6.0,Missed,,,,,,,,,,
14,PT11M21.00S,2025-02-28T01:41:51.2Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,0,0,2025-02-28T01:41:59Z,140000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,
15,PT11M15.00S,2025-02-28T01:41:57.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630182,82.21090670170827,93.62745098039215,1610612766,0,0,2025-02-28T01:42:04Z,150000,False,218.0,115.0,1,right,MISS J. Green 24' 3PT,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,24.64,Missed,,,,,,,,,,
16,PT11M15.00S,2025-02-28T01:41:57.2Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,0,0,2025-02-28T01:42:04Z,160000,False,,,0,,M. Williams REBOUND (Off:2 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,15.0,2.0,0.0,2.0,,,,,,
17,PT11M10.00S,2025-02-28T01:42:02.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631109,92.85479632063075,46.568627450980394,1610612766,0,0,2025-02-28T01:42:08Z,170000,False,-17.0,15.0,1,right,MISS M. Williams reverse Layup,[1631109],1610612766.0,CHA,reverse,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,2.26,Missed,,,,,,,,,,
18,PT11M08.00S,2025-02-28T01:42:04.1Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,0,0,2025-02-28T01:42:08Z,180000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M59.00S,2025-02-28T01:42:13.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,14.536793692509855,42.40196078431372,1610612742,0,0,2025-02-28T01:42:19Z,190000,False,38.0,84.0,1,left,MISS N. Marshall 9' driving floating Shot,[1630230],1610612742.0,DAL,driving floating,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,9.23,Missed,,,,,,,,,,
20,PT10M55.00S,2025-02-28T01:42:17.1Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,0,0,2025-02-28T01:42:19Z,200000,False,,,0,,M. Williams REBOUND (Off:2 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,19.0,3.0,1.0,2.0,,,,,,
21,PT10M46.00S,2025-02-28T01:42:30.4Z,1,REGULAR,foul,offensive,[],1631109,,,1610612766,0,0,2025-02-28T01:42:40Z,210000,False,,,0,,M. Williams off-the-ball offensive FOUL (2 PF),"[1631109, 202691]",1610612766.0,CHA,off-the-ball,,,Williams,M. Williams,,,,,Above the Break 3,24+ Center,,,,1204.0,2.0,0.0,Thompson,202691.0,,,,,,,,,,,,
23,PT10M46.00S,2025-02-28T01:42:30.4Z,1,REGULAR,turnover,offensive foul,[],1631109,,,1610612766,0,0,2025-02-28T01:42:30Z,230000,False,,,0,,M. Williams offensive foul TURNOVER (1 TO),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Center,1.0,,,1204.0,,,,,,,,,,,,,,,,
24,PT10M26.00S,2025-02-28T01:43:00.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629650,5.469776609724048,48.529411764705884,1610612742,2,0,2025-02-28T01:48:57Z,240000,False,7.0,-1.0,1,left,M. Brown DUNK (2 PTS),[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,0.75,Made,,,,,2.0,,,,,
26,PT10M15.00S,2025-02-28T01:43:11.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631109,81.15965834428384,52.450980392156865,1610612766,2,0,2025-02-28T01:43:20Z,260000,False,12.0,125.0,1,right,MISS M. Williams 12' floating Shot,[1631109],1610612766.0,CHA,floating,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,12.52,Missed,,,,,,,,,,
27,PT10M13.00S,2025-02-28T01:43:12.9Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,2,0,2025-02-28T01:43:12Z,270000,False,,,0,,M. Williams REBOUND (Off:3 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,26.0,4.0,1.0,3.0,,,,,,
28,PT10M10.00S,2025-02-28T01:43:15.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,74.77003942181341,83.84650735294117,1610612766,2,0,2025-02-28T01:43:25Z,280000,False,169.0,185.0,1,right,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.05,Missed,,,,,,,,,,
29,PT10M06.00S,2025-02-28T01:43:19.7Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,2,0,2025-02-28T01:43:25Z,290000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,
30,PT09M59.00S,2025-02-28T01:43:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629650,6.521024967148489,46.32352941176471,1610612742,4,0,2025-02-28T01:43:31Z,300000,False,18.0,9.0,1,left,M. Brown cutting Layup (4 PTS) (N. Marshall 1 AST),"[1629650, 1630230]",1610612742.0,DAL,cutting,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,2.04,Made,,,,,4.0,N. Marshall,1630230.0,1.0,,
32,PT09M37.00S,2025-02-28T01:43:48.6Z,1,REGULAR,3pt,Jump Shot,[],1641733,67.62483574244416,41.66666666666667,1610612766,4,0,2025-02-28T01:43:53Z,320000,False,-42.0,252.0,1,right,MISS N. Smith Jr. 25' 3PT,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,25.52,Missed,,,,,,,,,,
33,PT09M35.00S,2025-02-28T01:43:50.6Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,4,0,2025-02-28T01:43:53Z,330000,False,,,0,,N. Marshall REBOUND (Off:0 Def:2),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Center,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,
34,PT09M26.00S,2025-02-28T01:44:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,17.0335085413929,41.42156862745098,1610612742,4,0,2025-02-28T01:44:04Z,340000,False,43.0,108.0,1,left,MISS K. Irving 11' fadeaway Shot,[202681],1610612742.0,DAL,fadeaway,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,11.58,Missed,,,,,,,,,,
35,PT09M23.00S,2025-02-28T01:44:03.0Z,1,REGULAR,rebound,defensive,[],1642354,,,1610612766,4,0,2025-02-28T01:44:04Z,350000,False,,,0,,K. Simpson REBOUND (Off:0 Def:2),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,
36,PT09M14.00S,2025-02-28T01:44:11.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641733,82.91721419185282,34.692861519607845,1610612766,4,2,2025-02-28T01:45:25Z,360000,False,-77.0,108.0,1,right,N. Smith Jr. 13' driving floating Jump Shot (2 PTS),[1641733],1610612766.0,CHA,driving floating,,,Smith Jr.,N. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,13.24,Made,,,,,2.0,,,,,
37,PT09M00.00S,2025-02-28T01:44:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631108,10.988830486202366,46.568627450980394,1610612742,6,2,2025-02-28T01:44:34Z,370000,False,17.0,51.0,1,left,M. Christie driving floating Jump Shot (2 PTS),[1631108],1610612742.0,DAL,driving floating,,,Christie,M. Christie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.36,Made,,,,,2.0,,,,,
38,PT08M43.00S,2025-02-28T01:44:42.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,82.7365308804205,56.61764705882353,1610612766,6,2,2025-02-28T01:44:46Z,380000,False,33.0,110.0,1,right,MISS M. Bridges 11' turnaround fadeaway Shot,[1628970],1610612766.0,CHA,turnaround fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,11.47,Missed,,,,,,,,,,
39,PT08M41.00S,2025-02-28T01:44:44.5Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612742,6,2,2025-02-28T01:44:46Z,390000,False,,,0,,M. Brown REBOUND (Off:0 Def:1),[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,
40,PT08M30.00S,2025-02-28T01:44:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,7.5722733245729295,58.333333333333336,1610612742,8,2,2025-02-28T01:45:03Z,400000,False,-42.0,19.0,1,left,K. Thompson driving Layup (2 PTS) (M. Christie 1 AST),"[202691, 1631108]",1610612742.0,DAL,driving,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,4.57,Made,,,,,2.0,M. Christie,1631108.0,1.0,,
41,PT08M30.00S,2025-02-28T01:45:00.7Z,1,REGULAR,foul,personal,['1freethrow'],1641733,,,1610612742,8,2,2025-02-28T01:45:14Z,410000,False,,,0,,N. Smith Jr. shooting personal FOUL (1 PF) (Thompson 1 FT),"[1641733, 202691]",1610612766.0,CHA,shooting,,,Smith Jr.,N. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1204.0,1.0,0.0,Thompson,202691.0,,,,,,,,,,,,
43,PT08M30.00S,2025-02-28T01:45:07.1Z,1,REGULAR,substitution,out,[],1631109,,,1610612742,8,2,2025-02-28T01:45:12Z,430000,False,,,0,,SUB out: M. Williams,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M30.00S,2025-02-28T01:45:07.1Z,1,REGULAR,substitution,in,[],201959,,,1610612742,8,2,2025-02-28T01:45:12Z,440000,False,,,0,,SUB in: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M30.00S,2025-02-28T01:45:32.6Z,1,REGULAR,freethrow,1 of 1,[],202691,,,1610612742,9,2,2025-02-28T01:45:32Z,450000,False,,,0,,K. Thompson Free Throw 1 of 1 (3 PTS),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,Made,,,,,3.0,,,,,
46,PT08M17.00S,2025-02-28T01:45:47.2Z,1,REGULAR,3pt,Jump Shot,[],1630182,89.83245729303549,94.6078431372549,1610612766,9,5,2025-02-28T01:45:51Z,460000,False,223.0,43.0,1,right,J. Green 3PT  (3 PTS) (M. Bridges 1 AST),"[1630182, 1628970]",1610612766.0,CHA,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,,,,,22.71,Made,,,,,3.0,M. Bridges,1628970.0,1.0,,
48,PT08M01.00S,2025-02-28T01:46:03.4Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612742,9,5,2025-02-28T01:59:11Z,480000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 1642354]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,1.0,Simpson,1642354.0,,,,,,,,,,,,,,,,,
49,PT08M01.00S,2025-02-28T01:46:03.4Z,1,REGULAR,steal,,[],1642354,,,1610612766,9,5,2025-02-28T01:46:06Z,490000,False,,,0,,K. Simpson STEAL (1 STL),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M46.00S,2025-02-28T01:46:17.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642354,83.52496714848883,57.59803921568627,1610612766,9,7,2025-02-28T01:46:21Z,500000,False,38.0,102.0,1,right,K. Simpson 10' turnaround fadeaway Jump Shot (2 PTS),[1642354],1610612766.0,CHA,turnaround fadeaway,,,Simpson,K. Simpson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,10.92,Made,,,,,2.0,,,,,
51,PT07M31.00S,2025-02-28T01:46:33.2Z,1,REGULAR,3pt,Jump Shot,[],1631108,26.888961892247043,79.41176470588235,1610612742,12,7,2025-02-28T01:46:37Z,510000,False,-147.0,200.0,1,left,M. Christie 24' 3PT  (5 PTS) (N. Marshall 2 AST),"[1631108, 1630230]",1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,24.85,Made,,,,,5.0,N. Marshall,1630230.0,2.0,,
53,PT07M30.00S,2025-02-28T01:46:38.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,12,7,2025-02-28T01:46:38Z,530000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
