actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-13T02:44:08.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-13T02:44:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-13T02:44:11.1Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2025-02-13T02:44:11Z,40000,False,,,0,,Jump Ball Q. Post vs. O. Prosper: Tip to D. Green,"[203110, 1642366, 1641765]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Post,1642366.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-02-13T02:44:23.9Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,0,0,2025-02-13T02:44:29Z,70000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1631108]",1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,1.0,Christie,1631108.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-02-13T02:44:23.9Z,1,REGULAR,steal,,[],1631108,,,1610612742,0,0,2025-02-13T02:44:29Z,80000,False,,,0,,M. Christie STEAL (1 STL),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2025-02-13T02:44:41.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641765,4.28712220762155,51.71568627450981,1610612742,2,0,2025-02-13T02:44:47Z,90000,False,-9.0,-12.0,1,left,O. Prosper reverse Layup (2 PTS) (K. Thompson 1 AST),"[1641765, 202691]",1610612742.0,DAL,reverse,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,,,,1.49,Made,2.0,K. Thompson,202691.0,1.0,,,,,,,,,,,
11,PT11M16.00S,2025-02-13T02:44:50.5Z,1,REGULAR,3pt,Jump Shot,[],1627741,95.22010512483574,95.09803921568627,1610612744,2,0,2025-02-13T02:45:22Z,110000,False,225.0,-8.0,1,right,MISS B. Hield step back 3PT,[1627741],1610612744.0,GSW,step back,,,Hield,B. Hield,,,,,Right Corner 3,24+ Right,,,,22.56,Missed,,,,,,,,,,,,,,,
12,PT11M13.00S,2025-02-13T02:44:54.0Z,1,REGULAR,rebound,offensive,[],202710,,,1610612744,2,0,2025-02-13T02:44:54Z,120000,False,,,0,,J. Butler III REBOUND (Off:1 Def:0),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Right Corner 3,24+ Right,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT11M09.00S,2025-02-13T02:44:58.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,84.1819973718791,3.431372549019608,1610612744,2,0,2025-02-13T02:45:04Z,130000,False,-233.0,96.0,1,right,MISS B. Hield 25' 3PT,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,25.19,Missed,,,,,,,,,,,,,,,
14,PT11M07.00S,2025-02-13T02:45:00.4Z,1,REGULAR,rebound,offensive,[],1642366,,,1610612744,2,0,2025-02-13T02:45:14Z,140000,False,,,0,,Q. Post REBOUND (Off:1 Def:0),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,
15,PT11M06.00S,2025-02-13T02:45:02.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1642366,94.40999984741211,50.0,1610612744,2,2,2025-02-13T02:45:55Z,150000,False,0.0,0.0,1,right,Q. Post tip DUNK (2 PTS),[1642366],1610612744.0,GSW,tip,,,Post,Q. Post,,,,,Restricted Area,0-8 Center,,,,0.0,Made,2.0,,,,,,,,,,,,,,
16,PT10M43.00S,2025-02-13T02:45:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,14.668199737187912,40.68627450980392,1610612742,4,2,2025-02-13T02:45:29Z,160000,False,47.0,85.0,1,left,K. Irving 9' turnaround fadeaway Jump Shot (2 PTS),[202681],1610612742.0,DAL,turnaround fadeaway,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Center,,,,9.73,Made,2.0,,,,,,,,,,,,,,
17,PT10M27.00S,2025-02-13T02:45:40.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,82.34231274638634,43.13725490196079,1610612744,4,4,2025-02-13T02:45:46Z,170000,False,-34.0,113.0,1,right,S. Curry 11' step back Jump Shot (2 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,,,11.86,Made,2.0,,,,,,,,,,,,,,
18,PT10M12.00S,2025-02-13T02:45:54.9Z,1,REGULAR,3pt,Jump Shot,[],202681,31.488173455978973,37.99019607843137,1610612742,4,4,2025-02-13T02:45:59Z,180000,False,60.0,243.0,1,left,MISS K. Irving 25' pullup 3PT,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,,,,25.08,Missed,,,,,,,,,,,,,,,
19,PT10M09.00S,2025-02-13T02:45:57.9Z,1,REGULAR,rebound,defensive,[],1642366,,,1610612744,4,4,2025-02-13T02:45:59Z,190000,False,,,0,,Q. Post REBOUND (Off:1 Def:1),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Center,,,,,,,,,,18.0,2.0,1.0,1.0,,,,,,,
20,PT09M54.00S,2025-02-13T02:46:13.2Z,1,REGULAR,3pt,Jump Shot,[],201939,77.87450722733246,89.4607843137255,1610612744,4,4,2025-02-13T02:46:17Z,200000,False,197.0,155.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,25.12,Missed,,,,,,,,,,,,,,,
21,PT09M51.00S,2025-02-13T02:46:16.2Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,4,4,2025-02-13T02:46:17Z,210000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,
22,PT09M36.00S,2025-02-13T02:46:30.9Z,1,REGULAR,2pt,Jump Shot,[],202691,16.245072273324574,72.54901960784314,1610612742,4,4,2025-02-13T02:47:10Z,220000,False,-113.0,100.0,1,left,MISS K. Thompson 15' step back Shot,[202691],1610612742.0,DAL,step back,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,,,,15.08,Missed,,,,,,,,,,,,,,,
23,PT09M34.00S,2025-02-13T02:46:32.9Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,4,4,2025-02-13T02:46:38Z,230000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,
24,PT09M30.00S,2025-02-13T02:46:36.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202710,92.85479632063075,50.49019607843137,1610612744,4,6,2025-02-13T02:46:44Z,240000,False,2.0,15.0,1,right,J. Butler III running DUNK (2 PTS) (S. Curry 1 AST),"[202710, 201939]",1610612744.0,GSW,running,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,,,,1.49,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,
26,PT09M16.00S,2025-02-13T02:46:50.9Z,1,REGULAR,3pt,Jump Shot,[],202691,31.61957950065703,60.5392156862745,1610612742,7,6,2025-02-13T02:46:55Z,260000,False,-53.0,245.0,1,left,K. Thompson 25' 3PT  (3 PTS) (K. Edwards 1 AST),"[202691, 1630556]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,25.03,Made,3.0,K. Edwards,1630556.0,1.0,,,,,,,,,,,
28,PT08M59.00S,2025-02-13T02:47:08.2Z,1,REGULAR,3pt,Jump Shot,[],1642366,71.56701708278581,75.73529411764706,1610612744,7,6,2025-02-13T02:47:12Z,280000,False,129.0,215.0,1,right,MISS Q. Post 25' 3PT,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Right Center,,,,25.04,Missed,,,,,,,,,,,,,,,
29,PT08M56.00S,2025-02-13T02:47:11.2Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,7,6,2025-02-13T02:47:12Z,290000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,
30,PT08M48.00S,2025-02-13T02:47:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,5.995400788436268,47.05882352941176,1610612742,9,6,2025-02-13T02:47:22Z,300000,False,15.0,4.0,1,left,K. Irving driving finger roll Layup (4 PTS) (O. Prosper 1 AST),"[202681, 1641765]",1610612742.0,DAL,driving finger roll,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,1.52,Made,4.0,O. Prosper,1641765.0,1.0,,,,,,,,,,,
32,PT08M39.00S,2025-02-13T02:47:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,92.32917214191852,50.245098039215684,1610612744,9,6,2025-02-13T02:47:57Z,320000,False,1.0,20.0,1,right,MISS J. Butler III cutting Layup,[202710],1610612744.0,GSW,cutting,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,,,,1.96,Missed,,,,,,,,,,,,,,,
33,PT08M37.00S,2025-02-13T02:47:29.9Z,1,REGULAR,rebound,defensive,[],1641765,,,1610612742,9,6,2025-02-13T02:47:29Z,330000,False,,,0,,O. Prosper REBOUND (Off:0 Def:1),[1641765],1610612742.0,DAL,,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,
34,PT08M29.00S,2025-02-13T02:47:37.4Z,1,REGULAR,3pt,Jump Shot,[],202691,30.305519053876477,33.57843137254902,1610612742,12,6,2025-02-13T02:48:33Z,340000,False,82.0,232.0,1,left,K. Thompson 24' 3PT pullup bank (6 PTS),[202691],1610612742.0,DAL,pullup bank,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,24.65,Made,6.0,,,,,,,,,,,,,,
36,PT08M11.00S,2025-02-13T02:47:55.7Z,1,REGULAR,3pt,Jump Shot,[],201939,83.13074901445466,93.87254901960785,1610612744,12,6,2025-02-13T02:48:00Z,360000,False,219.0,106.0,1,right,MISS S. Curry 24' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,24.37,Missed,,,,,,,,,,,,,,,
