actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-09T19:40:58.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-09T19:40:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-09T19:41:01.0Z,1,REGULAR,jumpball,recovered,[],1630208,,,1610612756,0,0,2025-03-09T19:41:01Z,40000,False,,,0,,Jump Ball B. Bol vs. K. Edwards: Tip to N. Richards,"[1630208, 1629626, 1630556]",1610612756.0,PHX,startperiod,N. Richards,1630208.0,Richards,N. Richards,Bol,1629626.0,Edwards,1630556.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-03-09T19:41:11.5Z,1,REGULAR,foul,offensive,[],1630208,,,1610612756,0,0,2025-03-09T19:41:25Z,70000,False,,,0,,N. Richards off-the-ball offensive FOUL (1 PF),"[1630208, 1630556]",1610612756.0,PHX,off-the-ball,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,1627962.0,1.0,0.0,Edwards,1630556.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2025-03-09T19:41:11.5Z,1,REGULAR,turnover,offensive foul,[],1630208,,,1610612756,0,0,2025-03-09T19:41:25Z,90000,False,,,0,,N. Richards offensive foul TURNOVER (1 TO),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,1627962.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M33.00S,2025-03-09T19:41:38.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630314,11.908672798948752,55.63725490196079,1610612742,0,0,2025-03-09T19:41:43Z,100000,False,-28.0,59.0,1,left,MISS B. Williams 6' driving floating Shot,[1630314],1610612742.0,DAL,driving floating,,,Williams,B. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.58,Missed,,,,,,,,,,,,
11,PT11M30.00S,2025-03-09T19:41:41.3Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,0,0,2025-03-09T19:41:43Z,110000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M25.00S,2025-03-09T19:41:45.9Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,0,0,2025-03-09T19:41:50Z,120000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1630314]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,1.0,,,,,,,Williams,1630314.0,,,,,,
13,PT11M25.00S,2025-03-09T19:41:45.9Z,1,REGULAR,steal,,[],1630314,,,1610612742,0,0,2025-03-09T19:41:47Z,130000,False,,,0,,B. Williams STEAL (1 STL),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2025-03-09T19:41:48.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630314,6.258212877792378,49.754901960784316,1610612742,2,0,2025-03-09T19:41:55Z,140000,False,1.0,6.0,1,left,B. Williams running DUNK (2 PTS),[1630314],1610612742.0,DAL,running,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,,,,0.64,Made,,,,,,,2.0,,,,,
15,PT11M11.00S,2025-03-09T19:42:00.4Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612756,2,0,2025-03-09T19:42:03Z,150000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 202691]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1.0,,,,,,,Thompson,202691.0,,,,,,
16,PT11M11.00S,2025-03-09T19:42:00.4Z,1,REGULAR,steal,,[],202691,,,1610612742,2,0,2025-03-09T19:42:02Z,160000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M06.00S,2025-03-09T19:42:05.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630314,30.962549277266753,32.59803921568628,1610612742,2,0,2025-03-09T19:43:32Z,170000,False,87.0,239.0,1,left,MISS B. Williams 25' running 3PT,[1630314],1610612742.0,DAL,running,,,Williams,B. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,25.39,Missed,,,,,,,,,,,,
18,PT11M04.00S,2025-03-09T19:42:07.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,0,2025-03-09T19:42:11Z,180000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M53.00S,2025-03-09T19:42:18.5Z,1,REGULAR,3pt,Jump Shot,[],1626164,75.50919842312747,14.950980392156863,1610612756,2,0,2025-03-09T19:42:23Z,190000,False,-175.0,178.0,1,right,MISS D. Booker 24' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,24.95,Missed,,,,,,,,,,,,
20,PT10M49.00S,2025-03-09T19:42:22.5Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612742,2,0,2025-03-09T19:42:23Z,200000,False,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
