actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-03-16T17:10:58.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T17:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-16T17:11:05.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612742,0,0,2025-03-16T17:11:05Z,40000,False,,,0,,Jump Ball K. Edwards vs. G. Yabusele: Tip to Team (DAL),"[1630556, 1627824]",1610612742.0,DAL,startperiod,Team (DAL),Edwards,1630556.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-03-16T17:11:23.1Z,1,REGULAR,foul,personal,['2freethrow'],1629656,,,1610612742,0,0,2025-03-16T17:11:30Z,80000,False,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Washington 2 FT),"[1629656, 1629023]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Grimes,Q. Grimes,Washington,1629023.0,,,,,,,,,,,,,,,,
10,PT11M47.00S,2025-03-16T17:11:47.0Z,1,REGULAR,freethrow,1 of 2,[],1629023,,,1610612742,1,0,2025-03-16T17:11:47Z,100000,False,,,0,,P. Washington Free Throw 1 of 2 (1 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,Made,1.0,,,,,,,,,,,,,,
11,PT11M47.00S,2025-03-16T17:12:04.2Z,1,REGULAR,freethrow,2 of 2,[],1629023,,,1610612742,2,0,2025-03-16T17:12:04Z,110000,False,,,0,,P. Washington Free Throw 2 of 2 (2 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,Made,2.0,,,,,,,,,,,,,,
12,PT11M28.00S,2025-03-16T17:12:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629656,7.835085413929041,44.85294117647059,1610612755,2,2,2025-03-16T17:12:29Z,120000,False,26.0,21.0,1,left,Q. Grimes driving finger roll Layup (2 PTS),[1629656],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Grimes,Q. Grimes,,,Made,2.0,3.33,,,,,,,,,,,,,
13,PT11M14.00S,2025-03-16T17:12:40.1Z,1,REGULAR,3pt,Jump Shot,[],1630230,91.32720105124835,97.08180147058823,1610612742,2,2,2025-03-16T17:12:48Z,130000,False,235.0,29.0,1,right,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,,,,Marshall,N. Marshall,,,Missed,,23.72,,,,,,,,,,,,,
14,PT11M10.00S,2025-03-16T17:12:44.1Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,2,2,2025-03-16T17:12:48Z,140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,,,Yabusele,G. Yabusele,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M00.00S,2025-03-16T17:12:54.1Z,1,REGULAR,2pt,Jump Shot,[],1642348,19.92444152431012,27.205882352941174,1610612755,2,4,2025-03-16T17:12:57Z,150000,False,114.0,135.0,1,left,J. Edwards 17' pullup Jump Shot (2 PTS) (J. Butler 1 AST),"[1642348, 1630215]",1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Right Center,,,,Edwards,J. Edwards,,,Made,2.0,17.65,,,,,J. Butler,1630215.0,1.0,,,,,,
17,PT10M41.00S,2025-03-16T17:13:12.7Z,1,REGULAR,foul,personal,['2freethrow'],1642348,,,1610612742,2,4,2025-03-16T17:13:23Z,170000,False,,,0,,J. Edwards shooting personal FOUL (1 PF) (Washington 2 FT),"[1642348, 1629023]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,2530.0,1.0,0.0,Edwards,J. Edwards,Washington,1629023.0,,,,,,,,,,,,,,,,
19,PT10M41.00S,2025-03-16T17:13:41.6Z,1,REGULAR,freethrow,1 of 2,[],1629023,,,1610612742,3,4,2025-03-16T17:13:41Z,190000,False,,,0,,P. Washington Free Throw 1 of 2 (3 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,Made,3.0,,,,,,,,,,,,,,
20,PT10M41.00S,2025-03-16T17:13:57.6Z,1,REGULAR,freethrow,2 of 2,[],1629023,,,1610612742,4,4,2025-03-16T17:13:57Z,200000,False,,,0,,P. Washington Free Throw 2 of 2 (4 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,Made,4.0,,,,,,,,,,,,,,
21,PT10M21.00S,2025-03-16T17:14:22.0Z,1,REGULAR,3pt,Jump Shot,[],1627824,11.251642575558476,3.9215686274509802,1610612755,4,4,2025-03-16T17:14:27Z,210000,False,230.0,53.0,1,left,MISS G. Yabusele 3PT,[1627824],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,,,Yabusele,G. Yabusele,,,Missed,,23.65,,,,,,,,,,,,,
22,PT10M17.00S,2025-03-16T17:14:26.0Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612742,4,4,2025-03-16T17:14:27Z,220000,False,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,,,,Edwards,K. Edwards,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
23,PT10M11.00S,2025-03-16T17:14:32.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629023,69.50969119579501,46.85968137254902,1610612742,6,4,2025-03-16T17:15:00Z,230000,False,-16.0,234.0,1,right,P. Washington 23' running pullup Jump Shot (6 PTS),[1629023],1610612742.0,DAL,running pullup,,,,,,Mid-Range,16-24 Center,,,,Washington,P. Washington,,,Made,6.0,23.46,,,,,,,,,,,,,
24,PT09M55.00S,2025-03-16T17:14:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641741,13.87976346911958,47.30392156862745,1610612755,6,6,2025-03-16T17:14:51Z,240000,False,13.0,78.0,1,left,R. Council IV 7' turnaround Jump Shot (2 PTS),[1641741],1610612755.0,PHI,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,,,Council IV,R. Council IV,,,Made,2.0,7.92,,,,,,,,,,,,,
