actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-22T01:42:33.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-22T01:42:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-22T01:42:36.5Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2025-02-22T01:42:36Z,40000,False,,,0,,Jump Ball Y. Missi vs. P. Washington: Tip to C. McCollum,"[203468, 1642274, 1629023]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Missi,1642274.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2025-02-22T01:42:41.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,94.56307490144546,4.166666666666666,1610612740,0,3,2025-02-22T01:42:45Z,70000,False,-229.0,-1.0,1,right,T. Murphy III 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630530, 1629627]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,22.92,Made,3.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2025-02-22T01:42:58.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1629023,6.1268068331143235,46.81372549019608,1610612742,2,3,2025-02-22T01:43:09Z,90000,False,16.0,5.0,1,left,P. Washington driving finger roll Layup (2 PTS) (D. Exum 1 AST),"[1629023, 203957]",1610612742.0,DAL,driving finger roll,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.67,Made,2.0,D. Exum,203957.0,1.0,,,,,,,,,,,,,,
11,PT11M35.00S,2025-02-22T01:43:01.7Z,1,REGULAR,violation,defensive goaltending,[],1629627,,,1610612742,2,3,2025-02-22T01:43:09Z,110000,False,,,0,,Z. Williamson defensive goaltending VIOLATION,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,201246.0,,,,,,,,,,,,,
12,PT11M24.00S,2025-02-22T01:43:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642274,84.1819973718791,56.61764705882353,1610612740,2,3,2025-02-22T02:22:50Z,120000,False,33.0,96.0,1,right,MISS Y. Missi 10' driving floating Shot,[1642274],1610612740.0,NOP,driving floating,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,10.17,Missed,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2025-02-22T01:43:23.7Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,2,3,2025-02-22T01:43:27Z,130000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,
14,PT11M21.00S,2025-02-22T01:43:24.7Z,1,REGULAR,turnover,bad pass,[],1642274,,,1610612740,2,3,2025-02-22T01:43:30Z,140000,False,,,0,,Y. Missi bad pass TURNOVER (1 TO),"[1642274, 1629023]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Washington,1629023.0,,,,,,
15,PT11M21.00S,2025-02-22T01:43:24.7Z,1,REGULAR,steal,,[],1629023,,,1610612742,2,3,2025-02-22T01:43:26Z,150000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M12.00S,2025-02-22T01:43:33.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202681,29.122864651773984,74.50980392156863,1610612742,5,3,2025-02-22T01:43:37Z,160000,False,-123.0,221.0,1,left,K. Irving 25' 3PT  (3 PTS) (K. Thompson 1 AST),"[202681, 202691]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,25.29,Made,3.0,K. Thompson,202691.0,1.0,,,,,,,,,,,,,,
18,PT10M53.00S,2025-02-22T01:43:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.64323258869908,49.01960784313725,1610612740,5,5,2025-02-22T01:43:56Z,180000,False,-5.0,7.0,1,right,C. McCollum driving Layup (2 PTS) (Y. Missi 1 AST),"[203468, 1642274]",1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,Y. Missi,1642274.0,1.0,,,,,,,,,,,,,,
20,PT10M38.00S,2025-02-22T01:44:07.1Z,1,REGULAR,turnover,bad pass,[],203957,,,1610612742,5,5,2025-02-22T01:44:12Z,200000,False,,,0,,D. Exum bad pass TURNOVER (1 TO),"[203957, 1630530]",1610612742.0,DAL,,,,Exum,D. Exum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,Murphy III,1630530.0,,,,,,
21,PT10M38.00S,2025-02-22T01:44:07.1Z,1,REGULAR,steal,,[],1630530,,,1610612740,5,5,2025-02-22T01:44:09Z,210000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M34.00S,2025-02-22T01:44:11.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629627,93.51182654402102,50.245098039215684,1610612740,5,7,2025-02-22T01:44:17Z,220000,False,1.0,8.0,1,right,Z. Williamson running alley-oop DUNK (2 PTS) (K. Olynyk 1 AST),"[1629627, 203482]",1610612740.0,NOP,running alley-oop,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.86,Made,2.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,,,
24,PT10M22.00S,2025-02-22T01:44:22.6Z,1,REGULAR,3pt,Jump Shot,[],202681,31.35676741130092,63.23529411764706,1610612742,5,7,2025-02-22T01:44:27Z,240000,False,-66.0,242.0,1,left,MISS K. Irving 25' 3PT,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,25.12,Missed,,,,,,,,,,,,,,,,,,
25,PT10M19.00S,2025-02-22T01:44:26.1Z,1,REGULAR,rebound,offensive,[],202691,,,1610612742,5,7,2025-02-22T01:44:26Z,250000,False,,,0,,K. Thompson REBOUND (Off:1 Def:0),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,
26,PT10M18.00S,2025-02-22T01:44:27.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629023,32.40801576872536,50.73529411764706,1610612742,8,7,2025-02-22T01:44:31Z,260000,False,-4.0,252.0,1,left,P. Washington 25' 3PT  (5 PTS) (K. Thompson 2 AST),"[1629023, 202691]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,25.21,Made,5.0,K. Thompson,202691.0,2.0,,,,,,,,,,,,,,
28,PT10M01.00S,2025-02-22T01:44:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.64323258869908,44.85294117647059,1610612740,8,7,2025-02-22T01:44:47Z,280000,False,-26.0,7.0,1,right,MISS Z. Williamson Layup,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.67,Missed,,,,,,,,,,,,,,,,,,
29,PT10M00.00S,2025-02-22T01:44:44.4Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612742,8,7,2025-02-22T01:44:47Z,290000,False,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,
30,PT09M48.00S,2025-02-22T01:44:57.0Z,1,REGULAR,3pt,Jump Shot,[],203957,27.283180026281208,18.872549019607842,1610612742,11,7,2025-02-22T01:45:21Z,300000,False,156.0,204.0,1,left,D. Exum 25' 3PT  (3 PTS) (K. Irving 1 AST),"[203957, 202681]",1610612742.0,DAL,,,,Exum,D. Exum,,,,,Above the Break 3,24+ Right Center,25.66,Made,3.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,
32,PT09M25.00S,2025-02-22T01:45:21.9Z,1,REGULAR,turnover,out-of-bounds,[],1630530,,,1610612740,11,7,2025-02-22T01:45:30Z,320000,False,,,0,,T. Murphy III bad pass out-of-bounds TURNOVER (1 TO),[1630530],1610612740.0,NOP,bad pass,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,,,,,,,1627524.0,,,,,1.0,,,,,,,,
33,PT09M05.00S,2025-02-22T01:45:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203957,6.1268068331143235,46.32352941176471,1610612742,11,7,2025-02-22T01:45:50Z,330000,False,18.0,5.0,1,left,MISS D. Exum driving Layup - blocked,"[203957, 1642274]",1610612742.0,DAL,driving,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,1.91,Missed,,,,,,,,,,,,,Missi,1642274.0,,,,
34,PT09M05.00S,2025-02-22T01:45:45.9Z,1,REGULAR,block,,[],1642274,,,1610612742,11,7,2025-02-22T01:45:48Z,340000,False,,,0,,Y. Missi BLOCK (1 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M03.00S,2025-02-22T01:45:47.9Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,11,7,2025-02-22T01:45:50Z,350000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,
36,PT08M51.00S,2025-02-22T01:46:00.2Z,1,REGULAR,3pt,Jump Shot,[],203468,77.34888304862024,9.558823529411764,1610612740,11,7,2025-02-22T01:48:45Z,360000,False,-202.0,160.0,1,right,MISS C. McCollum 25' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.81,Missed,,,,,,,,,,,,,,,,,,
37,PT08M49.00S,2025-02-22T01:46:02.2Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,11,7,2025-02-22T01:46:03Z,370000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,
38,PT08M48.00S,2025-02-22T01:46:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,94.69448094612353,50.73529411764706,1610612740,11,9,2025-02-22T01:46:09Z,380000,False,4.0,-3.0,1,right,Z. Williamson putback Layup (4 PTS),[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.45,Made,4.0,,,,,,,,,,,,,,,,,
39,PT08M37.00S,2025-02-22T01:46:13.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,30.436925098554536,65.19607843137256,1610612742,11,9,2025-02-22T01:46:17Z,390000,False,-76.0,234.0,1,left,MISS P. Washington 24' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,24.57,Missed,,,,,,,,,,,,,,,,,,
40,PT08M35.00S,2025-02-22T01:46:15.6Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,11,9,2025-02-22T01:46:17Z,400000,False,,,0,,Y. Missi REBOUND (Off:1 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Center,,,,,,,,39.0,3.0,2.0,1.0,,,,,,,,,
41,PT08M24.00S,2025-02-22T01:46:30.1Z,1,REGULAR,turnover,out-of-bounds,[],1642274,,,1610612740,11,9,2025-02-22T01:46:36Z,410000,False,,,0,,Y. Missi step out-of-bounds TURNOVER (2 TO),[1642274],1610612740.0,NOP,step,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,,,,,2.0,,,,,,,,
42,PT08M09.00S,2025-02-22T01:47:01.8Z,1,REGULAR,foul,personal,[],203482,,,1610612742,11,9,2025-02-22T01:47:12Z,420000,False,,,0,,K. Olynyk personal FOUL (1 PF),"[203482, 1629023]",1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Center,,,,,,,1627524.0,,,,,,,,,,1.0,0.0,Washington,1629023.0
44,PT08M05.00S,2025-02-22T01:47:22.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202691,19.793035479632064,29.901960784313726,1610612742,11,9,2025-02-22T01:47:28Z,440000,False,100.0,134.0,1,left,MISS K. Thompson 16' Jump Shot - blocked,"[202691, 203468]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right Center,16.72,Missed,,,,,,,,,,,,,McCollum,203468.0,,,,
45,PT08M05.00S,2025-02-22T01:47:22.5Z,1,REGULAR,block,,[],203468,,,1610612742,11,9,2025-02-22T01:47:24Z,450000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
46,PT08M03.00S,2025-02-22T01:47:24.5Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,11,9,2025-02-22T01:47:28Z,460000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Right Center,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,
47,PT08M00.00S,2025-02-22T01:47:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629627,93.9060446780552,49.26470588235294,1610612740,11,11,2025-02-22T01:47:33Z,470000,False,-4.0,5.0,1,right,Z. Williamson running Layup (6 PTS) (C. McCollum 1 AST),"[1629627, 203468]",1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.61,Made,6.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,
49,PT07M42.00S,2025-02-22T01:47:45.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,5.338370565045992,95.83333333333334,1610612742,14,11,2025-02-22T01:47:49Z,490000,False,-229.0,-2.0,1,left,P. Washington 3PT  (8 PTS) (K. Edwards 1 AST),"[1629023, 1630556]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,22.92,Made,8.0,K. Edwards,1630556.0,1.0,,,,,,,,,,,,,,
51,PT07M26.00S,2025-02-22T01:48:01.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,65.65374507227332,48.529411764705884,1610612740,14,14,2025-02-22T01:48:06Z,510000,False,-7.0,270.0,1,right,T. Murphy III 27' 3PT  (6 PTS) (C. McCollum 2 AST),"[1630530, 203468]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,27.05,Made,6.0,C. McCollum,203468.0,2.0,,,,,,,,,,,,,,
53,PT07M09.00S,2025-02-22T01:48:18.7Z,1,REGULAR,3pt,Jump Shot,[],1629023,28.86005256241787,23.774509803921568,1610612742,14,14,2025-02-22T01:51:58Z,530000,False,131.0,219.0,1,left,MISS P. Washington 25' step back 3PT,[1629023],1610612742.0,DAL,step back,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.51,Missed,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2025-02-22T01:48:21.7Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,14,14,2025-02-22T01:48:23Z,540000,False,,,0,,Y. Missi REBOUND (Off:1 Def:3),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,,,,,,,,53.0,4.0,3.0,1.0,,,,,,,,,
