actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-25T19:37:45.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-25T19:37:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-25T19:37:47.8Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612742,0,0,2024-12-25T19:37:47Z,40000,False,,,0,,Jump Ball D. Lively II vs. R. Gobert: Tip to P. Washington,"[1629023, 1641726, 203497]",1610612742.0,DAL,startperiod,P. Washington,1629023.0,Washington,P. Washington,Lively II,1641726.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-12-25T19:38:01.1Z,1,REGULAR,2pt,Jump Shot,[],202691,22.552562417871222,18.38235294117647,1610612742,0,0,2024-12-25T19:38:07Z,70000,False,158.0,159.0,1,left,MISS K. Thompson 22' Jump Shot,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right Center,22.46,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-12-25T19:38:03.1Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,0,0,2024-12-25T19:38:07Z,80000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-12-25T19:38:14.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.51182654402102,51.470588235294116,1610612750,0,2,2024-12-25T19:38:18Z,90000,False,7.0,8.0,1,right,R. Gobert cutting DUNK (2 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,,
11,PT11M16.00S,2024-12-25T19:38:28.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,7.6215505913272015,56.64445465686274,1610612742,2,2,2024-12-25T19:38:38Z,110000,False,-33.0,19.0,1,left,D. Lively II alley-oop DUNK (2 PTS) (L. Dončić 1 AST),"[1641726, 1629029]",1610612742.0,DAL,alley-oop,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,3.83,Made,,,,,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,,
13,PT10M54.00S,2024-12-25T19:38:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,81.2910643889619,45.34313725490196,1610612750,2,2,2024-12-25T19:38:54Z,130000,False,-23.0,123.0,1,right,MISS J. Randle 12' turnaround fadeaway Shot,[203944],1610612750.0,MIN,turnaround fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,12.56,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2024-12-25T19:38:53.6Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,2,2,2024-12-25T19:48:08Z,140000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M44.00S,2024-12-25T19:39:00.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.962549277266753,67.15686274509804,1610612742,5,2,2024-12-25T19:39:05Z,150000,False,-86.0,239.0,1,left,L. Dončić 25' 3PT  (3 PTS) (D. Lively II 1 AST),"[1629029, 1641726]",1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,25.35,Made,,,,,3.0,D. Lively II,1641726.0,1.0,,,,,,,,,,
17,PT10M20.00S,2024-12-25T19:39:24.3Z,1,REGULAR,3pt,Jump Shot,[],201144,92.06636005256242,96.56862745098039,1610612750,5,2,2024-12-25T19:39:28Z,170000,False,233.0,22.0,1,right,MISS M. Conley 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,23.38,Missed,,,,,,,,,,,,,,,,,,
