actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-25T22:40:58.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-25T22:40:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-25T22:41:01.3Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-01-25T22:41:01Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. D. Gafford: Tip to D. White,"[1628401, 204001, 1629655]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porziņģis,204001.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-25T22:41:14.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,6.915243101182654,51.470588235294116,1610612738,0,0,2025-01-25T22:44:08Z,70000,False,-7.0,13.0,1,left,MISS J. Holiday driving finger roll Layup,[201950],1610612738.0,BOS,driving finger roll,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-01-25T22:41:16.0Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,0,0,2025-01-25T22:41:18Z,80000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-01-25T22:41:24.3Z,1,REGULAR,3pt,Jump Shot,[],203915,67.7562417871222,55.88235294117647,1610612742,3,0,2025-01-25T22:41:28Z,90000,False,29.0,251.0,1,right,S. Dinwiddie 25' 3PT pullup (3 PTS),[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,25.23,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M21.00S,2025-01-25T22:41:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,9.543363994743759,60.5392156862745,1610612738,3,0,2025-01-25T22:42:41Z,100000,False,-53.0,37.0,1,left,MISS K. Porziņģis 6' bank Shot,[204001],1610612738.0,BOS,bank,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,6.45,Missed,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2025-01-25T22:41:38.6Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,3,0,2025-01-25T22:41:45Z,110000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M02.00S,2025-01-25T22:41:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,88.91261498028909,49.01960784313725,1610612742,5,0,2025-01-25T22:42:00Z,120000,False,-5.0,52.0,1,right,K. Irving driving floating Jump Shot (2 PTS),[202681],1610612742.0,DAL,driving floating,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,5.19,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M52.00S,2025-01-25T22:42:06.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,22.026938239159,11.519607843137255,1610612738,5,0,2025-01-25T22:42:10Z,130000,False,192.0,155.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,24.68,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2025-01-25T22:42:09.1Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,5,0,2025-01-25T22:42:10Z,140000,False,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
