actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-29T00:41:08.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-29T00:41:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-10-29T00:41:10.3Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2024-10-29T00:41:10Z,40000,False,,,0,,Jump Ball W. Kessler vs. D. Gafford: Tip to K. George,"[1641718, 1631117, 1629655]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Kessler,1631117.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-10-29T00:41:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,90.67017082785807,46.65287990196079,1610612762,0,2,2024-10-29T00:41:37Z,70000,False,-17.0,35.0,1,right,C. Sexton turnaround Jump Shot (2 PTS),[1629012],1610612762.0,UTA,turnaround,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,3.9,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2024-10-29T00:41:45.8Z,1,REGULAR,3pt,Jump Shot,[],202691,24.52365308804205,83.08823529411765,1610612742,0,2,2024-10-29T00:41:50Z,80000,False,-165.0,178.0,1,left,MISS K. Thompson 24' step back 3PT,[202691],1610612742.0,DAL,step back,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,24.3,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-10-29T00:41:48.8Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,0,2,2024-10-29T00:41:50Z,90000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M02.00S,2024-10-29T00:42:05.2Z,1,REGULAR,3pt,Jump Shot,[],1641718,68.54467805519053,73.52941176470588,1610612762,0,2,2024-10-29T00:42:10Z,100000,False,118.0,243.0,1,right,MISS K. George 27' bank 3PT,[1641718],1610612762.0,UTA,bank,,,George,K. George,,,,,Above the Break 3,24+ Right Center,27.01,Missed,,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2024-10-29T00:42:08.2Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,0,2,2024-10-29T00:42:10Z,110000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M51.00S,2024-10-29T00:42:29.4Z,1,REGULAR,3pt,Jump Shot,[],1629023,5.995400788436268,94.36274509803921,1610612742,0,2,2024-10-29T00:42:41Z,130000,False,-222.0,4.0,1,left,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,22.18,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2024-10-29T00:42:35.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,0,2,2024-10-29T00:42:35Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Left Corner 3,24+ Left,,,,13.0,,,,,,,,,,,,,,,,
15,PT10M51.00S,2024-10-29T00:42:35.8Z,1,REGULAR,foul,personal,[],1629012,,,1610612742,0,2,2024-10-29T00:42:44Z,150000,False,,,0,,C. Sexton loose ball personal FOUL (1 PF),"[1629012, 1629655]",1610612762.0,UTA,loose ball,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,,202026.0,1.0,0.0,Gafford,1629655.0,,,,,,,,
