actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-04T00:40:53.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-04T00:40:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-04T00:40:56.0Z,1,REGULAR,jumpball,recovered,[],1641783,,,1610612753,0,0,2024-11-04T00:40:56Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. D. Gafford: Tip to T. da Silva,"[1641783, 1628976, 1629655]",1610612753.0,ORL,startperiod,T. da Silva,1641783.0,da Silva,T. da Silva,Carter Jr.,1628976.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-11-04T00:41:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,14.799605781865965,42.64705882352941,1610612753,0,2,2024-11-04T00:41:12Z,70000,False,37.0,87.0,1,left,W. Carter Jr. 9' turnaround Jump Shot (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.41,Made,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2024-11-04T00:41:22.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,90.88370565045992,52.20588235294118,1610612742,2,2,2024-11-04T00:41:26Z,90000,False,11.0,33.0,1,right,D. Gafford driving Layup (2 PTS) (L. Dončić 1 AST),"[1629655, 1629029]",1610612742.0,DAL,driving,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,3.5,Made,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,,,,,,
11,PT11M22.00S,2024-11-04T00:41:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,11.514454664914586,37.5,1610612753,2,2,2024-11-04T00:41:42Z,110000,False,62.0,56.0,1,left,MISS F. Wagner 8' driving floating Shot - blocked,"[1630532, 202691]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,8.37,Missed,,,,,Thompson,202691.0,,,,,,,,,,,,
12,PT11M22.00S,2024-11-04T00:41:33.7Z,1,REGULAR,block,,[],202691,,,1610612753,2,2,2024-11-04T00:41:36Z,120000,False,,,0,,K. Thompson BLOCK (1 BLK),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2024-11-04T00:41:35.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,2,2,2024-11-04T00:41:42Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,11.0,,,,,,,,,,,
15,PT11M10.00S,2024-11-04T00:41:48.2Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,2,2,2024-11-04T00:41:53Z,150000,False,,,0,,L. Dončić lost ball TURNOVER (1 TO),"[1629029, 1630532]",1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,,,,,,,,,,1.0,Wagner,1630532.0,,,,,,,,
16,PT11M10.00S,2024-11-04T00:41:48.2Z,1,REGULAR,steal,,[],1630532,,,1610612753,2,2,2024-11-04T00:41:49Z,160000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2024-11-04T00:41:58.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,5.863994743758213,51.71568627450981,1610612753,2,4,2024-11-04T00:42:05Z,170000,False,-9.0,3.0,1,left,F. Wagner driving reverse Layup (2 PTS) (T. da Silva 1 AST),"[1630532, 1641783]",1610612753.0,ORL,driving reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.9,Made,2.0,T. da Silva,1641783.0,1.0,,,,,,,,,,,,,,
19,PT10M46.00S,2024-11-04T00:42:12.3Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612742,2,4,2024-11-04T00:42:21Z,190000,False,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 1628976]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,Carter Jr.,1628976.0,,,,,,,,
20,PT10M46.00S,2024-11-04T00:42:12.3Z,1,REGULAR,steal,,[],1628976,,,1610612753,2,4,2024-11-04T00:42:14Z,200000,False,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M41.00S,2024-11-04T00:42:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630591,6.1268068331143235,52.69607843137255,1610612753,2,4,2024-11-04T00:42:27Z,210000,False,-13.0,5.0,1,left,MISS J. Suggs running Layup,[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.44,Missed,,,,,,,,,,,,,,,,,,
22,PT10M39.00S,2024-11-04T00:42:19.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,4,2024-11-04T00:42:19Z,220000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,,,,,,,,,21.0,,,,1.0,1.0,0.0,,,,,
23,PT10M34.00S,2024-11-04T00:42:24.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629655,94.56307490144546,49.50980392156863,1610612742,4,4,2024-11-04T00:42:40Z,230000,False,-2.0,-1.0,1,right,D. Gafford running alley-oop DUNK (4 PTS) (P. Washington 1 AST),"[1629655, 1629023]",1610612742.0,DAL,running alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,0.29,Made,4.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,
25,PT10M11.00S,2024-11-04T00:42:47.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.521024967148489,54.90196078431373,1610612753,4,4,2024-11-04T00:44:32Z,250000,False,-25.0,9.0,1,left,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.6,Missed,,,,,,,,,,,,,,,,,,
26,PT10M06.00S,2024-11-04T00:42:52.5Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,4,4,2024-11-04T00:42:59Z,260000,False,,,0,,F. Wagner REBOUND (Off:1 Def:0),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,25.0,,,,1.0,0.0,1.0,,,,,
27,PT10M05.00S,2024-11-04T00:42:54.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628976,6.1268068331143235,48.529411764705884,1610612753,4,6,2024-11-04T00:43:02Z,270000,False,7.0,5.0,1,left,W. Carter Jr. alley-oop DUNK (4 PTS) (F. Wagner 2 AST),"[1628976, 1630532]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.9,Made,4.0,F. Wagner,1630532.0,2.0,,,,,,,,,,,,,,
29,PT09M49.00S,2024-11-04T00:43:08.9Z,1,REGULAR,2pt,Jump Shot,[],1629029,79.23784494086728,68.40533088235294,1610612742,6,6,2024-11-04T00:43:37Z,290000,False,92.0,143.0,1,right,L. Dončić 16' step back Jump Shot (2 PTS),[1629029],1610612742.0,DAL,step back,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Right Center,16.98,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M35.00S,2024-11-04T00:43:23.2Z,1,REGULAR,3pt,Jump Shot,[],203484,25.18068331143233,16.176470588235293,1610612753,6,9,2024-11-04T00:43:30Z,300000,False,169.0,184.0,1,left,K. Caldwell-Pope 25' 3PT  (3 PTS) (F. Wagner 3 AST),"[203484, 1630532]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,25.0,Made,3.0,F. Wagner,1630532.0,3.0,,,,,,,,,,,,,,
32,PT09M21.00S,2024-11-04T00:43:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,82.9993429697766,40.19607843137255,1610612742,6,9,2024-11-04T00:45:58Z,320000,False,-49.0,107.0,1,right,MISS L. Dončić 11' fadeaway Shot,[1629029],1610612742.0,DAL,fadeaway,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,11.8,Missed,,,,,,,,,,,,,,,,,,
33,PT09M18.00S,2024-11-04T00:43:39.8Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,6,9,2024-11-04T00:43:41Z,330000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,32.0,,,,1.0,1.0,0.0,,,,,
34,PT09M09.00S,2024-11-04T00:43:49.5Z,1,REGULAR,2pt,Jump Shot,[],1630591,10.988830486202366,30.14705882352941,1610612753,6,11,2024-11-04T00:43:54Z,340000,False,99.0,51.0,1,left,J. Suggs 11' turnaround fadeaway Jump Shot (2 PTS),[1630591],1610612753.0,ORL,turnaround fadeaway,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Right,11.15,Made,2.0,,,,,,,,,,,,,,,,,
35,PT08M47.00S,2024-11-04T00:44:14.6Z,1,REGULAR,foul,personal,[],1628976,,,1610612742,6,11,2024-11-04T00:44:32Z,350000,False,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 1629655]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Gafford,1629655.0
38,PT08M35.00S,2024-11-04T00:45:04.2Z,1,REGULAR,2pt,Jump Shot,[],202681,94.43166885676742,89.2156862745098,1610612742,6,11,2024-11-04T00:45:10Z,380000,False,196.0,0.0,1,right,MISS K. Irving 19' fadeaway Shot,[202681],1610612742.0,DAL,fadeaway,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right,19.61,Missed,,,,,,,,,,,,,,,,,,
39,PT08M32.00S,2024-11-04T00:45:07.2Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612742,6,11,2024-11-04T00:45:10Z,390000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Right,,,,,,,,,38.0,,,,1.0,0.0,1.0,,,,,
40,PT08M32.00S,2024-11-04T00:45:07.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629655,94.40999984741211,50.0,1610612742,8,11,2024-11-04T00:45:22Z,400000,False,0.0,0.0,1,right,D. Gafford tip Layup (6 PTS),[1629655],1610612742.0,DAL,tip,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,0.0,Made,6.0,,,,,,,,,,,,,,,,,
41,PT08M20.00S,2024-11-04T00:45:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.338370565045992,54.166666666666664,1610612753,8,13,2024-11-04T00:45:25Z,410000,False,-21.0,-2.0,1,left,F. Wagner Layup (4 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.09,Made,4.0,,,,,,,,,,,,,,,,,
42,PT08M08.00S,2024-11-04T00:45:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,90.62089356110381,63.48039215686274,1610612742,8,13,2024-11-04T00:45:36Z,420000,False,67.0,36.0,1,right,MISS D. Gafford 7' driving Layup - blocked,"[1629655, 1630591]",1610612742.0,DAL,driving,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,7.63,Missed,,,,,Suggs,1630591.0,,,,,,,,,,,,
43,PT08M08.00S,2024-11-04T00:45:31.4Z,1,REGULAR,block,,[],1630591,,,1610612742,8,13,2024-11-04T00:45:33Z,430000,False,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M06.00S,2024-11-04T00:45:33.4Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,8,13,2024-11-04T00:45:36Z,440000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,42.0,,,,1.0,1.0,0.0,,,,,
45,PT07M54.00S,2024-11-04T00:45:48.2Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612753,8,13,2024-11-04T00:45:56Z,450000,False,,,0,,L. Dončić shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1629029, 1628976]",1610612742.0,DAL,shooting,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1629183.0,1.0,0.0,Carter Jr.,1628976.0
47,PT07M54.00S,2024-11-04T00:46:17.4Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,8,14,2024-11-04T00:46:17Z,470000,False,,,0,,W. Carter Jr. Free Throw 1 of 2 (5 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
48,PT07M54.00S,2024-11-04T00:46:18.0Z,1,REGULAR,substitution,out,[],1629655,,,1610612753,8,14,2024-11-04T00:46:32Z,480000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M54.00S,2024-11-04T00:46:18.0Z,1,REGULAR,substitution,in,[],1641726,,,1610612753,8,14,2024-11-04T00:46:32Z,490000,False,,,0,,SUB in: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M54.00S,2024-11-04T00:46:50.6Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,8,15,2024-11-04T00:46:50Z,500000,False,,,0,,W. Carter Jr. Free Throw 2 of 2 (6 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
51,PT07M43.00S,2024-11-04T00:47:04.5Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612742,8,15,2024-11-04T00:47:11Z,510000,False,,,0,,K. Irving lost ball out-of-bounds TURNOVER (1 TO),[202681],1610612742.0,DAL,lost ball,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,,,,,,,,,,1.0,,,,,,1629183.0,,,,
52,PT07M43.00S,2024-11-04T00:47:07.0Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,8,15,2024-11-04T00:47:11Z,520000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M43.00S,2024-11-04T00:47:07.0Z,1,REGULAR,substitution,in,[],1628371,,,1610612753,8,15,2024-11-04T00:47:11Z,530000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M24.00S,2024-11-04T00:47:34.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630591,26.149802890932982,48.89705882352941,1610612753,8,15,2024-11-04T00:47:40Z,540000,False,6.0,193.0,1,left,MISS J. Suggs 19' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Center,19.34,Missed,,,,,,,,,,,,,,,,,,
55,PT07M20.00S,2024-11-04T00:47:38.2Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,8,15,2024-11-04T00:47:40Z,550000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,16-24 Center,,,,,,,,,54.0,,,,1.0,1.0,0.0,,,,,
56,PT07M09.00S,2024-11-04T00:47:48.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,79.188567674113,8.57843137254902,1610612742,11,15,2024-11-04T00:47:52Z,560000,False,-207.0,143.0,1,right,L. Dončić 25' 3PT step back (5 PTS) (K. Irving 1 AST),"[1629029, 202681]",1610612742.0,DAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,25.17,Made,5.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,
58,PT06M59.00S,2024-11-04T00:47:57.5Z,1,REGULAR,3pt,Jump Shot,[],1628371,31.488173455978973,55.88235294117647,1610612753,11,15,2024-11-04T00:48:03Z,580000,False,-29.0,243.0,1,left,MISS J. Isaac 24' 3PT,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Above the Break 3,24+ Center,24.53,Missed,,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2024-11-04T00:48:00.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,11,15,2024-11-04T00:48:03Z,590000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,,,,,,,58.0,,,,2.0,2.0,0.0,,,,,
60,PT06M49.00S,2024-11-04T00:48:08.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,77.34888304862024,11.76470588235294,1610612742,11,15,2024-11-04T00:49:04Z,600000,False,-191.0,160.0,1,right,MISS L. Dončić 24' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,24.96,Missed,,,,,,,,,,,,,,,,,,
61,PT06M47.00S,2024-11-04T00:48:10.4Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,11,15,2024-11-04T00:48:11Z,610000,False,,,0,,F. Wagner REBOUND (Off:1 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,60.0,,,,2.0,1.0,1.0,,,,,
