actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-14T01:40:37.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-14T01:40:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-14T01:40:39.0Z,1,REGULAR,jumpball,recovered,[],1631170,,,1610612748,0,0,2025-02-14T01:40:39Z,40000,False,,,0,,Jump Ball K. Ware vs. O. Prosper: Tip to J. Jaquez Jr.,"[1631170, 1642276, 1641765]",1610612748.0,MIA,startperiod,J. Jaquez Jr.,1631170.0,Jaquez Jr.,J. Jaquez Jr.,Ware,1642276.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-02-14T01:40:56.3Z,1,REGULAR,turnover,lost ball,[],1631170,,,1610612748,0,0,2025-02-14T01:41:19Z,70000,False,,,0,,J. Jaquez Jr. lost ball TURNOVER (1 TO),"[1631170, 1641765]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,1.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-02-14T01:40:56.3Z,1,REGULAR,steal,,[],1641765,,,1610612742,0,0,2025-02-14T01:41:47Z,80000,False,,,0,,O. Prosper STEAL (1 STL),[1641765],1610612742.0,DAL,,,,Prosper,O. Prosper,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2025-02-14T01:41:11.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641765,93.77463863337714,96.07843137254902,1610612742,0,0,2025-02-14T01:41:21Z,90000,False,230.0,6.0,1,right,MISS O. Prosper 3PT,[1641765],1610612742.0,DAL,,,,Prosper,O. Prosper,,,,,Right Corner 3,24+ Right,,,,23.05,Missed,,,,,,,,,,,,,,,
10,PT11M23.00S,2025-02-14T01:41:13.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2025-02-14T01:41:13Z,100000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M16.00S,2025-02-14T01:41:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631170,6.258212877792378,43.38235294117647,1610612748,0,0,2025-02-14T01:41:26Z,110000,False,33.0,6.0,1,left,MISS J. Jaquez Jr. running Layup - blocked,"[1631170, 1631108]",1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,3.37,Missed,,,,,Christie,1631108.0,,,,,,,,,
62,PT11M16.00S,2025-02-14T01:41:20.0Z,1,REGULAR,block,,[],1631108,,,1610612748,0,0,2025-02-14T01:49:23Z,115000,False,,,0,,M. Christie BLOCK (1 BLK),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2025-02-14T01:41:20.0Z,1,REGULAR,rebound,defensive,[],1641765,,,1610612742,0,0,2025-02-14T01:41:26Z,120000,False,,,0,,O. Prosper REBOUND (Off:0 Def:1),[1641765],1610612742.0,DAL,,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M01.00S,2025-02-14T01:41:35.2Z,1,REGULAR,2pt,Jump Shot,[],1631108,81.02825229960578,75.24509803921569,1610612742,2,0,2025-02-14T01:41:43Z,130000,False,126.0,126.0,1,right,M. Christie 17' step back Jump Shot (2 PTS),[1631108],1610612742.0,DAL,step back,,,Christie,M. Christie,,,,,Mid-Range,16-24 Right Center,,,,17.82,Made,,,,,,,2.0,,,,,,,,
14,PT10M45.00S,2025-02-14T01:41:50.9Z,1,REGULAR,3pt,Jump Shot,[],1642276,26.49474375821288,82.35294117647058,1610612748,2,0,2025-02-14T01:41:55Z,140000,False,-162.0,197.0,1,left,MISS K. Ware 25' 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,,25.46,Missed,,,,,,,,,,,,,,,
15,PT10M42.00S,2025-02-14T01:41:53.9Z,1,REGULAR,rebound,defensive,[],1641765,,,1610612742,2,0,2025-02-14T01:41:55Z,150000,False,,,0,,O. Prosper REBOUND (Off:0 Def:2),[1641765],1610612742.0,DAL,,,,Prosper,O. Prosper,,,,,Above the Break 3,24+ Left Center,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,
16,PT10M34.00S,2025-02-14T01:42:01.9Z,1,REGULAR,turnover,lost ball,[],203957,,,1610612742,2,0,2025-02-14T01:42:20Z,160000,False,,,0,,D. Exum lost ball TURNOVER (1 TO),"[203957, 1631170]",1610612742.0,DAL,,,,Exum,D. Exum,,,,,Mid-Range,16-24 Center,1.0,Jaquez Jr.,1631170.0,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2025-02-14T01:42:01.9Z,1,REGULAR,steal,,[],1631170,,,1610612748,2,0,2025-02-14T01:42:03Z,170000,False,,,0,,J. Jaquez Jr. STEAL (1 STL),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M29.00S,2025-02-14T01:42:07.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629639,30.305519053876477,27.941176470588236,1610612748,2,0,2025-02-14T01:44:00Z,180000,False,110.0,232.0,1,left,MISS T. Herro 25' step back 3PT,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,25.72,Missed,,,,,,,,,,,,,,,
19,PT10M25.00S,2025-02-14T01:42:12.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,2,0,2025-02-14T01:42:12Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,18.0,,,,,,,,,,,,,,
21,PT10M11.00S,2025-02-14T01:42:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203957,85.75886990801577,52.450980392156865,1610612742,4,0,2025-02-14T01:42:44Z,210000,False,12.0,81.0,1,right,D. Exum 8' turnaround fadeaway Jump Shot (2 PTS),[203957],1610612742.0,DAL,turnaround fadeaway,,,Exum,D. Exum,,,,,In The Paint (Non-RA),8-16 Center,,,,8.23,Made,,,,,,,2.0,,,,,,,,
22,PT10M07.00S,2025-02-14T01:42:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,6.521024967148489,56.86274509803921,1610612748,4,0,2025-02-14T01:42:59Z,220000,False,-34.0,9.0,1,left,MISS D. Mitchell driving Layup - blocked,"[1630558, 203957]",1610612748.0,MIA,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,3.54,Missed,,,,,Exum,203957.0,,,,,,,,,
23,PT10M07.00S,2025-02-14T01:42:48.5Z,1,REGULAR,block,,[],203957,,,1610612748,4,0,2025-02-14T01:42:51Z,230000,False,,,0,,D. Exum BLOCK (1 BLK),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2025-02-14T01:42:50.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,4,0,2025-02-14T01:42:59Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,22.0,,,,,,,,,,,,,,
26,PT09M51.00S,2025-02-14T01:43:13.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1642276,7.703679369250986,61.51960784313726,1610612748,4,2,2025-02-14T01:44:58Z,260000,False,-58.0,20.0,1,left,K. Ware 6' driving Hook (2 PTS) (T. Herro 1 AST),"[1642276, 1629639]",1610612748.0,MIA,driving,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,6.09,Made,,,,,,,2.0,T. Herro,1629639.0,1.0,,,,,
28,PT09M27.00S,2025-02-14T01:43:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631108,83.52496714848883,40.44117647058824,1610612742,4,2,2025-02-14T01:45:42Z,280000,False,-48.0,102.0,1,right,MISS M. Christie 11' pullup Shot - blocked,"[1631108, 203937]",1610612742.0,DAL,pullup,,,Christie,M. Christie,,,,,In The Paint (Non-RA),8-16 Center,,,,11.3,Missed,,,,,Anderson,203937.0,,,,,,,,,
