actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-14T19:40:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-14T19:40:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-14T19:40:39.6Z,1,REGULAR,jumpball,recovered,[],1629875,,,1610612746,0,0,2024-04-14T19:40:39Z,40000,False,,,0,,Jump Ball M. Plumlee vs. J. Landale: Tip to X. Moon,"[1629875, 203486, 1629111]",1610612746.0,LAC,startperiod,X. Moon,1629875.0,Moon,X. Moon,Plumlee,203486.0,Landale,1629111.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2024-04-14T19:40:48.1Z,1,REGULAR,3pt,Jump Shot,[],1629611,24.096583442838366,87.74509803921569,1610612746,0,0,2024-04-14T19:41:20Z,70000,False,-189.0,174.0,1,left,MISS T. Mann 25' 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,25.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2024-04-14T19:40:50.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2024-04-14T19:41:20Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2024-04-14T19:41:01.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,71.40275952693824,18.382352941176478,1610612745,0,0,2024-04-14T19:41:06Z,90000,False,-158.0,216.0,1,right,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,26.79,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-04-14T19:41:05.2Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2024-04-14T19:41:06Z,100000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M22.00S,2024-04-14T19:41:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629875,16.606438896189218,59.80392156862745,1610612746,0,0,2024-04-14T19:41:22Z,110000,False,-49.0,104.0,1,left,MISS X. Moon 11' floating Shot,[1629875],1610612746.0,LAC,floating,,,Moon,X. Moon,,,,,In The Paint (Non-RA),8-16 Center,11.46,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2024-04-14T19:41:21.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2024-04-14T19:41:21Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2024-04-14T19:41:36.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,92.16491458607096,53.431372549019606,1610612745,0,2,2024-04-14T19:41:45Z,140000,False,17.0,21.0,1,right,A. Thompson driving Layup (2 PTS) (J. Green 1 AST),"[1641708, 1630224]",1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.72,Made,,,,,2.0,J. Green,1630224.0,1.0,,,,,,,,,,
16,PT10M42.00S,2024-04-14T19:42:02.4Z,1,REGULAR,3pt,Jump Shot,[],1629599,28.56438896189225,17.892156862745097,1610612746,0,2,2024-04-14T19:42:07Z,160000,False,161.0,216.0,1,left,MISS A. Coffey 26' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Right Center,26.91,Missed,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2024-04-14T19:42:05.4Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612746,0,2,2024-04-14T19:42:07Z,170000,False,,,0,,T. Mann REBOUND (Off:1 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
