actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-10T20:40:22.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-10T20:40:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-10T20:40:25.0Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2024-02-10T20:40:25Z,40000,False,,,0,,Jump Ball J. Duren vs. I. Zubac: Tip to C. Cunningham,"[1630595, 1631105, 1627826]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2024-02-10T20:41:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,8.278580814717477,50.18382352941176,1610612765,0,0,2024-02-10T20:44:14Z,80000,False,-1.0,25.0,1,left,MISS J. Duren cutting Layup - blocked,"[1631105, 1627826]",1610612765.0,DET,cutting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.53,Missed,Zubac,1627826.0,,,,,,,,,,,,,,,,
9,PT11M48.00S,2024-02-10T20:41:07.2Z,1,REGULAR,block,,[],1627826,,,1610612765,0,0,2024-02-10T20:41:09Z,90000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M47.00S,2024-02-10T20:41:08.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,0,2024-02-10T20:44:14Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,,,8.0,,,,,,,,,,,,,,,
12,PT11M46.00S,2024-02-10T20:41:13.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631093,13.87976346911958,78.43137254901961,1610612765,0,0,2024-02-10T20:45:26Z,120000,False,-142.0,78.0,1,left,MISS J. Ivey 16' Jump Shot,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Left,16.22,Missed,,,,,,,,,,,,,,,,,,
13,PT11M44.00S,2024-02-10T20:41:15.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,0,0,2024-02-10T20:45:26Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Mid-Range,16-24 Left,,,,,12.0,,,,,,,,,,,,,,,
15,PT11M33.00S,2024-02-10T20:41:19.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202331,90.75229960578186,49.26470588235294,1610612746,2,0,2024-02-10T20:50:33Z,150000,False,-4.0,34.0,1,right,P. George cutting DUNK (2 PTS) (J. Harden 1 AST),"[202331, 201935]",1610612746.0,LAC,cutting,,,George,P. George,,,,,Restricted Area,0-8 Center,3.46,Made,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,
17,PT11M16.00S,2024-02-10T20:41:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,6.652431011826544,49.754901960784316,1610612765,2,2,2024-02-10T20:42:17Z,170000,False,1.0,10.0,1,left,J. Duren driving Layup (2 PTS) (A. Thompson 1 AST),"[1631105, 1641709]",1610612765.0,DET,driving,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.01,Made,,,,2.0,A. Thompson,1641709.0,1.0,,,,,,,,,,,
19,PT10M50.00S,2024-02-10T20:41:56.7Z,1,REGULAR,3pt,Jump Shot,[],201935,71.69842312746385,16.666666666666664,1610612746,2,2,2024-02-10T20:42:02Z,190000,False,-167.0,214.0,1,right,MISS J. Harden 27' 3PT,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,27.09,Missed,,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2024-02-10T20:42:01.7Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,2,2024-02-10T20:42:02Z,200000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,19.0,,,,,1.0,1.0,0.0,,,,,,,,
21,PT10M34.00S,2024-02-10T20:42:12.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641709,6.521024967148489,59.068627450980394,1610612765,2,2,2024-02-10T20:42:18Z,210000,False,-45.0,9.0,1,left,MISS A. Thompson driving Hook,[1641709],1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,4.61,Missed,,,,,,,,,,,,,,,,,,
22,PT10M34.00S,2024-02-10T20:42:12.7Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,2,2,2024-02-10T20:42:18Z,220000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,21.0,,,,,1.0,1.0,0.0,,,,,,,,
23,PT10M16.00S,2024-02-10T20:42:30.6Z,1,REGULAR,2pt,Jump Shot,[],202331,71.56701708278581,42.64705882352941,1610612746,4,2,2024-02-10T20:49:07Z,230000,False,-37.0,215.0,1,right,P. George 21' step back Jump Shot (4 PTS),[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,16-24 Center,21.79,Made,,,,4.0,,,,,,,,,,,,,,
24,PT10M04.00S,2024-02-10T20:42:42.5Z,1,REGULAR,2pt,Jump Shot,[],1630595,6.915243101182654,73.2843137254902,1610612765,4,2,2024-02-10T20:49:28Z,240000,False,-116.0,13.0,1,left,MISS C. Cunningham 11' fadeaway Shot,[1630595],1610612765.0,DET,fadeaway,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,11.71,Missed,,,,,,,,,,,,,,,,,,
25,PT10M01.00S,2024-02-10T20:42:46.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,2,2024-02-10T20:42:46Z,250000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Left,,,,,24.0,,,,,1.0,1.0,0.0,,,,,,,,
26,PT09M50.00S,2024-02-10T20:42:57.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,93.11760840998686,52.20588235294118,1610612746,6,2,2024-02-10T20:43:04Z,260000,False,11.0,12.0,1,right,I. Zubac turnaround bank Hook (2 PTS) (J. Harden 2 AST),"[1627826, 201935]",1610612746.0,LAC,turnaround bank,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.64,Made,,,,2.0,J. Harden,201935.0,2.0,,,,,,,,,,,
28,PT09M34.00S,2024-02-10T20:43:16.2Z,1,REGULAR,turnover,out-of-bounds,[],1631093,,,1610612765,6,2,2024-02-10T20:43:21Z,280000,False,,,0,,J. Ivey step out-of-bounds TURNOVER (1 TO),[1631093],1610612765.0,DET,step,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,2003.0,1.0,,,,,,
29,PT09M21.00S,2024-02-10T20:43:40.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629611,80.6340341655716,93.87254901960785,1610612746,6,2,2024-02-10T20:43:52Z,290000,False,219.0,130.0,1,right,MISS T. Mann 25' 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,25.48,Missed,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2024-02-10T20:43:44.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,6,2,2024-02-10T20:43:44Z,300000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,,29.0,,,,,1.0,1.0,0.0,,,,,,,,
31,PT09M15.00S,2024-02-10T20:43:49.6Z,1,REGULAR,turnover,out-of-bounds,[],1631105,,,1610612765,6,2,2024-02-10T20:44:05Z,310000,False,,,0,,J. Duren bad pass out-of-bounds TURNOVER (1 TO),[1631105],1610612765.0,DET,bad pass,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,202901.0,1.0,,,,,,
