actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-26T02:43:12.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-26T02:43:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-26T02:43:14.1Z,1,REGULAR,jumpball,recovered,[],1629680,,,1610612757,0,0,2023-10-26T02:43:14Z,40000,False,,,0,,Jump Ball D. Ayton vs. I. Zubac: Tip to M. Thybulle,"[1629680, 1629028, 1627826]",1610612757.0,POR,startperiod,M. Thybulle,1629680.0,Thybulle,M. Thybulle,Ayton,1629028.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2023-10-26T02:43:15.3Z,1,REGULAR,turnover,out-of-bounds,[],1629680,,,1610612757,0,0,2023-10-26T02:43:21Z,70000,False,,,0,,M. Thybulle bad pass out-of-bounds TURNOVER (1 TO),[1629680],1610612757.0,POR,bad pass,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left Center,202056.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-10-26T02:43:39.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203496,85.5946123521682,94.8529411764706,1610612746,0,0,2023-10-26T02:43:45Z,80000,False,224.0,83.0,1,right,MISS R. Covington 3PT,[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,Right Corner 3,24+ Right,,,23.91,Missed,,,,,,,,,,,,,,,,
9,PT11M43.00S,2023-10-26T02:43:42.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,0,2023-10-26T02:43:45Z,90000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Right Corner 3,24+ Right,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M38.00S,2023-10-26T02:43:46.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630703,8.853482260183966,46.568627450980394,1610612757,0,0,2023-10-26T02:43:54Z,100000,False,17.0,31.0,1,left,MISS S. Henderson running Layup - blocked,"[1630703, 202695]",1610612757.0,POR,running,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,3.52,Missed,,,,,Leonard,202695.0,,,,,,,,,,
11,PT11M38.00S,2023-10-26T02:43:46.2Z,1,REGULAR,block,,[],202695,,,1610612757,0,0,2023-10-26T02:43:49Z,110000,False,,,0,,K. Leonard BLOCK (1 BLK),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M35.00S,2023-10-26T02:43:49.2Z,1,REGULAR,rebound,defensive,[],203496,,,1610612746,0,0,2023-10-26T02:43:54Z,120000,False,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M32.00S,2023-10-26T02:43:55.7Z,1,REGULAR,turnover,out-of-bounds,[],202331,,,1610612746,0,0,2023-10-26T02:44:27Z,130000,False,,,0,,P. George bad pass out-of-bounds TURNOVER (1 TO),[202331],1610612746.0,LAC,bad pass,,,George,P. George,,,,,Mid-Range,16-24 Right,202056.0,1.0,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2023-10-26T02:44:16.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629680,27.77595269382391,83.08823529411765,1610612757,0,0,2023-10-26T02:44:24Z,140000,False,-165.0,209.0,1,left,MISS M. Thybulle 26' 3PT,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left Center,,,26.62,Missed,,,,,,,,,,,,,,,,
