actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-13T02:05:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-13T02:05:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-13T02:05:42.7Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2024-03-13T02:05:42Z,40000,False,,,0,,Jump Ball R. Gobert vs. I. Zubac: Tip to A. Edwards,"[1630162, 203497, 1627826]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-13T02:05:55.3Z,1,REGULAR,3pt,Jump Shot,[],1630183,90.32522996057818,97.54901960784314,1610612750,0,0,2024-03-13T02:05:59Z,70000,False,238.0,38.0,1,right,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,24.08,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-03-13T02:05:59.3Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2024-03-13T02:05:59Z,80000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2024-03-13T02:06:01.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203497,92.95335085413929,39.70588235294118,1610612750,0,0,2024-03-13T02:06:24Z,90000,False,-51.0,14.0,1,right,MISS R. Gobert turnaround Hook,[203497],1610612750.0,MIN,turnaround,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2024-03-13T02:06:05.0Z,1,REGULAR,rebound,offensive,[],201144,,,1610612750,0,0,2024-03-13T02:09:39Z,100000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M30.00S,2024-03-13T02:06:09.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630162,94.66162943495401,10.784313725490193,1610612750,0,0,2024-03-13T02:07:57Z,110000,False,-196.0,-2.0,1,right,MISS A. Edwards 19' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left,19.61,Missed,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2024-03-13T02:06:12.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2024-03-13T02:06:13Z,120000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M17.00S,2024-03-13T02:06:23.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,6.356767411300922,38.23529411764706,1610612746,2,0,2024-03-13T02:06:27Z,130000,False,59.0,7.0,1,left,I. Zubac Hook (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.93,Made,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,,,
15,PT10M50.00S,2024-03-13T02:06:50.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612750,2,0,2024-03-13T02:06:58Z,150000,False,,,0,,MIN shot clock Team TURNOVER,[],1610612750.0,MIN,,,,,,,,,,Mid-Range,16-24 Right,,,,,,,,,,,203593.0,,,,,,,,,
