actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-07T03:13:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-07T03:13:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-07T03:13:37.0Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2023-12-07T03:13:37Z,40000,False,,,0,,Jump Ball I. Zubac vs. N. Jokic: Tip to T. Mann,"[1629611, 1627826, 203999]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-07T03:13:54.0Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612746,0,0,2023-12-07T03:15:32Z,70000,False,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,1626300.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-12-07T03:14:08.9Z,1,REGULAR,3pt,Jump Shot,[],202331,65.88370565045992,39.950980392156865,1610612746,0,0,2023-12-07T03:14:12Z,80000,False,-50.0,268.0,1,right,MISS P. George 27' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,Above the Break 3,24+ Center,27.29,Missed,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-12-07T03:14:10.9Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,0,2023-12-07T03:15:27Z,90000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Above the Break 3,24+ Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M25.00S,2023-12-07T03:14:21.7Z,1,REGULAR,3pt,Jump Shot,[],203999,31.192509855453352,26.960784313725497,1610612743,0,3,2023-12-07T03:14:26Z,100000,False,115.0,241.0,1,left,N. Jokic 26' 3PT  (3 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Right Center,26.68,Made,,,,,3.0,A. Gordon,203932.0,1.0,,,,,,,,,
12,PT11M09.00S,2023-12-07T03:14:37.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,86.7772667542707,51.470588235294116,1610612746,2,3,2023-12-07T03:16:26Z,120000,False,7.0,72.0,1,right,I. Zubac 7' driving floating Jump Shot (2 PTS) (P. George 1 AST),"[1627826, 202331]",1610612746.0,LAC,driving floating,,,Zubac,I. Zubac,,,,,,In The Paint (Non-RA),0-8 Center,7.22,Made,,,,,2.0,P. George,202331.0,1.0,,,,,,,,,
14,PT10M49.00S,2023-12-07T03:14:57.1Z,1,REGULAR,3pt,Jump Shot,[],1627750,28.827201051248352,21.07843137254902,1610612743,2,6,2023-12-07T03:15:02Z,140000,False,145.0,218.0,1,left,J. Murray 26' 3PT  (3 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Right Center,26.2,Made,,,,,3.0,N. Jokic,203999.0,1.0,,,,,,,,,
16,PT10M31.00S,2023-12-07T03:15:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,92.95335085413929,51.96078431372549,1610612746,4,6,2023-12-07T03:15:19Z,160000,False,10.0,14.0,1,right,J. Harden driving Layup (2 PTS) (K. Leonard 1 AST),"[201935, 202695]",1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,,Restricted Area,0-8 Center,1.68,Made,,,,,2.0,K. Leonard,202695.0,1.0,,,,,,,,,
18,PT10M08.00S,2023-12-07T03:15:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,16.343626806833115,62.00980392156863,1610612743,4,6,2023-12-07T03:17:28Z,180000,False,-60.0,101.0,1,left,MISS K. Caldwell-Pope 11' fadeaway Shot,[203484],1610612743.0,DEN,fadeaway,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,In The Paint (Non-RA),8-16 Left,11.76,Missed,,,,,,,,,,,,,,,,,
19,PT10M06.00S,2023-12-07T03:15:39.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,6,2023-12-07T03:15:41Z,190000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,In The Paint (Non-RA),8-16 Left,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT09M55.00S,2023-12-07T03:15:51.7Z,1,REGULAR,turnover,lost ball,[],202695,,,1610612746,4,6,2023-12-07T03:15:55Z,200000,False,,,0,,K. Leonard lost ball TURNOVER (1 TO),"[202695, 203484]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,
21,PT09M55.00S,2023-12-07T03:15:51.7Z,1,REGULAR,steal,,[],203484,,,1610612743,4,6,2023-12-07T03:15:53Z,210000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
22,PT09M38.00S,2023-12-07T03:16:08.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,27.90735873850197,87.99019607843137,1610612743,4,9,2023-12-07T03:16:12Z,220000,False,-190.0,210.0,1,left,N. Jokic 28' 3PT  (6 PTS) (K. Caldwell-Pope 1 AST),"[203999, 203484]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Left Center,28.3,Made,,,,,6.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,
24,PT09M21.00S,2023-12-07T03:16:24.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,89.27398160315374,54.411764705882355,1610612746,6,9,2023-12-07T03:16:31Z,240000,False,22.0,48.0,1,right,T. Mann fadeaway Jump Shot (2 PTS) (J. Harden 1 AST),"[1629611, 201935]",1610612746.0,LAC,fadeaway,,,Mann,T. Mann,,,,,,In The Paint (Non-RA),0-8 Center,5.31,Made,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,,
26,PT09M02.00S,2023-12-07T03:16:44.5Z,1,REGULAR,3pt,Jump Shot,[],1627750,26.461892247043366,82.59803921568627,1610612743,6,9,2023-12-07T03:18:20Z,260000,False,-163.0,196.0,1,left,MISS J. Murray 25' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,
27,PT08M56.00S,2023-12-07T03:16:50.5Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612743,6,9,2023-12-07T03:18:20Z,270000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Left Center,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,
28,PT08M55.00S,2023-12-07T03:16:51.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203484,31.718134034165573,34.31372549019608,1610612743,6,12,2023-12-07T03:16:55Z,280000,False,78.0,246.0,1,left,K. Caldwell-Pope 25' 3PT  (3 PTS) (N. Jokic 2 AST),"[203484, 203999]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Above the Break 3,24+ Center,25.79,Made,,,,,3.0,N. Jokic,203999.0,2.0,,,,,,,,,
30,PT08M40.00S,2023-12-07T03:17:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,91.90210249671485,45.58823529411765,1610612746,6,12,2023-12-07T03:17:11Z,300000,False,-22.0,24.0,1,right,MISS P. George driving Layup,[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,
31,PT08M36.00S,2023-12-07T03:17:10.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,6,12,2023-12-07T03:24:45Z,310000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
32,PT08M18.00S,2023-12-07T03:17:29.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,8.853482260183966,49.26470588235294,1610612743,6,14,2023-12-07T03:17:33Z,320000,False,4.0,31.0,1,left,A. Gordon driving Layup (2 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,,Restricted Area,0-8 Center,3.09,Made,,,,,2.0,,,,,,,,,,,,
33,PT08M18.00S,2023-12-07T03:17:34.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,6,14,2023-12-07T03:17:34Z,330000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M03.00S,2023-12-07T03:21:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,80.07555847568989,53.431372549019606,1610612746,6,14,2023-12-07T03:21:18Z,340000,False,17.0,135.0,1,right,MISS J. Harden 13' pullup Shot,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,,In The Paint (Non-RA),8-16 Center,13.59,Missed,,,,,,,,,,,,,,,,,
35,PT07M59.00S,2023-12-07T03:21:17.3Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,6,14,2023-12-07T03:21:18Z,350000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,In The Paint (Non-RA),8-16 Center,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,
36,PT07M54.00S,2023-12-07T03:21:22.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,28.95860709592641,15.441176470588232,1610612743,6,17,2023-12-07T03:21:50Z,360000,False,173.0,220.0,1,left,M. Porter Jr. 27' 3PT running (3 PTS) (A. Gordon 2 AST),"[1629008, 203932]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Right Center,27.95,Made,,,,,3.0,A. Gordon,203932.0,2.0,,,,,,,,,
38,PT07M38.00S,2023-12-07T03:21:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,83.88633377135349,57.35294117647059,1610612746,6,17,2023-12-07T03:22:18Z,380000,False,37.0,99.0,1,right,MISS K. Leonard 10' turnaround fadeaway Shot,[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,,In The Paint (Non-RA),8-16 Center,10.56,Missed,,,,,,,,,,,,,,,,,
39,PT07M36.00S,2023-12-07T03:21:38.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,6,17,2023-12-07T03:21:41Z,390000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),8-16 Center,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,
40,PT07M21.00S,2023-12-07T03:21:55.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,18.183311432325894,57.1078431372549,1610612743,6,19,2023-12-07T03:22:38Z,400000,False,-36.0,118.0,1,left,A. Gordon 12' turnaround fadeaway bank Jump Shot (4 PTS),[203932],1610612743.0,DEN,turnaround fadeaway bank,,,Gordon,A. Gordon,,,,,,In The Paint (Non-RA),8-16 Center,12.36,Made,,,,,4.0,,,,,,,,,,,,
41,PT07M04.00S,2023-12-07T03:22:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,92.29632063074901,59.31372549019608,1610612746,8,19,2023-12-07T03:22:15Z,410000,False,47.0,20.0,1,right,K. Leonard pullup Jump Shot (2 PTS) (J. Harden 2 AST),"[202695, 201935]",1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,,In The Paint (Non-RA),0-8 Center,5.07,Made,,,,,2.0,J. Harden,201935.0,2.0,,,,,,,,,
43,PT06M52.00S,2023-12-07T03:22:28.0Z,1,REGULAR,foul,personal,[],1629611,,,1610612743,8,19,2023-12-07T03:22:32Z,430000,False,,,0,,T. Mann personal FOUL (1 PF),"[1629611, 1629008]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,2882.0,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1.0,0.0,Porter Jr.,1629008.0,,
