actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-02T03:40:33.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-02T03:40:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-02T03:40:37.4Z,1,REGULAR,jumpball,recovered,[],202695,,,1610612746,0,0,2024-03-02T03:40:37Z,40000,False,,,0,,Jump Ball D. Theis vs. M. Bagley III: Tip to K. Leonard,"[202695, 1628464, 1628963]",1610612746.0,LAC,startperiod,K. Leonard,202695.0,Leonard,K. Leonard,Theis,1628464.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-03-02T03:41:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,91.77069645203679,51.470588235294116,1610612746,2,0,2024-03-02T03:41:11Z,80000,False,7.0,25.0,1,right,P. George driving Layup (2 PTS) (J. Harden 1 AST),"[202331, 201935]",1610612746.0,LAC,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,2.6,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
10,PT11M23.00S,2024-03-02T03:41:24.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,9.904730617608408,96.32352941176471,1610612764,2,3,2024-03-02T03:41:31Z,100000,False,-232.0,41.0,1,left,K. Kuzma 3PT  (3 PTS) (D. Avdija 1 AST),"[1628398, 1630166]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,23.51,Made,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
12,PT11M02.00S,2024-03-02T03:41:44.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628464,93.08475689881735,55.14705882352941,1610612746,4,3,2024-03-02T03:41:49Z,120000,False,26.0,13.0,1,right,D. Theis Hook (2 PTS) (J. Harden 2 AST),"[1628464, 201935]",1610612746.0,LAC,,,,Theis,D. Theis,,,,,Restricted Area,0-8 Center,2.86,Made,2.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
13,PT10M48.00S,2024-03-02T03:41:59.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,7.408015768725363,50.49019607843137,1610612764,4,5,2024-03-02T03:42:04Z,130000,False,-2.0,17.0,1,left,K. Kuzma driving Layup (5 PTS) (T. Jones 1 AST),"[1628398, 1626145]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,1.73,Made,5.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,,
15,PT10M33.00S,2024-03-02T03:42:13.6Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,4,5,2024-03-02T03:46:44Z,150000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1629013]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Shamet,1629013.0,,,,,,,,,,,
16,PT10M33.00S,2024-03-02T03:42:13.6Z,1,REGULAR,steal,,[],1629013,,,1610612764,4,5,2024-03-02T03:46:44Z,160000,False,,,0,,L. Shamet STEAL (1 STL),[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2024-03-02T03:42:17.0Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612764,4,5,2024-03-02T03:42:22Z,170000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 202695]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Center,,,,,,,1.0,Leonard,202695.0,,,,,,,,,,,
18,PT10M30.00S,2024-03-02T03:42:17.0Z,1,REGULAR,steal,,[],202695,,,1610612746,4,5,2024-03-02T03:42:20Z,180000,False,,,0,,K. Leonard STEAL (1 STL),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
