actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-10T19:10:31.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T19:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-03-10T19:10:36.0Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612749,0,0,2024-03-10T19:10:36Z,40000,False,,,0,,Jump Ball B. Lopez vs. I. Zubac: Tip to J. Crowder,"[203109, 201572, 1627826]",1610612749.0,MIL,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Lopez,201572.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-03-10T19:10:47.2Z,1,REGULAR,3pt,Jump Shot,[],203081,23.4395532194481,87.00980392156862,1610612749,0,3,2024-03-10T19:11:00Z,70000,False,-185.0,168.0,1,left,D. Lillard 24' 3PT pullup (3 PTS) (G. Antetokounmpo 1 AST),"[203081, 203507]",1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,24.98,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2024-03-10T19:11:07.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,93.47897503285151,61.27450980392157,1610612746,2,3,2024-03-10T19:11:11Z,90000,False,56.0,9.0,1,right,I. Zubac Hook (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.71,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2024-03-10T19:11:15.7Z,1,REGULAR,2pt,Jump Shot,[],203507,12.927069645203687,81.86274509803921,1610612749,2,3,2024-03-10T19:11:20Z,100000,False,-159.0,69.0,1,left,MISS G. Antetokounmpo 17' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left,17.36,Missed,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2024-03-10T19:11:18.7Z,1,REGULAR,rebound,defensive,[],200782,,,1610612746,2,3,2024-03-10T19:11:20Z,110000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612746.0,LAC,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Left,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M02.00S,2024-03-10T19:11:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,83.5742444152431,57.98483455882353,1610612746,4,3,2024-03-10T19:11:39Z,120000,False,40.0,102.0,1,right,I. Zubac 10' floating Jump Shot (4 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,10.94,Made,4.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
14,PT10M47.00S,2024-03-10T19:11:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203109,7.013797634691201,55.63725490196079,1610612749,4,3,2024-03-10T19:11:54Z,140000,False,-28.0,13.0,1,left,MISS J. Crowder reverse Layup - blocked,"[203109, 1629599]",1610612749.0,MIL,reverse,,,Crowder,J. Crowder,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,,,,,Coffey,1629599.0,,,,,,,,
15,PT10M47.00S,2024-03-10T19:11:43.2Z,1,REGULAR,block,,[],1629599,,,1610612749,4,3,2024-03-10T19:11:46Z,150000,False,,,0,,A. Coffey BLOCK (1 BLK),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2024-03-10T19:11:47.2Z,1,REGULAR,rebound,offensive,[],203109,,,1610612749,4,3,2024-03-10T19:11:47Z,160000,False,,,0,,J. Crowder REBOUND (Off:1 Def:0),[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M39.00S,2024-03-10T19:11:51.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,9.247700394218143,4.411764705882348,1610612749,4,6,2024-03-10T19:11:57Z,170000,False,228.0,34.0,1,left,M. Beasley 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[1627736, 203507]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Right Corner 3,24+ Right,23.05,Made,3.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,,,,
19,PT10M24.00S,2024-03-10T19:12:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,90.98226018396846,41.17647058823529,1610612746,6,6,2024-03-10T19:12:15Z,190000,False,-44.0,32.0,1,right,J. Harden driving floating Jump Shot (2 PTS),[201935],1610612746.0,LAC,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,5.47,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2024-03-10T19:12:14.5Z,1,REGULAR,foul,personal,['1freethrow'],203109,,,1610612746,6,6,2024-03-10T19:12:41Z,200000,False,,,0,,J. Crowder shooting personal FOUL (1 PF) (Harden 1 FT),"[203109, 201935]",1610612749.0,MIL,shooting,,,Crowder,J. Crowder,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627526.0,1.0,0.0,Harden,201935.0,,,
22,PT10M24.00S,2024-03-10T19:12:43.1Z,1,REGULAR,freethrow,1 of 1,[],201935,,,1610612746,7,6,2024-03-10T19:12:43Z,220000,False,,,0,,J. Harden Free Throw 1 of 1 (3 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
