actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-24T19:40:29.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-24T19:40:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-24T19:40:31.7Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-03-24T19:40:31Z,40000,False,,,0,,Jump Ball M. Bamba vs. I. Zubac: Tip to T. Maxey,"[1630178, 1628964, 1627826]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Bamba,1628964.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-03-24T19:40:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,15.160972404730614,48.529411764705884,1610612755,0,0,2024-03-24T19:40:51Z,70000,False,7.0,90.0,1,left,MISS T. Harris 9' turnaround Shot,[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,9.03,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-03-24T19:40:50.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2024-03-24T19:40:51Z,80000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2024-03-24T19:41:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,93.2161629434954,56.86274509803921,1610612746,0,0,2024-03-24T19:41:09Z,90000,False,34.0,11.0,1,right,MISS T. Mann Layup - blocked,"[1629611, 1628964]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,3.61,Missed,,,,,Bamba,1628964.0,,,,,,,,,,,,
10,PT11M21.00S,2024-03-24T19:41:06.7Z,1,REGULAR,block,,[],1628964,,,1610612746,0,0,2024-03-24T19:41:09Z,100000,False,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2024-03-24T19:41:08.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612755,0,0,2024-03-24T19:41:09Z,110000,False,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M15.00S,2024-03-24T19:41:13.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202699,7.802233902759525,4.656862745098039,1610612755,0,3,2024-03-24T19:41:20Z,120000,False,227.0,21.0,1,left,T. Harris 3PT running pullup (3 PTS) (B. Hield 1 AST),"[202699, 1627741]",1610612755.0,PHI,running pullup,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,22.77,Made,,,,,,,3.0,B. Hield,1627741.0,1.0,,,,,,,,
14,PT10M56.00S,2024-03-24T19:41:32.0Z,1,REGULAR,3pt,Jump Shot,[],201935,72.32260183968462,80.63725490196079,1610612746,0,3,2024-03-24T19:41:35Z,140000,False,153.0,208.0,1,right,MISS J. Harden 25' 3PT,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2024-03-24T19:41:34.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,3,2024-03-24T19:41:35Z,150000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M47.00S,2024-03-24T19:41:41.6Z,1,REGULAR,2pt,Jump Shot,[],202699,15.686596583442835,66.66666666666667,1610612755,0,5,2024-03-24T19:41:44Z,160000,False,-83.0,95.0,1,left,T. Harris 12' pullup Jump Shot (5 PTS),[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,12.63,Made,,,,,,,5.0,,,,,,,,,,,
17,PT10M25.00S,2024-03-24T19:42:02.8Z,1,REGULAR,3pt,Jump Shot,[],202695,77.84165571616295,89.70588235294117,1610612746,0,5,2024-03-24T19:42:08Z,170000,False,199.0,156.0,1,right,MISS K. Leonard 25' 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,,,,,,,,,,,,,,,,,
