actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-18T03:40:47.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-18T03:40:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-18T03:40:49.9Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612745,0,0,2023-11-18T03:40:49Z,40000,False,,,0,,Jump Ball A. Sengun vs. I. Zubac: Tip to F. VanVleet,"[1627832, 1630578, 1627826]",1610612745.0,HOU,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Sengun,1630578.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-11-18T03:41:02.0Z,1,REGULAR,3pt,Jump Shot,[],1627832,68.24901445466492,32.59803921568627,1610612745,0,3,2023-11-18T03:41:06Z,70000,False,-87.0,246.0,1,right,F. VanVleet 26' 3PT  (3 PTS) (A. Sengun 1 AST),"[1627832, 1630578]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,26.09,Made,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-11-18T03:41:16.9Z,1,REGULAR,turnover,out-of-bounds,[],201935,,,1610612746,0,3,2023-11-18T03:41:23Z,90000,False,,,0,,J. Harden bad pass out-of-bounds TURNOVER (1 TO),[201935],1610612746.0,LAC,bad pass,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,,,,1628953.0,1.0,,,,,,,,,,,,
10,PT11M20.00S,2023-11-18T03:41:33.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630578,82.44086727989487,60.049019607843135,1610612745,0,3,2023-11-18T03:41:40Z,100000,False,50.0,113.0,1,right,MISS A. Sengun 12' driving floating Shot,[1630578],1610612745.0,HOU,driving floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,12.33,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2023-11-18T03:41:40.5Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,3,2023-11-18T03:41:40Z,110000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M59.00S,2023-11-18T03:41:53.7Z,1,REGULAR,3pt,Jump Shot,[],202331,6.225361366622863,95.09803921568627,1610612746,3,3,2023-11-18T03:41:58Z,120000,False,-225.0,6.0,1,left,P. George 3PT  (3 PTS) (T. Mann 1 AST),"[202331, 1629611]",1610612746.0,LAC,,,,George,P. George,,,,,Left Corner 3,24+ Left,22.56,Made,3.0,T. Mann,1629611.0,1.0,,,,,,,,,,,,,,
14,PT10M39.00S,2023-11-18T03:42:13.3Z,1,REGULAR,2pt,Jump Shot,[],1630578,83.88633377135349,34.06862745098039,1610612745,3,5,2023-11-18T03:42:17Z,140000,False,-80.0,99.0,1,right,A. Sengun 12' Jump Shot (2 PTS) (D. Brooks 1 AST),"[1630578, 1628415]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,12.71,Made,2.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,
16,PT10M21.00S,2023-11-18T03:42:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,8.065045992115643,52.69607843137255,1610612746,5,5,2023-11-18T03:42:34Z,160000,False,-13.0,23.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,2.69,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M04.00S,2023-11-18T03:42:48.7Z,1,REGULAR,3pt,Jump Shot,[],1631095,70.87713534822602,20.34313725490196,1610612745,5,5,2023-11-18T03:42:53Z,170000,False,-148.0,221.0,1,right,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,26.64,Missed,,,,,,,,,,,,,,,,,,
18,PT10M00.00S,2023-11-18T03:42:52.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,5,5,2023-11-18T03:42:53Z,180000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT09M48.00S,2023-11-18T03:43:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,10.430354796320628,54.90196078431372,1610612746,7,5,2023-11-18T03:43:07Z,190000,False,-25.0,46.0,1,left,I. Zubac Layup (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M33.00S,2023-11-18T03:43:19.2Z,1,REGULAR,2pt,Jump Shot,[],1631095,82.70367936925098,74.26470588235294,1610612745,7,5,2023-11-18T03:43:24Z,200000,False,121.0,110.0,1,right,MISS J. Smith Jr. 16' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right Center,16.38,Missed,,,,,,,,,,,,,,,,,,
21,PT09M32.00S,2023-11-18T03:43:20.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,7,5,2023-11-18T03:43:24Z,210000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT09M16.00S,2023-11-18T03:43:39.5Z,1,REGULAR,foul,personal,['3freethrow'],1631095,,,1610612746,7,5,2023-11-18T03:43:45Z,220000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Harden 3 FT),"[1631095, 201935]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,,,,,,,2004.0,,,,,,1.0,0.0,Harden,201935.0,,,,
24,PT09M16.00S,2023-11-18T03:44:12.0Z,1,REGULAR,freethrow,1 of 3,[],201935,,,1610612746,8,5,2023-11-18T03:44:12Z,240000,False,,,0,,J. Harden Free Throw 1 of 3 (3 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
