actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-10-30T01:10:59.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-30T01:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-30T01:11:02.4Z,1,REGULAR,jumpball,recovered,[],1628380,,,1610612759,0,0,2023-10-30T01:11:02Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. I. Zubac: Tip to Z. Collins,"[1628380, 1641705, 1627826]",1610612759.0,SAS,startperiod,Z. Collins,1628380.0,Collins,Z. Collins,Wembanyama,1641705.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-10-30T01:11:09.2Z,1,REGULAR,turnover,lost ball,[],1641705,,,1610612759,0,0,2023-10-30T01:11:14Z,70000,False,,,0,,V. Wembanyama lost ball TURNOVER (1 TO),"[1641705, 202331]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,1.0,George,202331.0,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2023-10-30T01:11:09.2Z,1,REGULAR,steal,,[],202331,,,1610612746,0,0,2023-10-30T01:11:11Z,80000,False,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-10-30T01:11:19.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202331,66.27792378449408,62.745098039215684,1610612746,0,0,2023-10-30T01:11:27Z,90000,False,64.0,264.0,1,right,MISS P. George 27' step back 3PT,[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,27.21,Missed,,,,,,,,,,,,,,,
10,PT11M37.00S,2023-10-30T01:11:22.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,0,0,2023-10-30T01:11:27Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,9.0,,,,,,,,,,,,,,
12,PT11M21.00S,2023-10-30T01:11:45.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,25.673455978975028,15.931372549019613,1610612759,0,3,2023-10-30T01:11:55Z,120000,False,170.0,189.0,1,left,K. Johnson 25' 3PT  (3 PTS) (Z. Collins 1 AST),"[1629640, 1628380]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,25.43,Made,,3.0,Z. Collins,1628380.0,1.0,,,,,,,,,,
14,PT11M00.00S,2023-10-30T01:12:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,92.95335085413929,43.38235294117647,1610612746,0,3,2023-10-30T01:12:10Z,140000,False,-33.0,14.0,1,right,MISS I. Zubac Layup - blocked,"[1627826, 1641705]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,3.58,Missed,,,,,,Wembanyama,1641705.0,,,,,,,,
15,PT11M00.00S,2023-10-30T01:12:06.1Z,1,REGULAR,block,,[],1641705,,,1610612746,0,3,2023-10-30T01:12:07Z,150000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2023-10-30T01:12:08.1Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,3,2023-10-30T01:12:10Z,160000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,14.0,,,,,,,1.0,1.0,0.0,,,,,
17,PT10M54.00S,2023-10-30T01:12:14.7Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612759,0,3,2023-10-30T01:12:19Z,170000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1627826, 1641705]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Wembanyama,1641705.0
19,PT10M54.00S,2023-10-30T01:12:44.7Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,0,3,2023-10-30T01:13:01Z,190000,False,,,0,,MISS V. Wembanyama Free Throw 1 of 2,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
20,PT10M54.00S,2023-10-30T01:12:44.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,0,3,2023-10-30T01:13:01Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,
21,PT10M54.00S,2023-10-30T01:12:44.7Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,0,3,2023-10-30T01:13:01Z,210000,False,,,0,,MISS V. Wembanyama Free Throw 2 of 2,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
22,PT10M52.00S,2023-10-30T01:12:46.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,3,2023-10-30T01:13:01Z,220000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,21.0,,,,,,,1.0,1.0,0.0,,,,,
