actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-15T03:40:28.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-15T03:40:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-15T03:40:33.0Z,1,REGULAR,jumpball,recovered,[],1641764,,,1610612744,0,0,2023-12-15T03:40:33Z,40000,False,,,0,,Jump Ball K. Looney vs. I. Zubac: Tip to B. Podziemski,"[1641764, 1626172, 1627826]",1610612744.0,GSW,startperiod,B. Podziemski,1641764.0,Podziemski,B. Podziemski,Looney,1626172.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-12-15T03:40:41.7Z,1,REGULAR,3pt,Jump Shot,[],202691,72.7168199737188,20.588235294117652,1610612744,0,3,2023-12-15T03:41:10Z,70000,False,-147.0,204.0,1,right,K. Thompson 25' 3PT pullup (3 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,25.15,Made,3.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-12-15T03:41:06.0Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,0,3,2023-12-15T03:41:10Z,90000,False,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1626172]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Looney,1626172.0,,,,,,,,,,,
10,PT11M21.00S,2023-12-15T03:41:06.0Z,1,REGULAR,steal,,[],1626172,,,1610612744,0,3,2023-12-15T03:41:07Z,100000,False,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2023-12-15T03:41:17.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630228,73.242444152431,21.568627450980387,1610612744,0,3,2023-12-15T03:41:22Z,110000,False,-142.0,199.0,1,right,MISS J. Kuminga 24' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Left Center,24.46,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2023-12-15T03:41:20.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,3,2023-12-15T03:41:22Z,120000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT10M55.00S,2023-12-15T03:41:31.7Z,1,REGULAR,turnover,bad pass,[],1629599,,,1610612746,0,3,2023-12-15T03:41:35Z,130000,False,,,0,,A. Coffey bad pass TURNOVER (1 TO),"[1629599, 1641764]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Podziemski,1641764.0,,,,,,,,,,,
14,PT10M55.00S,2023-12-15T03:41:31.7Z,1,REGULAR,steal,,[],1641764,,,1610612744,0,3,2023-12-15T03:41:33Z,140000,False,,,0,,B. Podziemski STEAL (1 STL),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2023-12-15T03:41:40.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626172,92.16491458607096,50.245098039215684,1610612744,0,3,2023-12-15T03:42:48Z,150000,False,1.0,21.0,1,right,MISS K. Looney cutting Layup - blocked,"[1626172, 1627826]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,Zubac,1627826.0,,,,,
