actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
17,PT10M56.00S,2023-11-01T02:41:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,7.802233902759525,43.38235294117647,1610612753,0,0,2023-11-01T02:58:43Z,170000,False,33.0,21.0,1,left,MISS P. Banchero turnaround Shot,[1631094],1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,3.91,Missed,,,,,,,,,,,,,,,
18,PT10M55.00S,2023-11-01T02:41:58.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2023-11-01T02:58:43Z,180000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
111,PT10M53.00S,2023-11-01T02:42:01.9Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,0,0,2023-11-01T02:58:06Z,185000,False,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1628365]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.0,Fultz,1628365.0,,,,,,,,,,,,,,,,,
112,PT10M53.00S,2023-11-01T02:42:01.9Z,1,REGULAR,steal,,[],1628365,,,1610612753,0,0,2023-11-01T02:57:40Z,187500,False,,,0,,M. Fultz STEAL (1 STL),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT10M51.00S,2023-11-01T02:42:04.2Z,1,REGULAR,turnover,bad pass,[],1628365,,,1610612753,0,0,2023-11-01T02:58:28Z,188750,False,,,0,,M. Fultz bad pass TURNOVER (1 TO),"[1628365, 202331]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Right,1.0,George,202331.0,,,,,,,,,,,,,,,,,
119,PT10M51.00S,2023-11-01T02:42:04.2Z,1,REGULAR,steal,,[],202331,,,1610612746,0,0,2023-11-01T02:58:20Z,189375,False,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
19,PT10M47.00S,2023-11-01T02:42:06.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",202331,90.45663600525624,48.774509803921575,1610612746,0,0,2023-11-01T02:58:20Z,190000,False,-6.0,37.0,1,right,MISS P. George running Layup - blocked,"[202331, 1630591]",1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,3.77,Missed,,,,,Suggs,1630591.0,,,,,,,,,
20,PT10M47.00S,2023-11-01T02:42:06.6Z,1,REGULAR,block,,[],1630591,,,1610612746,0,0,2023-11-01T02:42:08Z,200000,False,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M47.00S,2023-11-01T02:42:06.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,0,0,2023-11-01T02:42:15Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,19.0,,,,,,,,,,,,,,
23,PT10M45.00S,2023-11-01T02:42:24.5Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612746,0,0,2023-11-01T02:42:31Z,230000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Leonard 2 FT),"[1628976, 202695]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1179.0,1.0,0.0,Leonard,202695.0,,,,
