actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-30T03:40:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-30T03:40:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-12-30T03:40:38.6Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2023-12-30T03:40:38Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. I. Zubac: Tip to J. Morant,"[1629630, 1628991, 1627826]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Jackson Jr.,1628991.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-12-30T03:40:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,94.53022339027595,49.50980392156863,1610612763,0,2,2023-12-30T03:40:50Z,70000,False,-2.0,-1.0,1,right,M. Smart cutting Layup (2 PTS) (J. Morant 1 AST),"[203935, 1629630]",1610612763.0,MEM,cutting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,0.27,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2023-12-30T03:41:00.3Z,1,REGULAR,3pt,Jump Shot,[],1629611,5.699737187910642,96.32352941176471,1610612746,0,2,2023-12-30T03:41:05Z,90000,False,-232.0,1.0,1,left,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2023-12-30T03:41:04.3Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,2,2023-12-30T03:41:05Z,100000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Left Corner 3,24+ Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M22.00S,2023-12-30T03:41:10.1Z,1,REGULAR,3pt,Jump Shot,[],1628991,70.48291721419186,79.41176470588235,1610612763,0,5,2023-12-30T03:41:15Z,110000,False,147.0,225.0,1,right,J. Jackson Jr. 26' 3PT  (3 PTS) (J. Morant 2 AST),"[1628991, 1629630]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,26.88,Made,3.0,J. Morant,1629630.0,2.0,,,,,,,,,,,,,,
13,PT11M01.00S,2023-12-30T03:41:31.0Z,1,REGULAR,2pt,Jump Shot,[],202331,23.04533508541394,60.53921568627451,1610612746,2,5,2023-12-30T03:41:34Z,130000,False,-53.0,164.0,1,left,P. George 17' pullup Jump Shot (2 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Center,17.24,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2023-12-30T03:41:43.5Z,1,REGULAR,3pt,Jump Shot,[],1628991,73.11103810775296,86.27450980392157,1610612763,2,8,2023-12-30T03:41:48Z,140000,False,181.0,200.0,1,right,J. Jackson Jr. 27' 3PT  (6 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,27.02,Made,6.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
16,PT10M23.00S,2023-12-30T03:42:09.4Z,1,REGULAR,3pt,Jump Shot,[],202331,33.163600525624176,43.38235294117647,1610612746,2,8,2023-12-30T03:42:13Z,160000,False,33.0,259.0,1,left,MISS P. George 26' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Center,26.13,Missed,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2023-12-30T03:42:12.4Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,8,2023-12-30T03:42:13Z,170000,False,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,
18,PT10M10.00S,2023-12-30T03:42:23.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202687,91.24507227332458,44.85294117647059,1610612763,2,8,2023-12-30T03:42:40Z,180000,False,-26.0,30.0,1,right,MISS B. Biyombo Hook,[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,,,,
19,PT10M08.00S,2023-12-30T03:42:25.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,8,2023-12-30T03:42:26Z,190000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT09M59.00S,2023-12-30T03:42:34.1Z,1,REGULAR,3pt,Jump Shot,[],1629599,10.036136662286467,3.9215686274509807,1610612746,5,8,2023-12-30T03:42:38Z,200000,False,230.0,42.0,1,left,A. Coffey 3PT  (3 PTS) (T. Mann 1 AST),"[1629599, 1629611]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Right Corner 3,24+ Right,23.42,Made,3.0,T. Mann,1629611.0,1.0,,,,,,,,,,,,,,
22,PT09M35.00S,2023-12-30T03:42:57.5Z,1,REGULAR,2pt,Jump Shot,[],203935,75.87056504599212,76.7156862745098,1610612763,5,10,2023-12-30T03:43:02Z,220000,False,134.0,174.0,1,right,M. Smart 21' step back Jump Shot (4 PTS) (J. Morant 3 AST),"[203935, 1629630]",1610612763.0,MEM,step back,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right Center,21.96,Made,4.0,J. Morant,1629630.0,3.0,,,,,,,,,,,,,,
24,PT09M18.00S,2023-12-30T03:43:14.5Z,1,REGULAR,2pt,Jump Shot,[],202331,20.54862023653088,39.4607843137255,1610612746,5,10,2023-12-30T03:43:19Z,240000,False,53.0,141.0,1,left,MISS P. George 15' step back Shot,[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,8-16 Center,15.02,Missed,,,,,,,,,,,,,,,,,,
25,PT09M14.00S,2023-12-30T03:43:18.5Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,5,10,2023-12-30T03:43:19Z,250000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,Mid-Range,8-16 Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
