actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
524,PT11M16.00S,2023-12-17T05:32:58.8Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,14.898160315374511,50.245098039215684,1610612746,116,100,2023-12-17T05:33:02Z,5090000,False,-1.0,88.0,1,left,MISS N. Powell 8' driving floating Shot,[1626181],1610612746.0,LAC,driving floating,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,8.75,Missed,,,,,,,,,,,,,,,,,,
525,PT11M13.00S,2023-12-17T05:33:01.8Z,4,REGULAR,rebound,defensive,[],1628392,,,1610612752,116,100,2023-12-17T05:33:02Z,5100000,False,,,0,,I. Hartenstein REBOUND (Off:3 Def:4),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,524.0,7.0,4.0,3.0,,,,,,,,
526,PT11M07.00S,2023-12-17T05:33:07.9Z,4,REGULAR,turnover,bad pass,[],1628973,,,1610612752,116,100,2023-12-17T05:33:15Z,5110000,False,,,0,,J. Brunson bad pass TURNOVER (2 TO),"[1628973, 201566]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,2.0,Westbrook,201566.0,,,,,
527,PT11M07.00S,2023-12-17T05:33:07.9Z,4,REGULAR,steal,,[],201566,,,1610612746,116,100,2023-12-17T05:33:09Z,5120000,False,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
528,PT11M01.00S,2023-12-17T05:33:13.8Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202331,6.619579500657039,48.0392156862745,1610612746,118,100,2023-12-17T05:33:19Z,5130000,False,10.0,10.0,1,left,P. George running Layup (20 PTS) (R. Westbrook 4 AST),"[202331, 201566]",1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,1.38,Made,20.0,R. Westbrook,201566.0,4.0,,,,,,,,,,,,,,
529,PT10M48.00S,2023-12-17T05:33:25.8Z,4,REGULAR,3pt,Jump Shot,[],1628973,71.27135348226018,79.16666666666666,1610612752,118,100,2023-12-17T05:36:14Z,5140000,False,146.0,218.0,1,right,MISS J. Brunson 26' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,26.18,Missed,,,,,,,,,,,,,,,,,,
530,PT10M44.00S,2023-12-17T05:33:29.8Z,4,REGULAR,rebound,offensive,[],1628392,,,1610612752,118,100,2023-12-17T05:33:38Z,5150000,False,,,0,,I. Hartenstein REBOUND (Off:4 Def:4),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,529.0,8.0,4.0,4.0,,,,,,,,
531,PT10M43.00S,2023-12-17T05:33:31.4Z,4,REGULAR,turnover,bad pass,[],1628392,,,1610612752,118,100,2023-12-17T05:36:29Z,5160000,False,,,0,,I. Hartenstein bad pass TURNOVER (2 TO),"[1628392, 1628464]",1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,2.0,Theis,1628464.0,,,,,
532,PT10M43.00S,2023-12-17T05:33:31.4Z,4,REGULAR,steal,,[],1628464,,,1610612746,118,100,2023-12-17T05:33:33Z,5170000,False,,,0,,D. Theis STEAL (1 STL),[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
533,PT10M38.00S,2023-12-17T05:33:36.5Z,4,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626181,33.42641261498029,50.245098039215684,1610612746,118,100,2023-12-17T05:36:52Z,5180000,False,-1.0,262.0,1,left,MISS N. Powell 26' running 3PT,[1626181],1610612746.0,LAC,running,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,26.17,Missed,,,,,,,,,,,,,,,,,,
