actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-13T02:40:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-13T02:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-04-13T02:40:32.4Z,1,REGULAR,jumpball,recovered,[],1641707,,,1610612762,0,0,2024-04-13T02:40:32Z,40000,False,,,0,,Jump Ball O. Yurtseven vs. I. Zubac: Tip to T. Hendricks,"[1641707, 1630209, 1627826]",1610612762.0,UTA,startperiod,T. Hendricks,1641707.0,Hendricks,T. Hendricks,Yurtseven,1630209.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-04-13T02:40:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629677,92.69053876478318,47.549019607843135,1610612762,0,2,2024-04-13T02:40:49Z,70000,False,-12.0,16.0,1,right,L. Samanic cutting Layup (2 PTS) (T. Hendricks 1 AST),"[1629677, 1641707]",1610612762.0,UTA,cutting,,,Samanic,L. Samanic,,,,,Restricted Area,0-8 Center,2.03,Made,2.0,T. Hendricks,1641707.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-04-13T02:40:58.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,7.539421813403408,49.754901960784316,1610612746,2,2,2024-04-13T02:41:04Z,90000,False,1.0,18.0,1,left,I. Zubac alley-oop DUNK (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,alley-oop,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2024-04-13T02:41:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629677,91.63929040735874,45.09803921568627,1610612762,2,2,2024-04-13T02:41:36Z,110000,False,-25.0,26.0,1,right,MISS L. Samanic driving Layup,[1629677],1610612762.0,UTA,driving,,,Samanic,L. Samanic,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2024-04-13T02:41:11.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,2,2024-04-13T02:41:26Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,11.0,,,,,,,,,,,,,
14,PT11M05.00S,2024-04-13T02:41:36.8Z,1,REGULAR,3pt,Jump Shot,[],202331,32.37516425755584,57.84313725490196,1610612746,5,2,2024-04-13T02:42:01Z,140000,False,-39.0,252.0,1,left,P. George 25' 3PT pullup (3 PTS) (J. Harden 2 AST),"[202331, 201935]",1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Center,25.48,Made,3.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
16,PT10M55.00S,2024-04-13T02:41:48.8Z,1,REGULAR,turnover,out-of-bounds,[],1641718,,,1610612762,5,2,2024-04-13T02:41:57Z,160000,False,,,0,,K. George lost ball out-of-bounds TURNOVER (1 TO),[1641718],1610612762.0,UTA,lost ball,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,,,,,1629178.0,1.0,,,,,,,,,,,
17,PT10M47.00S,2024-04-13T02:42:13.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629611,9.379106438896187,3.9215686274509807,1610612746,8,2,2024-04-13T02:42:19Z,170000,False,230.0,36.0,1,left,T. Mann 3PT  (3 PTS) (J. Harden 3 AST),"[1629611, 201935]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,23.31,Made,3.0,J. Harden,201935.0,3.0,,,,,,,,,,,,,,
19,PT10M29.00S,2024-04-13T02:42:37.9Z,1,REGULAR,foul,technical,['1freethrow'],1627826,,,1610612762,8,2,2024-04-13T02:42:46Z,190000,False,,,0,,I. Zubac defensive-3-second technical FOUL (1 Tech),[1627826],1610612746.0,LAC,defensive-3-second,,,Zubac,I. Zubac,,,,,,,,,,,,,,203593.0,,0.0,1.0,,,,,,,,,
20,PT10M29.00S,2024-04-13T02:42:52.3Z,1,REGULAR,freethrow,1 of 1,[],1641718,,,1610612762,8,2,2024-04-13T02:42:52Z,200000,False,,,0,,MISS K. George technical Free Throw 1 of 1,[1641718],1610612762.0,UTA,technical,,,George,K. George,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M29.00S,2024-04-13T02:42:52.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,8,2,2024-04-13T02:42:52Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
22,PT10M20.00S,2024-04-13T02:43:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,80.99540078843627,46.81372549019608,1610612762,8,4,2024-04-13T02:43:20Z,220000,False,-16.0,126.0,1,right,K. George 12' driving floating Jump Shot (2 PTS),[1641718],1610612762.0,UTA,driving floating,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,12.71,Made,2.0,,,,,,,,,,,,,,,,,
23,PT09M54.00S,2024-04-13T02:43:40.6Z,1,REGULAR,3pt,Jump Shot,[],201935,9.510512483574246,3.1862745098039227,1610612746,8,4,2024-04-13T02:43:44Z,230000,False,234.0,37.0,1,left,MISS J. Harden 3PT,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2024-04-13T02:43:41.6Z,1,REGULAR,rebound,defensive,[],1629677,,,1610612762,8,4,2024-04-13T02:43:44Z,240000,False,,,0,,L. Samanic REBOUND (Off:0 Def:1),[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,Right Corner 3,24+ Right,,,,,,,23.0,,,,,1.0,1.0,0.0,,,,,,
25,PT09M44.00S,2024-04-13T02:43:51.3Z,1,REGULAR,turnover,lost ball,[],1629677,,,1610612762,8,4,2024-04-13T02:43:59Z,250000,False,,,0,,L. Samanic lost ball TURNOVER (1 TO),"[1629677, 200782]",1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,Tucker,200782.0,,,,
26,PT09M44.00S,2024-04-13T02:43:51.3Z,1,REGULAR,steal,,[],200782,,,1610612746,8,4,2024-04-13T02:43:53Z,260000,False,,,0,,P. Tucker STEAL (1 STL),[200782],1610612746.0,LAC,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M38.00S,2024-04-13T02:43:57.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202331,6.750985545335084,42.40196078431373,1610612746,8,4,2024-04-13T02:44:09Z,270000,False,38.0,11.0,1,left,MISS P. George running Layup,[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,3.96,Missed,,,,,,,,,,,,,,,,,,
