actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-02T03:40:27.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-02T03:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-02T03:40:30.5Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2024-01-02T03:40:30Z,40000,False,,,0,,Jump Ball B. Adebayo vs. I. Zubac: Tip to K. Lowry,"[200768, 1628389, 1627826]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-01-02T03:40:51.9Z,1,REGULAR,2pt,Jump Shot,[],1631288,5.568331143232584,25.735294117647058,1610612748,0,0,2024-01-02T03:40:59Z,70000,False,121.0,0.0,1,left,MISS J. Cain 12' fadeaway Shot,[1631288],1610612748.0,MIA,fadeaway,,,Cain,J. Cain,,,,,Mid-Range,8-16 Right,12.13,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2024-01-02T03:40:53.9Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2024-01-02T03:40:59Z,80000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2024-01-02T03:41:07.4Z,1,REGULAR,3pt,Jump Shot,[],202695,94.53022339027595,5.14705882352942,1610612746,0,0,2024-01-02T03:41:11Z,90000,False,-224.0,-1.0,1,right,MISS K. Leonard 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Left Corner 3,24+ Left,22.43,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2024-01-02T03:41:10.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-01-02T03:41:11Z,100000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M11.00S,2024-01-02T03:41:15.5Z,1,REGULAR,2pt,Jump Shot,[],200768,24.967148488830475,22.771139705882348,1610612748,0,2,2024-01-02T03:41:39Z,110000,False,136.0,182.0,1,left,K. Lowry 22' Jump Shot (2 PTS) (T. Herro 1 AST),"[200768, 1629639]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Right Center,22.74,Made,,,,,2.0,T. Herro,1629639.0,1.0,,,,,,,,,,
13,PT10M52.00S,2024-01-02T03:41:34.0Z,1,REGULAR,3pt,Jump Shot,[],1629611,73.11103810775296,81.37254901960785,1610612746,3,2,2024-01-02T03:41:42Z,130000,False,157.0,200.0,1,right,T. Mann 25' 3PT  (3 PTS) (I. Zubac 1 AST),"[1629611, 1627826]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,25.44,Made,,,,,3.0,I. Zubac,1627826.0,1.0,,,,,,,,,,
15,PT10M38.00S,2024-01-02T03:41:49.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,19.365965834428394,64.2156862745098,1610612748,3,2,2024-01-02T03:41:54Z,150000,False,-71.0,130.0,1,left,MISS B. Adebayo 14' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,14.77,Missed,,,,,,,,,,,,,,,,,,
16,PT10M34.00S,2024-01-02T03:41:53.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,3,2,2024-01-02T03:41:54Z,160000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M26.00S,2024-01-02T03:42:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,93.08475689881735,49.50980392156863,1610612746,5,2,2024-01-02T03:42:05Z,170000,False,-2.0,13.0,1,right,J. Harden driving finger roll Layup (2 PTS),[201935],1610612746.0,LAC,driving finger roll,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.27,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M01.00S,2024-01-02T03:42:25.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,15.686596583442835,54.90196078431372,1610612748,5,4,2024-01-02T03:42:30Z,180000,False,-25.0,95.0,1,left,B. Adebayo 9' pullup Jump Shot (2 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,9.81,Made,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,
20,PT09M31.00S,2024-01-02T03:42:55.3Z,1,REGULAR,3pt,Jump Shot,[],201935,67.9862023653088,67.15686274509804,1610612746,8,4,2024-01-02T03:43:02Z,200000,False,86.0,248.0,1,right,J. Harden 26' 3PT step back (5 PTS) (K. Leonard 1 AST),"[201935, 202695]",1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,26.28,Made,,,,,5.0,K. Leonard,202695.0,1.0,,,,,,,,,,
22,PT09M04.00S,2024-01-02T03:43:22.6Z,1,REGULAR,2pt,Jump Shot,[],1628389,21.994086727989497,50.245098039215684,1610612748,8,4,2024-01-02T03:43:27Z,220000,False,-1.0,154.0,1,left,MISS B. Adebayo 15' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,15.42,Missed,,,,,,,,,,,,,,,,,,
23,PT09M01.00S,2024-01-02T03:43:26.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,4,2024-01-02T03:43:26Z,230000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT08M51.00S,2024-01-02T03:43:38.6Z,1,REGULAR,turnover,out-of-bounds,[],202331,,,1610612746,8,4,2024-01-02T03:43:46Z,240000,False,,,0,,P. George step out-of-bounds TURNOVER (1 TO),[202331],1610612746.0,LAC,step,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1204.0,1.0,,,,,,,,
25,PT08M39.00S,2024-01-02T03:43:57.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,28.170170827858072,21.07843137254902,1610612748,8,7,2024-01-02T03:44:03Z,250000,False,145.0,212.0,1,left,T. Herro 25' 3PT  (3 PTS) (J. Jaquez Jr. 1 AST),"[1629639, 1631170]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,25.69,Made,,,,,3.0,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,,,
27,PT08M24.00S,2024-01-02T03:44:11.5Z,1,REGULAR,turnover,lost ball,[],202695,,,1610612746,8,7,2024-01-02T03:44:15Z,270000,False,,,0,,K. Leonard lost ball TURNOVER (1 TO),"[202695, 1631170]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Jaquez Jr.,1631170.0,,,,,,
28,PT08M24.00S,2024-01-02T03:44:11.5Z,1,REGULAR,steal,,[],1631170,,,1610612748,8,7,2024-01-02T03:44:13Z,280000,False,,,0,,J. Jaquez Jr. STEAL (1 STL),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
29,PT08M21.00S,2024-01-02T03:44:14.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629639,20.02299605781866,7.843137254901961,1610612748,8,7,2024-01-02T03:44:21Z,290000,False,211.0,136.0,1,left,MISS T. Herro 25' running pullup 3PT,[1629639],1610612748.0,MIA,running pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,25.07,Missed,,,,,,,,,,,,,,,,,,
30,PT08M17.00S,2024-01-02T03:44:18.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,8,7,2024-01-02T03:44:21Z,300000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT08M07.00S,2024-01-02T03:44:50.9Z,1,REGULAR,turnover,3-second-violation,[],1627826,,,1610612746,8,7,2024-01-02T03:45:08Z,330000,False,,,0,,I. Zubac 3-second-violation TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1193.0,1.0,,,,,,,,
34,PT07M55.00S,2024-01-02T03:45:14.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,10.82457293035479,57.1078431372549,1610612748,8,7,2024-01-02T03:45:30Z,340000,False,-36.0,49.0,1,left,MISS B. Adebayo 6' cutting Layup - blocked,"[1628389, 201935]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,,,,,,,,,,,,Harden,201935.0,,,,
35,PT07M55.00S,2024-01-02T03:45:14.2Z,1,REGULAR,block,,[],201935,,,1610612748,8,7,2024-01-02T03:46:04Z,350000,False,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT07M55.00S,2024-01-02T03:45:14.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,8,7,2024-01-02T03:45:30Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,34.0,,,,,,,,,,,,,,,,,
