actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-26T02:40:51.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-26T02:40:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-26T02:41:02.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612746,0,0,2024-03-26T02:41:02Z,40000,False,,,0,,Jump Ball I. Zubac vs. M. Turner: Tip to Team (LAC),"[1627826, 1626167]",1610612746.0,LAC,startperiod,Team (LAC),Zubac,1627826.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-03-26T02:41:56.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612746,0,0,2024-03-26T02:42:01Z,80000,False,,,0,,LAC shot clock Team TURNOVER,[],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,202037.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2024-03-26T02:42:25.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626167,83.88633377135349,60.78431372549019,1610612754,0,2,2024-03-26T02:42:29Z,90000,False,54.0,99.0,1,right,M. Turner 11' turnaround Hook (2 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,,11.27,Made,2.0,Turner,M. Turner,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,
11,PT10M54.00S,2024-03-26T02:42:45.0Z,1,REGULAR,2pt,Jump Shot,[],202331,21.994086727989497,54.90196078431372,1610612746,2,2,2024-03-26T02:42:49Z,110000,False,-25.0,154.0,1,left,P. George 15' turnaround fadeaway Jump Shot (2 PTS) (J. Harden 1 AST),"[202331, 201935]",1610612746.0,LAC,turnaround fadeaway,,,,,,Mid-Range,8-16 Center,,15.61,Made,2.0,George,P. George,J. Harden,201935.0,1.0,,,,,,,,,,,,,
294,PT10M45.00S,2024-03-26T02:42:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,89.14257555847568,61.27450980392157,1610612754,2,2,2024-03-26T03:40:47Z,117500,False,56.0,50.0,1,right,MISS M. Turner 7' driving Layup,[1626167],1610612754.0,IND,driving,,,,,,In The Paint (Non-RA),0-8 Center,,7.51,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,
295,PT10M44.00S,2024-03-26T02:42:53.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,2,2024-03-26T03:40:47Z,118750,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,294.0,,,,,,,,,,,,
14,PT10M30.00S,2024-03-26T02:43:21.5Z,1,REGULAR,2pt,Jump Shot,[],202331,20.154402102496718,25.0,1610612746,4,2,2024-03-26T03:40:33Z,130000,False,125.0,137.0,1,left,P. George 18' Jump Shot (4 PTS) (J. Harden 2 AST),"[202331, 201935]",1610612746.0,LAC,,,,,,,Mid-Range,16-24 Right Center,,18.55,Made,4.0,George,P. George,J. Harden,201935.0,2.0,,,,,,,,,,,,,
16,PT10M09.00S,2024-03-26T02:43:41.5Z,1,REGULAR,2pt,Jump Shot,[],1629614,76.65900131406045,53.92156862745098,1610612754,4,2,2024-03-26T02:43:45Z,150000,False,20.0,167.0,1,right,MISS A. Nembhard 16' pullup Shot,[1629614],1610612754.0,IND,pullup,,,,,,Mid-Range,16-24 Center,,16.8,Missed,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,
17,PT10M06.00S,2024-03-26T02:43:44.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,2,2024-03-26T02:43:45Z,160000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Center,,,,,Zubac,I. Zubac,,,,16.0,1.0,1.0,0.0,,,,,,,,,
