actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-13T03:40:40.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-13T03:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT12M00.00S,2024-02-13T03:40:47.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2024-02-13T03:42:25Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-02-13T03:40:48.1Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2024-02-13T03:40:48Z,40000,False,,,0,,Jump Ball R. Gobert vs. I. Zubac: Tip to K. Towns,"[1626157, 203497, 1627826]",1610612750.0,MIN,,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-02-13T03:41:05.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,88.74835742444152,45.58823529411765,1610612750,0,2,2024-02-13T03:41:18Z,90000,False,-22.0,53.0,1,right,K. Towns driving floating Jump Shot (2 PTS) (M. Conley 1 AST),"[1626157, 201144]",1610612750.0,MIN,,driving floating,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,5.77,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,
11,PT11M19.00S,2024-02-13T03:41:24.8Z,1,REGULAR,foul,offensive,[],1627826,,,1610612746,0,2,2024-02-13T03:41:36Z,110000,False,,,0,,I. Zubac offensive FOUL (1 PF),"[1627826, 203497]",1610612746.0,LAC,1830.0,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,0.0,Gobert,203497.0,,,,,,,,,
13,PT11M19.00S,2024-02-13T03:41:24.8Z,1,REGULAR,turnover,offensive foul,[],1627826,,,1610612746,0,2,2024-02-13T03:41:24Z,130000,False,,,0,,I. Zubac offensive foul TURNOVER (1 TO),[1627826],1610612746.0,LAC,1830.0,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,
14,PT10M58.00S,2024-02-13T03:42:04.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630183,95.84428383705651,2.205882352941174,1610612750,0,2,2024-02-13T03:42:09Z,140000,False,-239.0,-13.0,1,right,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,23.94,Missed,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2024-02-13T03:42:08.6Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,2,2024-02-13T03:42:09Z,150000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,
16,PT10M54.00S,2024-02-13T03:42:08.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203497,94.40999984741211,50.0,1610612750,0,2,2024-02-13T03:42:12Z,160000,False,0.0,0.0,1,right,MISS R. Gobert tip Layup,[203497],1610612750.0,MIN,,tip,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2024-02-13T03:42:09.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,2,2024-02-13T03:42:12Z,170000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
