actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-18T01:40:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-18T01:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2024-03-18T01:40:46.0Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2024-03-18T01:40:46Z,40000,False,,,0,,Jump Ball I. Zubac vs. C. Capela: Tip to T. Mann,"[1629611, 1627826, 203991]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-03-18T01:41:00.4Z,1,REGULAR,2pt,Jump Shot,[],202695,80.73258869908015,26.715686274509807,1610612746,2,0,2024-03-18T01:41:54Z,70000,False,-116.0,129.0,1,right,K. Leonard 17' turnaround fadeaway Jump Shot (2 PTS),[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Left Center,17.35,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2024-03-18T01:41:19.0Z,1,REGULAR,3pt,Jump Shot,[],203992,12.795663600525614,1.7156862745098067,1610612737,2,0,2024-03-18T01:41:25Z,80000,False,241.0,68.0,1,left,MISS B. Bogdanovic 25' 3PT - blocked,"[203992, 1627826]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,25.07,Missed,,Zubac,1627826.0,,,,,,,,,,,,,,,
10,PT11M20.00S,2024-03-18T01:41:19.0Z,1,REGULAR,block,,[],1627826,,,1610612737,2,0,2024-03-18T01:41:25Z,85000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-03-18T01:41:21.0Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,2,0,2024-03-18T01:41:25Z,90000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Right Corner 3,24+ Right,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M11.00S,2024-03-18T01:41:31.5Z,1,REGULAR,foul,personal,[],1630249,,,1610612746,2,0,2024-03-18T01:42:03Z,100000,False,,,0,,V. Krejci personal FOUL (1 PF),"[1630249, 202695]",1610612737.0,ATL,,,,Krejci,V. Krejci,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,201639.0,1.0,0.0,Leonard,202695.0,,,,,,
13,PT10M59.00S,2024-03-18T01:42:00.3Z,1,REGULAR,3pt,Jump Shot,[],202695,87.17148488830486,96.32352941176471,1610612746,2,0,2024-03-18T01:42:06Z,120000,False,232.0,68.0,1,right,MISS K. Leonard 24' 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Right Corner 3,24+ Right,24.14,Missed,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2024-03-18T01:42:03.0Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,2,0,2024-03-18T01:42:03Z,130000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M49.00S,2024-03-18T01:42:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,9.510512483574246,49.26470588235294,1610612737,2,0,2024-03-18T01:42:38Z,140000,False,4.0,37.0,1,left,MISS J. Johnson driving floating bank Shot,[1630552],1610612737.0,ATL,driving floating bank,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,3.71,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2024-03-18T01:42:14.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,2,0,2024-03-18T01:42:23Z,150000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,
17,PT10M45.00S,2024-03-18T01:42:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,5.590000152587891,50.0,1610612737,2,0,2024-03-18T01:42:14Z,160000,False,0.0,0.0,1,left,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2024-03-18T01:42:15.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,2,0,2024-03-18T01:42:15Z,170000,False,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,,,,17.0,2.0,0.0,2.0,,,,,,,,,,,
19,PT10M43.00S,2024-03-18T01:42:15.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,5.590000152587891,50.0,1610612737,2,2,2024-03-18T01:42:15Z,180000,False,0.0,0.0,1,left,C. Capela tip Layup (2 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M30.00S,2024-03-18T01:42:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,86.90867279894876,64.2156862745098,1610612746,2,2,2024-03-18T01:42:50Z,190000,False,71.0,71.0,1,right,MISS K. Leonard 10' driving floating Shot,[202695],1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,10.02,Missed,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2024-03-18T01:42:31.4Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,2,2,2024-03-18T01:42:50Z,200000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Right,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,
22,PT10M24.00S,2024-03-18T01:42:34.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202695,71.53416557161628,21.568627450980387,1610612746,5,2,2024-03-18T01:42:38Z,210000,False,-142.0,215.0,1,right,K. Leonard 25' 3PT  (5 PTS) (I. Zubac 1 AST),"[202695, 1627826]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,25.79,Made,5.0,,,,,,,,,,,,I. Zubac,1627826.0,1.0,,,
24,PT10M09.00S,2024-03-18T01:42:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203991,14.635348226018394,51.71568627450981,1610612737,5,4,2024-03-18T01:42:54Z,230000,False,-9.0,85.0,1,left,C. Capela 8' floating Jump Shot (4 PTS) (D. Murray 1 AST),"[203991, 1627749]",1610612737.0,ATL,floating,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,8.55,Made,4.0,,,,,,,,,,,,D. Murray,1627749.0,1.0,,,
26,PT09M56.00S,2024-03-18T01:43:04.3Z,1,REGULAR,turnover,lost ball,[],202331,,,1610612746,5,4,2024-03-18T01:43:08Z,250000,False,,,0,,P. George lost ball TURNOVER (1 TO),"[202331, 203991]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Capela,203991.0
27,PT09M56.00S,2024-03-18T01:43:04.3Z,1,REGULAR,steal,,[],203991,,,1610612737,5,4,2024-03-18T01:43:07Z,260000,False,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
28,PT09M56.00S,2024-03-18T01:43:10.1Z,1,REGULAR,foul,personal,[],202331,,,1610612737,5,4,2024-03-18T01:43:36Z,270000,False,,,0,,P. George personal FOUL (1 PF),"[202331, 203991]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,201639.0,1.0,0.0,Capela,203991.0,,,,,,
30,PT09M43.00S,2024-03-18T01:43:33.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203992,16.080814717476997,69.8529411764706,1610612737,5,4,2024-03-18T01:44:03Z,290000,False,-99.0,99.0,1,left,MISS B. Bogdanovic 14' floating Shot,[203992],1610612737.0,ATL,floating,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Left,14.0,Missed,,,,,,,,,,,,,,,,,,
