actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-28T03:40:34.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-28T03:40:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-28T03:40:39.5Z,1,REGULAR,jumpball,recovered,[],202704,,,1610612743,0,0,2023-11-28T03:40:39Z,40000,False,,,0,,Jump Ball D. Jordan vs. I. Zubac: Tip to R. Jackson,"[202704, 201599, 1627826]",1610612743.0,DEN,startperiod,R. Jackson,202704.0,Jackson,R. Jackson,Jordan,201599.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-11-28T03:40:52.1Z,1,REGULAR,foul,personal,[],201935,,,1610612743,0,0,2023-11-28T03:41:02Z,70000,False,,,0,,J. Harden personal FOUL (1 PF),"[201935, 202704]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,202058.0,1.0,0.0,Jackson,202704.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2023-11-28T03:41:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,7.276609724047319,46.07843137254902,1610612743,0,2,2023-11-28T03:41:32Z,90000,False,20.0,16.0,1,left,R. Jackson cutting Layup (2 PTS) (D. Jordan 1 AST),"[202704, 201599]",1610612743.0,DEN,cutting,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,,,,2.52,Made,2.0,D. Jordan,201599.0,1.0,,,,,,,,,
11,PT11M21.00S,2023-11-28T03:41:33.7Z,1,REGULAR,turnover,bad pass,[],1629611,,,1610612746,0,2,2023-11-28T03:41:37Z,110000,False,,,0,,T. Mann bad pass TURNOVER (1 TO),"[1629611, 202704]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Jackson,202704.0,,,,,,
12,PT11M21.00S,2023-11-28T03:41:33.7Z,1,REGULAR,steal,,[],202704,,,1610612743,0,2,2023-11-28T03:41:36Z,120000,False,,,0,,R. Jackson STEAL (1 STL),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2023-11-28T03:41:39.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1629008,24.490801576872528,68.38235294117646,1610612743,0,2,2023-11-28T03:41:45Z,130000,False,-92.0,178.0,1,left,MISS M. Porter Jr. 20' running pullup Shot,[1629008],1610612743.0,DEN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,20.01,Missed,,,,,,,,,,,,,
14,PT11M13.00S,2023-11-28T03:41:41.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,0,2,2023-11-28T03:41:45Z,140000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,
15,PT11M04.00S,2023-11-28T03:41:50.4Z,1,REGULAR,3pt,Jump Shot,[],201935,88.2227332457293,95.83333333333333,1610612746,3,2,2023-11-28T03:41:54Z,150000,False,229.0,58.0,1,right,J. Harden 3PT  (3 PTS) (P. George 1 AST),"[201935, 202331]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,,,,,,23.65,Made,3.0,P. George,202331.0,1.0,,,,,,,,,
17,PT10M40.00S,2023-11-28T03:42:14.8Z,1,REGULAR,2pt,Jump Shot,[],203484,10.561760840998687,76.7156862745098,1610612743,3,4,2023-11-28T03:42:29Z,170000,False,-134.0,47.0,1,left,K. Caldwell-Pope 14' pullup Jump Shot (2 PTS) (R. Jackson 1 AST),"[203484, 202704]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,,,,,,14.16,Made,2.0,R. Jackson,202704.0,1.0,,,,,,,,,
