actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-12T03:40:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-12T03:40:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-12T03:40:22.5Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2023-12-12T03:40:22Z,40000,False,,,0,,Jump Ball I. Zubac vs. D. Reath: Tip to J. Harden,"[201935, 1627826, 1641871]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Reath,1641871.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-12T03:40:37.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,80.20696452036793,58.82352941176471,1610612746,2,0,2023-12-12T03:40:41Z,70000,False,44.0,134.0,1,right,K. Leonard 14' turnaround fadeaway Jump Shot (2 PTS),[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,14.07,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2023-12-12T03:40:56.3Z,1,REGULAR,2pt,Jump Shot,[],1631101,18.446123521681997,82.1078431372549,1610612757,2,2,2023-12-12T03:41:05Z,80000,False,-161.0,121.0,1,left,S. Sharpe 20' pullup Jump Shot (2 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,20.09,Made,2.0,,,,,,,,,,,,,,,,,
9,PT10M54.00S,2023-12-12T03:41:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,82.57227332457293,59.068627450980394,1610612746,4,2,2023-12-12T03:41:28Z,90000,False,45.0,111.0,1,right,P. George 12' turnaround fadeaway Jump Shot (2 PTS),[202331],1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,12.02,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M41.00S,2023-12-12T03:41:37.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,32.37516425755584,80.88235294117646,1610612757,4,2,2023-12-12T03:41:40Z,100000,False,-154.0,252.0,1,left,MISS A. Simons 29' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,29.54,Missed,,,,,,,,,,,,,,,,,,
11,PT10M38.00S,2023-12-12T03:41:40.1Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,4,2,2023-12-12T03:41:40Z,110000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M32.00S,2023-12-12T03:41:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,93.2161629434954,47.549019607843135,1610612746,6,2,2023-12-12T03:41:50Z,120000,False,-12.0,11.0,1,right,I. Zubac alley-oop Layup (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,alley-oop,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.67,Made,2.0,,,,,J. Harden,201935.0,1.0,,,,,,,,,,
14,PT10M14.00S,2023-12-12T03:42:04.2Z,1,REGULAR,3pt,Jump Shot,[],1631101,17.000657030223394,94.8529411764706,1610612757,6,5,2023-12-12T03:42:08Z,140000,False,-224.0,107.0,1,left,S. Sharpe 24' 3PT  (5 PTS) (A. Simons 1 AST),"[1631101, 1629014]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,24.86,Made,5.0,,,,,A. Simons,1629014.0,1.0,,,,,,,,,,
16,PT10M02.00S,2023-12-12T03:42:16.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,92.55913272010513,48.774509803921575,1610612746,8,5,2023-12-12T03:42:20Z,160000,False,-6.0,17.0,1,right,I. Zubac DUNK (4 PTS) (P. George 1 AST),"[1627826, 202331]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.84,Made,4.0,,,,,P. George,202331.0,1.0,,,,,,,,,,
