actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-11T02:40:20.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-11T02:40:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-11T02:40:23.6Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612756,0,0,2024-04-11T02:40:23Z,40000,False,,,0,,Jump Ball J. Nurkic vs. M. Plumlee: Tip to R. O'Neale,"[1626220, 203994, 203486]",1610612756.0,PHX,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Nurkic,203994.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-04-11T02:40:38.8Z,1,REGULAR,turnover,out-of-bounds,[],203078,,,1610612756,0,0,2024-04-11T02:40:43Z,70000,False,,,0,,B. Beal bad pass out-of-bounds TURNOVER (1 TO),[203078],1610612756.0,PHX,bad pass,,,Beal,B. Beal,,,,,Mid-Range,16-24 Left Center,2714.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2024-04-11T02:41:01.7Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612746,0,0,2024-04-11T02:41:05Z,80000,False,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 1626220]",1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,1.0,O'Neale,1626220.0,,,,,,,,,,,,,,,,
9,PT11M27.00S,2024-04-11T02:41:01.7Z,1,REGULAR,steal,,[],1626220,,,1610612756,0,0,2024-04-11T02:41:03Z,90000,False,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2024-04-11T02:41:18.0Z,1,REGULAR,foul,personal,['2freethrow'],1630538,,,1610612756,0,0,2024-04-11T02:41:41Z,100000,False,,,0,,B. Hyland shooting personal FOUL (1 PF) (Beal 2 FT),"[1630538, 203078]",1610612746.0,LAC,shooting,,,Hyland,B. Hyland,,,,,In The Paint (Non-RA),8-16 Center,202053.0,,,,1.0,0.0,Beal,203078.0,,,,,,,,,,,,
12,PT11M13.00S,2024-04-11T02:41:41.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203078,,,1610612756,0,1,2024-04-11T02:41:41Z,120000,False,,,0,,B. Beal Free Throw 1 of 2 (1 PTS),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
13,PT11M13.00S,2024-04-11T02:41:55.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203078,,,1610612756,0,2,2024-04-11T02:41:55Z,130000,False,,,0,,B. Beal Free Throw 2 of 2 (2 PTS),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
14,PT10M55.00S,2024-04-11T02:42:17.0Z,1,REGULAR,2pt,Jump Shot,[],1630538,80.20696452036793,28.92156862745098,1610612746,2,2,2024-04-11T02:42:20Z,140000,False,-105.0,134.0,1,right,B. Hyland 17' step back Jump Shot (2 PTS) (A. Coffey 1 AST),"[1630538, 1629599]",1610612746.0,LAC,step back,,,Hyland,B. Hyland,,,,,Mid-Range,16-24 Left Center,,,,,,,,,Made,2.0,17.02,A. Coffey,1629599.0,1.0,,,,,,
16,PT10M39.00S,2024-04-11T02:42:34.5Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612756,2,2,2024-04-11T02:42:43Z,160000,False,,,0,,K. Durant bad pass out-of-bounds TURNOVER (1 TO),[201142],1610612756.0,PHX,bad pass,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,202007.0,1.0,,,,,,,,,,,,,,,,,,
