actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-11T01:12:01.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-11T01:12:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-11T01:12:04.1Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2023-03-11T01:12:04Z,40000,False,,,0,,Jump Ball J. Allen vs. B. Adebayo: Tip to D. Mitchell,"[1628378, 1628386, 1628389]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-03-11T01:12:21.8Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612739,0,0,2023-03-11T01:12:37Z,70000,False,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 1628389]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,1.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-03-11T01:12:21.8Z,1,REGULAR,steal,,[],1628389,,,1610612748,0,0,2023-03-11T01:12:37Z,80000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2023-03-11T01:12:36.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,4.862023653088042,54.967064950980394,1610612748,2,0,2023-03-11T01:13:01Z,90000,False,-25.0,-7.0,1,left,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,2.57,Made,2.0,,,,,,,,,,,,,,
10,PT11M18.00S,2023-03-11T01:12:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,85.75886990801577,50.73529411764706,1610612739,2,2,2023-03-11T01:12:59Z,100000,False,4.0,81.0,1,right,D. Mitchell 8' driving floating Jump Shot (2 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,8.15,Made,2.0,,,,,,,,,,,,,,
11,PT10M55.00S,2023-03-11T01:13:05.8Z,1,REGULAR,2pt,Jump Shot,[],1628389,6.783837056504599,80.14705882352942,1610612748,4,2,2023-03-11T01:13:10Z,110000,False,-151.0,11.0,1,left,B. Adebayo 15' fadeaway Jump Shot (4 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,,15.11,Made,4.0,,,,,,,,,,,,,,
12,PT10M46.00S,2023-03-11T01:13:26.4Z,1,REGULAR,violation,kicked ball,[],202710,,,1610612739,4,2,2023-03-11T01:13:37Z,120000,False,,,0,,J. Butler kicked ball VIOLATION,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,202026.0,,,,,,,,,,,,,
13,PT10M30.00S,2023-03-11T01:13:47.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,86.67871222076215,2.696078431372549,1610612739,4,5,2023-03-11T01:13:54Z,130000,False,-237.0,73.0,1,right,D. Mitchell 24' 3PT pullup (5 PTS) (J. Allen 1 AST),"[1628378, 1628386]",1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,,,,24.74,Made,5.0,,J. Allen,1628386.0,1.0,,,,,,,,,,
15,PT10M09.00S,2023-03-11T01:14:10.1Z,1,REGULAR,3pt,Jump Shot,[],201567,16.113666228646515,97.79411764705883,1610612748,4,5,2023-03-11T01:14:14Z,150000,False,-239.0,99.0,1,left,MISS K. Love 25' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,,,,25.87,Missed,,,,,,,,,,,,,,,
16,PT10M08.00S,2023-03-11T01:14:11.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,4,5,2023-03-11T01:14:14Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,15.0,,,,,,,,,
17,PT10M08.00S,2023-03-11T01:14:15.0Z,1,REGULAR,foul,personal,[],1628389,,,1610612739,4,5,2023-03-11T01:14:31Z,170000,False,,,0,,B. Adebayo loose ball personal FOUL (1 PF),"[1628389, 1630596]",1610612748.0,MIA,loose ball,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201639.0,,,,,1.0,0.0,Mobley,1630596.0,,,,,
19,PT09M56.00S,2023-03-11T01:14:41.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,92.32917214191852,50.73529411764706,1610612739,4,5,2023-03-11T01:14:47Z,190000,False,4.0,20.0,1,right,MISS J. Allen driving Hook,[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,1.99,Missed,,,,,,,,,,,,,,,
20,PT09M53.00S,2023-03-11T01:14:44.1Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,5,2023-03-11T01:14:47Z,200000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,19.0,,,,,1.0,1.0,0.0,,
21,PT09M49.00S,2023-03-11T01:14:48.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202710,7.884362680683312,53.35094975490197,1610612748,6,5,2023-03-11T01:15:08Z,210000,False,-17.0,22.0,1,left,J. Butler driving finger roll Layup (2 PTS),[202710],1610612748.0,MIA,driving finger roll,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,2.74,Made,2.0,,,,,,,,,,,,,,
22,PT09M29.00S,2023-03-11T01:15:08.1Z,1,REGULAR,2pt,Jump Shot,[],1630596,94.30026281208936,24.264705882352942,1610612739,6,5,2023-03-11T01:15:14Z,220000,False,-129.0,1.0,1,right,MISS E. Mobley 12' Jump Shot,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,,12.87,Missed,,,,,,,,,,,,,,,
23,PT09M28.00S,2023-03-11T01:15:10.2Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,6,5,2023-03-11T01:15:10Z,230000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,,,,,,,,,,,22.0,,,,,1.0,0.0,1.0,,
24,PT09M26.00S,2023-03-11T01:15:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,92.06636005256242,54.166666666666664,1610612739,6,5,2023-03-11T01:15:25Z,240000,False,21.0,22.0,1,right,MISS J. Allen putback Layup - blocked,"[1628386, 201567]",1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,3.03,Missed,,,,,,,,,,,,,,Love,201567.0
25,PT09M26.00S,2023-03-11T01:15:11.9Z,1,REGULAR,block,,[],201567,,,1610612739,6,5,2023-03-11T01:15:14Z,250000,False,,,0,,K. Love BLOCK (1 BLK),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M26.00S,2023-03-11T01:15:11.9Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,6,5,2023-03-11T01:15:25Z,260000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,,,,,,,24.0,,,,,1.0,1.0,0.0,,
27,PT09M12.00S,2023-03-11T01:15:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201567,12.040078843626807,47.30392156862745,1610612748,6,5,2023-03-11T01:15:38Z,270000,False,13.0,61.0,1,left,MISS K. Love 6' driving floating Shot,[201567],1610612748.0,MIA,driving floating,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,,,,6.22,Missed,,,,,,,,,,,,,,,
28,PT09M09.00S,2023-03-11T01:15:29.3Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,6,5,2023-03-11T01:15:38Z,280000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,27.0,,,,,1.0,1.0,0.0,,
29,PT09M05.00S,2023-03-11T01:15:32.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,92.9862023653088,59.80392156862745,1610612739,6,5,2023-03-11T01:16:43Z,290000,False,49.0,13.0,1,right,MISS D. Mitchell running Layup,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,5.08,Missed,,,,,,,,,,,,,,,
30,PT09M02.00S,2023-03-11T01:15:35.6Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,6,5,2023-03-11T01:16:43Z,300000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,29.0,,,,,1.0,1.0,0.0,,
31,PT09M01.00S,2023-03-11T01:15:41.2Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612748,6,5,2023-03-11T01:15:52Z,310000,False,,,0,,C. LeVert shooting personal FOUL (1 PF) (Herro 2 FT),"[1627747, 1629639]",1610612739.0,CLE,shooting,,,LeVert,C. LeVert,,,,,Mid-Range,16-24 Right Center,,,,,,,201245.0,,,,,1.0,0.0,Herro,1629639.0,,,,,
33,PT09M01.00S,2023-03-11T01:16:16.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629639,,,1610612748,7,5,2023-03-11T01:16:39Z,330000,False,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
34,PT09M01.00S,2023-03-11T01:16:16.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629639,,,1610612748,8,5,2023-03-11T01:16:39Z,340000,False,,,0,,T. Herro Free Throw 2 of 2 (2 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
35,PT08M46.00S,2023-03-11T01:16:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,94.95729303547962,52.20588235294118,1610612739,8,7,2023-03-11T01:16:54Z,350000,False,11.0,-5.0,1,right,I. Okoro cutting Layup (2 PTS) (E. Mobley 1 AST),"[1630171, 1630596]",1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,1.21,Made,2.0,,E. Mobley,1630596.0,1.0,,,,,,,,,,
