actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-27T00:41:57.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-27T00:41:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-27T00:42:00.0Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-12-27T00:42:00Z,40000,False,,,0,,Jump Ball R. Gobert vs. N. Jovic: Tip to D. Russell,"[1626156, 203497, 1631107]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Jovic,1631107.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-12-27T00:42:10.9Z,1,REGULAR,2pt,Jump Shot,[],1630162,77.34888304862024,59.31372549019608,1610612750,0,2,2022-12-27T00:42:19Z,70000,False,47.0,160.0,1,right,A. Edwards 16' pullup Jump Shot (2 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,16.7,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-12-27T00:42:30.1Z,1,REGULAR,foul,personal,[],1626156,,,1610612748,0,2,2022-12-27T00:42:39Z,90000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1629622]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,,202056.0,1.0,0.0,Strus,1629622.0,,,,,,,,,
11,PT11M29.00S,2022-12-27T00:42:48.6Z,1,REGULAR,3pt,Jump Shot,[],1629622,21.369908015768726,8.088235294117647,1610612748,3,2,2022-12-27T00:42:53Z,110000,False,210.0,148.0,1,left,M. Strus 25' 3PT  (3 PTS) (T. Herro 1 AST),"[1629622, 1629639]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,25.68,Made,3.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,,,
13,PT11M16.00S,2022-12-27T00:43:01.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,89.30683311432325,58.333333333333336,1610612750,3,2,2022-12-27T00:59:57Z,130000,False,42.0,48.0,1,right,MISS J. McDaniels 6' fadeaway Shot,[1630183],1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,6.36,Missed,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-12-27T00:43:06.7Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,3,2,2022-12-27T00:43:06Z,140000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M07.00S,2022-12-27T00:43:10.3Z,1,REGULAR,3pt,Jump Shot,[],1629639,24.26084099868594,12.5,1610612748,3,2,2022-12-27T00:43:30Z,150000,False,188.0,176.0,1,left,MISS T. Herro 25' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2022-12-27T00:43:13.3Z,1,REGULAR,rebound,defensive,[],203085,,,1610612750,3,2,2022-12-27T00:43:30Z,160000,False,,,0,,A. Rivers REBOUND (Off:0 Def:1),[203085],1610612750.0,MIN,,,,Rivers,A. Rivers,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M53.00S,2022-12-27T00:43:25.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,81.68528252299606,37.99019607843137,1610612750,3,2,2022-12-27T00:43:35Z,170000,False,-60.0,120.0,1,right,MISS A. Edwards 13' Jump Shot,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,13.39,Missed,,,,,,,,,,,,,,,,,,
