actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-02T00:41:54.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-02T00:41:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-02T00:41:57.1Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2023-03-02T00:41:57Z,40000,False,,,0,,Jump Ball B. Adebayo vs. T. Harris: Tip to J. Butler,"[202710, 1628389, 202699]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Harris,202699.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-03-02T00:42:08.4Z,1,REGULAR,foul,personal,[],202699,,,1610612748,0,0,2023-03-02T00:42:17Z,70000,False,,,0,,T. Harris personal FOUL (1 PF),"[202699, 202710]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,202049.0,1.0,0.0,Butler,202710.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-03-02T00:42:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,9.411957950065702,43.13725490196079,1610612748,2,0,2023-03-02T00:42:38Z,90000,False,34.0,36.0,1,left,B. Adebayo cutting Layup (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.97,Made,2.0,T. Herro,1629639.0,1.0,,,,,,,,,
11,PT11M18.00S,2023-03-02T00:42:55.4Z,1,REGULAR,foul,personal,[],201567,,,1610612755,2,0,2023-03-02T00:43:12Z,110000,False,,,0,,K. Love personal FOUL (1 PF),"[201567, 201935]",1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,16-24 Left Center,1627964.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
13,PT11M10.00S,2023-03-02T00:43:17.3Z,1,REGULAR,turnover,bad pass,[],1629001,,,1610612755,2,0,2023-03-02T00:43:23Z,130000,False,,,0,,D. Melton bad pass TURNOVER (1 TO),"[1629001, 202710]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Butler,202710.0,,,,,,
14,PT11M10.00S,2023-03-02T00:43:17.3Z,1,REGULAR,steal,,[],202710,,,1610612748,2,0,2023-03-02T00:43:19Z,140000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2023-03-02T00:43:23.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201567,32.670827858081466,50.49019607843137,1610612748,2,0,2023-03-02T01:49:02Z,150000,False,-2.0,255.0,1,left,MISS K. Love 25' pullup 3PT,[201567],1610612748.0,MIA,pullup,,,Love,K. Love,,,,,Above the Break 3,24+ Center,,,,,,25.46,Missed,,,,,,,,,,,,,
16,PT11M02.00S,2023-03-02T00:43:25.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,2,0,2023-03-02T00:43:33Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,15.0,,,,,
18,PT10M49.00S,2023-03-02T00:43:45.5Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,2,0,2023-03-02T00:43:52Z,180000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1628389]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Adebayo,1628389.0,,,,,,
19,PT10M49.00S,2023-03-02T00:43:45.5Z,1,REGULAR,steal,,[],1628389,,,1610612748,2,0,2023-03-02T00:43:47Z,190000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT10M44.00S,2023-03-02T00:43:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,6.258212877792378,57.35294117647059,1610612748,4,0,2023-03-02T00:44:08Z,200000,False,-37.0,6.0,1,left,J. Butler running Layup (2 PTS) (B. Adebayo 1 AST),"[202710, 1628389]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,3.73,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,
22,PT10M33.00S,2023-03-02T00:44:00.4Z,1,REGULAR,3pt,Jump Shot,[],200782,90.48948751642575,3.9215686274509802,1610612755,4,0,2023-03-02T00:44:05Z,220000,False,-230.0,37.0,1,right,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,,,,23.33,Missed,,,,,,,,,,,,,
23,PT10M31.00S,2023-03-02T00:44:02.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,4,0,2023-03-02T00:44:05Z,230000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,
24,PT10M27.00S,2023-03-02T00:44:06.9Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,4,0,2023-03-02T00:44:11Z,240000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1630178]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Maxey,1630178.0,,,,,,
25,PT10M27.00S,2023-03-02T00:44:06.9Z,1,REGULAR,steal,,[],1630178,,,1610612755,4,0,2023-03-02T00:44:08Z,250000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
26,PT10M20.00S,2023-03-02T00:44:14.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,90.80157687253615,56.368719362745104,1610612755,4,2,2023-03-02T00:44:40Z,260000,False,32.0,34.0,1,right,J. Harden driving Layup (2 PTS),[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.66,Made,2.0,,,,,,,,,,,,
27,PT10M01.00S,2023-03-02T00:44:32.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.302890932982917,46.81372549019608,1610612748,6,2,2023-03-02T00:45:08Z,270000,False,16.0,63.0,1,left,B. Adebayo 6' fadeaway Jump Shot (4 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.51,Made,4.0,,,,,,,,,,,,
28,PT09M51.00S,2023-03-02T00:44:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,90.88370565045992,45.09803921568628,1610612755,6,4,2023-03-02T00:44:51Z,280000,False,-25.0,33.0,1,right,T. Harris driving Layup (2 PTS),[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,4.13,Made,2.0,,,,,,,,,,,,
29,PT09M31.00S,2023-03-02T00:45:06.1Z,1,REGULAR,foul,personal,['2freethrow'],1629001,,,1610612748,6,4,2023-03-02T00:45:57Z,290000,False,,,0,,D. Melton shooting personal FOUL (1 PF) (Love 2 FT),"[1629001, 201567]",1610612755.0,PHI,shooting,,,Melton,D. Melton,,,,,Mid-Range,16-24 Left,1627964.0,1.0,0.0,Love,201567.0,,,,,,,,,,,,,,,
31,PT09M31.00S,2023-03-02T00:45:49.7Z,1,REGULAR,freethrow,1 of 2,[],201567,,,1610612748,6,4,2023-03-02T00:45:49Z,310000,False,,,0,,MISS K. Love Free Throw 1 of 2,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
32,PT09M31.00S,2023-03-02T00:45:49.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,6,4,2023-03-02T00:45:49Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,
33,PT09M31.00S,2023-03-02T00:46:03.1Z,1,REGULAR,freethrow,2 of 2,[],201567,,,1610612748,7,4,2023-03-02T00:46:03Z,330000,False,,,0,,K. Love Free Throw 2 of 2 (1 PTS),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
34,PT09M16.00S,2023-03-02T00:46:17.2Z,1,REGULAR,3pt,Jump Shot,[],1630178,65.91655716162943,41.66666666666667,1610612755,7,4,2023-03-02T00:46:27Z,340000,False,-42.0,268.0,1,right,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,27.11,Missed,,,,,,,,,,,,,
35,PT09M12.00S,2023-03-02T00:46:21.2Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,7,4,2023-03-02T00:46:27Z,350000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,
36,PT09M09.00S,2023-03-02T00:46:25.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,23.078186596583443,11.029411764705882,1610612748,10,4,2023-03-02T00:46:43Z,360000,False,195.0,164.0,1,left,T. Herro 25' 3PT  (3 PTS) (J. Butler 1 AST),"[1629639, 202710]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,25.5,Made,3.0,J. Butler,202710.0,1.0,,,,,,,,,
38,PT08M56.00S,2023-03-02T00:46:37.4Z,1,REGULAR,3pt,Jump Shot,[],200782,92.19776609724047,3.1862745098039214,1610612755,10,7,2023-03-02T00:46:45Z,380000,False,-234.0,21.0,1,right,P. Tucker 3PT  (3 PTS) (D. Melton 1 AST),"[200782, 1629001]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,,,,23.5,Made,3.0,D. Melton,1629001.0,1.0,,,,,,,,,
40,PT08M44.00S,2023-03-02T00:46:49.2Z,1,REGULAR,3pt,Jump Shot,[],1629639,33.590670170827856,31.862745098039213,1610612748,10,7,2023-03-02T00:47:18Z,400000,False,91.0,263.0,1,left,MISS T. Herro 27' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,27.85,Missed,,,,,,,,,,,,,
41,PT08M38.00S,2023-03-02T00:46:55.2Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,10,7,2023-03-02T00:46:57Z,410000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,40.0,2.0,1.0,1.0,,
