shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
12:00,2,PT12M00.00S,2022-12-07T00:41:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-07T00:41:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:55,4,PT11M55.00S,2022-12-07T00:41:51.6Z,1,REGULAR,jumpball,recovered,[],1630191,,,1610612765,0,0,2022-12-07T00:41:51Z,40000,False,,,0,,Jump Ball M. Bagley III vs. B. Adebayo: Tip to I. Stewart,"[1630191, 1628963, 1628389]",28,1610612765.0,DET,startperiod,I. Stewart,1630191.0,Stewart,I. Stewart,Bagley III,1628963.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
11:42,7,PT11M42.00S,2022-12-07T00:42:03.6Z,1,REGULAR,3pt,Jump Shot,[],1630191,70.38436268068331,22.058823529411764,1610612765,0,0,2022-12-07T00:42:24Z,70000,False,-140.0,226.0,1,right,MISS I. Stewart 26' 3PT,[1630191],28,1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,26.56,Missed,,,,,,,,,,,,,,,,,,
11:36,8,PT11M36.00S,2022-12-07T00:42:09.6Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,0,0,2022-12-07T00:42:24Z,80000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],31,1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:22,9,PT11M22.00S,2022-12-07T00:42:23.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,9.017739816031538,51.71568627450981,1610612748,0,0,2022-12-07T00:42:29Z,90000,False,-9.0,32.0,1,left,MISS B. Adebayo Hook,[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
11:20,10,PT11M20.00S,2022-12-07T00:42:25.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,0,2022-12-07T00:42:29Z,100000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],28,1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:06,11,PT11M06.00S,2022-12-07T00:42:40.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628963,87.72996057818659,50.0,1610612765,0,2,2022-12-07T00:42:54Z,110000,False,0.0,63.0,1,right,M. Bagley III 6' driving Hook (2 PTS) (J. Ivey 1 AST),"[1628963, 1631093]",35,1610612765.0,DET,driving,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,6.28,Made,,,,,2.0,J. Ivey,1631093.0,1.0,,,,,,,,,,
10:43,13,PT10M43.00S,2022-12-07T00:43:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628997,17.95335085413929,48.77450980392157,1610612748,0,2,2022-12-07T00:43:12Z,130000,False,6.0,116.0,1,left,MISS C. Martin 11' turnaround Shot - blocked,"[1628997, 1630165]",16,1610612748.0,MIA,turnaround,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,11.65,Missed,,,,,,,,,Hayes,1630165.0,,,,,,,,
10:43,14,PT10M43.00S,2022-12-07T00:43:02.7Z,1,REGULAR,block,,[],1630165,,,1610612748,0,2,2022-12-07T00:43:08Z,140000,False,,,0,,K. Hayes BLOCK (1 BLK),[1630165],7,1610612765.0,DET,,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10:37,15,PT10M37.00S,2022-12-07T00:43:08.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,2,2022-12-07T00:43:12Z,150000,False,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],28,1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
10:36,16,PT10M36.00S,2022-12-07T00:43:10.4Z,1,REGULAR,turnover,bad pass,[],1630191,,,1610612765,0,2,2022-12-07T00:43:16Z,160000,False,,,0,,I. Stewart bad pass TURNOVER (1 TO),"[1630191, 200768]",28,1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,1.0,Lowry,200768.0,,,,,
10:36,17,PT10M36.00S,2022-12-07T00:43:10.4Z,1,REGULAR,steal,,[],200768,,,1610612748,0,2,2022-12-07T00:43:12Z,170000,False,,,0,,K. Lowry STEAL (1 STL),[200768],7,1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
10:33,18,PT10M33.00S,2022-12-07T00:43:19.1Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,0,2,2022-12-07T00:43:35Z,180000,False,,,0,,B. Adebayo charge offensive FOUL (1 PF),"[1628389, 1630165]",13,1610612748.0,MIA,charge,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Hayes,1630165.0
10:33,20,PT10M33.00S,2022-12-07T00:43:19.1Z,1,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,0,2,2022-12-07T00:43:19Z,200000,False,,,0,,B. Adebayo offensive foul TURNOVER (1 TO),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,,,200833.0,,,,
10:19,21,PT10M19.00S,2022-12-07T00:43:48.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630165,94.1688567674113,32.59803921568628,1610612765,0,2,2022-12-07T00:52:55Z,210000,False,-87.0,2.0,1,right,MISS K. Hayes 8' fadeaway Shot,[1630165],7,1610612765.0,DET,fadeaway,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Left,8.7,Missed,,,,,,,,,,,,,,,,,,
10:16,22,PT10M16.00S,2022-12-07T00:43:51.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,2,2022-12-07T00:43:53Z,220000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10:08,23,PT10M08.00S,2022-12-07T00:43:58.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,32.64208278580815,39.28462009803921,1610612748,3,2,2022-12-07T00:44:14Z,230000,False,54.0,254.0,1,left,M. Strus 25' 3PT  (3 PTS) (T. Herro 1 AST),"[1629622, 1629639]",31,1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,25.99,Made,,,,,3.0,T. Herro,1629639.0,1.0,,,,,,,,,,
09:41,25,PT09M41.00S,2022-12-07T00:44:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,80.23981603153744,51.225490196078425,1610612765,3,4,2022-12-07T00:49:33Z,250000,False,6.0,133.0,1,right,M. Bagley III 13' pullup Jump Shot (4 PTS) (B. Bogdanovic 1 AST),"[1628963, 202711]",35,1610612765.0,DET,pullup,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),8-16 Center,13.33,Made,,,,,4.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,
09:25,27,PT09M25.00S,2022-12-07T00:44:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,10.90670170827858,61.78768382352941,1610612748,5,4,2022-12-07T00:45:01Z,270000,False,-59.0,50.0,1,left,B. Adebayo 7' driving floating Jump Shot (2 PTS),[1628389],13,1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.73,Made,,,,,2.0,,,,,,,,,,,,,
09:07,28,PT09M07.00S,2022-12-07T00:44:59.6Z,1,REGULAR,2pt,Jump Shot,[],1630165,79.05716162943496,50.73529411764706,1610612765,5,4,2022-12-07T00:45:07Z,280000,False,4.0,144.0,1,right,MISS K. Hayes 14' pullup Shot,[1630165],7,1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Center,14.44,Missed,,,,,,,,,,,,,,,,,,
09:07,29,PT09M07.00S,2022-12-07T00:44:59.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,4,2022-12-07T00:45:07Z,290000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
09:00,30,PT09M00.00S,2022-12-07T00:45:06.9Z,1,REGULAR,3pt,Jump Shot,[],1629622,30.553958607095925,23.06219362745098,1610612748,5,4,2022-12-07T00:45:27Z,300000,False,135.0,235.0,1,left,MISS M. Strus 27' 3PT,[1629622],31,1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,27.06,Missed,,,,,,,,,,,,,,,,,,
08:56,31,PT08M56.00S,2022-12-07T00:45:10.9Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,5,4,2022-12-07T00:45:27Z,310000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],44,1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
