actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-24T00:43:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-24T00:43:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M57.00S,2022-11-24T00:43:58.9Z,1,REGULAR,jumpball,recovered,[],1630557,,,1610612764,0,0,2022-11-24T00:43:59Z,35000,False,,,0,,Jump Ball K. Porzingis vs. B. Adebayo: Tip to C. Kispert,"[1630557, 204001, 1628389]",1610612764.0,WAS,startperiod,C. Kispert,1630557.0,Kispert,C. Kispert,Porzingis,204001.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-11-24T00:44:22.0Z,1,REGULAR,2pt,Jump Shot,[],204001,9.806176084099869,66.91176470588235,1610612764,0,2,2022-11-24T00:54:13Z,50000,False,-85.0,40.0,1,left,K. Porzingis 9' turnaround fadeaway bank Jump Shot (2 PTS),[204001],1610612764.0,WAS,turnaround fadeaway bank,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,9.35,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-11-24T00:44:34.7Z,1,REGULAR,turnover,bad pass,[],1631107,,,1610612748,0,2,2022-11-24T00:44:39Z,60000,False,,,0,,N. Jovic bad pass TURNOVER (1 TO),"[1631107, 1630166]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,,1.0,Avdija,1630166.0,,,,,,,,,,,,,,
10,PT11M21.00S,2022-11-24T00:44:34.7Z,1,REGULAR,steal,,[],1630166,,,1610612764,0,2,2022-11-24T00:44:36Z,70000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-11-24T00:44:42.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630557,7.440867279894875,3.9215686274509802,1610612764,0,5,2022-11-24T00:45:06Z,80000,False,230.0,17.0,1,left,C. Kispert 3PT  (3 PTS) (D. Avdija 1 AST),"[1630557, 1630166]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Right Corner 3,24+ Right,23.11,Made,3.0,,,,D. Avdija,1630166.0,1.0,,,,,,,,,,,
13,PT11M03.00S,2022-11-24T00:44:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,94.56307490144546,54.166666666666664,1610612748,0,5,2022-11-24T00:44:58Z,100000,False,21.0,-1.0,1,right,MISS B. Adebayo alley-oop Layup,[1628389],1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2022-11-24T00:44:53.7Z,1,REGULAR,rebound,offensive,[],200768,,,1610612748,0,5,2022-11-24T00:44:53Z,110000,False,,,0,,K. Lowry REBOUND (Off:1 Def:0),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,
15,PT10M59.00S,2022-11-24T00:44:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631107,94.03745072273325,46.81372549019608,1610612748,2,5,2022-11-24T00:45:02Z,120000,False,-16.0,4.0,1,right,N. Jovic cutting Layup (2 PTS) (K. Lowry 1 AST),"[1631107, 200768]",1610612748.0,MIA,cutting,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,1.63,Made,2.0,,,,K. Lowry,200768.0,1.0,,,,,,,,,,,
17,PT10M45.00S,2022-11-24T00:45:09.3Z,1,REGULAR,3pt,Jump Shot,[],204001,34.90473061760841,37.00980392156863,1610612764,2,5,2022-11-24T00:45:15Z,140000,False,65.0,276.0,1,left,MISS K. Porzingis 28' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,28.32,Missed,,,,,,,,,,,,,,,,,,
