actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-11T00:41:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-11T00:41:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-11T00:41:49.1Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-11-11T00:41:49Z,40000,False,,,0,,Jump Ball B. Adebayo vs. M. Plumlee: Tip to K. Lowry,"[200768, 1628389, 203486]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-11T00:42:05.4Z,1,REGULAR,foul,personal,[],1628372,,,1610612748,0,0,2022-11-11T00:42:19Z,70000,False,,,0,,D. Smith Jr. personal FOUL (1 PF),"[1628372, 1628389]",1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,203591.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-11-11T00:42:27.6Z,1,REGULAR,2pt,Jump Shot,[],1628389,75.1149802890933,57.35294117647059,1610612748,0,0,2022-11-11T00:42:49Z,90000,False,37.0,181.0,1,right,MISS B. Adebayo 18' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,,,,18.51,Missed,,,,,,,,,,,,,
10,PT11M35.00S,2022-11-11T00:42:30.6Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,0,0,2022-11-11T00:42:32Z,100000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M18.00S,2022-11-11T00:42:47.7Z,1,REGULAR,3pt,Jump Shot,[],1626162,33.98488830486202,52.94117647058824,1610612766,0,3,2022-11-11T00:42:54Z,110000,False,-15.0,267.0,1,left,K. Oubre Jr. 26' 3PT pullup (3 PTS),[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,26.74,Made,,,,,3.0,,,,,,,,
12,PT11M04.00S,2022-11-11T00:43:01.4Z,1,REGULAR,3pt,Jump Shot,[],1628997,68.01905387647832,24.509803921568626,1610612748,3,3,2022-11-11T00:43:12Z,120000,False,-127.0,248.0,1,right,C. Martin 27' 3PT  (3 PTS) (B. Adebayo 1 AST),"[1628997, 1628389]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,27.89,Made,,,,,3.0,B. Adebayo,1628389.0,1.0,,,,,
14,PT10M44.00S,2022-11-11T00:43:23.2Z,1,REGULAR,3pt,Jump Shot,[],1628372,22.946780551905388,88.72549019607843,1610612766,3,3,2022-11-11T00:43:27Z,140000,False,-194.0,163.0,1,left,MISS D. Smith Jr. 25' 3PT,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,25.32,Missed,,,,,,,,,,,,,
15,PT10M41.00S,2022-11-11T00:43:26.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,3,3,2022-11-11T00:43:27Z,150000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M29.00S,2022-11-11T00:43:52.6Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612748,3,3,2022-11-11T00:43:58Z,160000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1626162, 1628389]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,203591.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
