actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-19T23:46:45.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-19T23:46:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2022-10-19T23:46:46.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2022-10-19T23:46:59Z,25000,,,0,,TEAM delay-of-game VIOLATION,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-19T23:46:48.0Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2022-10-19T23:46:48Z,40000,,,0,,Jump Ball B. Adebayo vs. N. Vucevic: Tip to T. Herro,"[1629639, 1628389, 202696]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-10-19T23:47:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,89.17542706964521,49.754901960784316,1610612748,0,0,2022-10-19T23:47:09Z,70000,-1.0,49.0,1,right,MISS K. Lowry floating Shot - blocked,"[200768, 1630245]",1610612748.0,MIA,floating,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,4.93,Missed,Dosunmu,1630245.0,,,,,,,,,,,,,,,,
73,PT11M43.00S,2022-10-19T23:47:01.4Z,1,REGULAR,block,,[],1630245,,,1610612748,0,0,2022-10-19T23:55:48Z,75000,,,0,,A. Dosunmu BLOCK (1 BLK),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-10-19T23:47:07.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-10-19T23:47:57Z,80000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M36.00S,2022-10-19T23:47:09.1Z,1,REGULAR,turnover,bad pass,[],1627936,,,1610612741,0,0,2022-10-19T23:47:18Z,90000,,,0,,A. Caruso bad pass TURNOVER (1 TO),"[1627936, 1629639]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Herro,1629639.0,,,,,,,,,
11,PT11M36.00S,2022-10-19T23:47:09.1Z,1,REGULAR,steal,,[],1629639,,,1610612748,0,0,2022-10-19T23:47:11Z,100000,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2022-10-19T23:47:13.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,93.24901445466492,54.41176470588235,1610612748,2,0,2022-10-19T23:47:23Z,110000,22.0,11.0,1,right,J. Butler Layup (2 PTS) (T. Herro 1 AST),"[202710, 1629639]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,2.47,Made,,,,,,,,,,2.0,T. Herro,1629639.0,1.0,,,,,
14,PT11M11.00S,2022-10-19T23:47:32.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,11.645860709592641,56.61764705882353,1610612741,2,0,2022-10-19T23:47:42Z,130000,-33.0,57.0,1,left,MISS N. Vucevic 6' Hook,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,6.59,Missed,,,,,,,,,,,,,,,,,,
