actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-21T23:45:49.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-21T23:45:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-21T23:45:51.8Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-10-21T23:45:51Z,40000,,,0,,Jump Ball B. Adebayo vs. A. Horford: Tip to K. Lowry,"[200768, 1628389, 201143]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-21T23:46:11.7Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,0,0,2022-10-21T23:46:25Z,70000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 200768]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,1162.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-10-21T23:46:30.4Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,0,0,2022-10-21T23:46:40Z,90000,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1627759]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Left Center,,,,,,1.0,Brown,1627759.0,,,,,,,,,,,,
10,PT11M40.00S,2022-10-21T23:46:30.4Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2022-10-21T23:46:32Z,100000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2022-10-21T23:46:34.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,94.30026281208936,52.69607843137255,1610612738,0,2,2022-10-21T23:47:16Z,110000,13.0,1.0,1,right,J. Brown running Layup (2 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,1.35,Made,2.0,,,,,,,,,
12,PT11M25.00S,2022-10-21T23:46:44.7Z,1,REGULAR,3pt,Jump Shot,[],200768,27.677398160315374,14.215686274509803,1610612748,0,2,2022-10-21T23:46:51Z,120000,179.0,208.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,,,,,,,27.41,Missed,,,,,,,,,,
13,PT11M25.00S,2022-10-21T23:46:44.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,2,2022-10-21T23:46:51Z,130000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M15.00S,2022-10-21T23:46:54.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.07030223390277,22.058823529411764,1610612738,0,2,2022-10-21T23:47:00Z,140000,-140.0,238.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,27.61,Missed,,,,,,,,,,
15,PT11M12.00S,2022-10-21T23:46:57.9Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,0,2,2022-10-21T23:46:57Z,150000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
16,PT11M10.00S,2022-10-21T23:47:00.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201143,66.44218134034165,51.9607843137255,1610612738,0,2,2022-10-21T23:47:07Z,160000,10.0,263.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,,26.31,Missed,,,,,,,,,,
17,PT11M07.00S,2022-10-21T23:47:03.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,2,2022-10-21T23:47:07Z,170000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M57.00S,2022-10-21T23:47:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.1268068331143235,54.65686274509803,1610612748,0,2,2022-10-21T23:47:21Z,180000,-23.0,5.0,1,left,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,2.39,Missed,,,,,,,,,,
19,PT10M54.00S,2022-10-21T23:47:16.9Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,2,2022-10-21T23:47:21Z,190000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
20,PT10M48.00S,2022-10-21T23:47:22.5Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,0,2,2022-10-21T23:47:29Z,200000,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 1628389]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,1.0,Adebayo,1628389.0,,,,,,,,,,,,
21,PT10M48.00S,2022-10-21T23:47:22.5Z,1,REGULAR,steal,,[],1628389,,,1610612748,0,2,2022-10-21T23:47:24Z,210000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
22,PT10M41.00S,2022-10-21T23:47:29.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628997,6.521024967148489,45.588235294117645,1610612748,2,2,2022-10-21T23:47:46Z,220000,22.0,9.0,1,left,C. Martin alley-oop Layup (2 PTS) (T. Herro 1 AST),"[1628997, 1629639]",1610612748.0,MIA,alley-oop,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,2.38,Made,2.0,,,,,T. Herro,1629639.0,1.0,,
