actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-02T23:42:09.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-02T23:42:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-02T23:42:11.3Z,1,REGULAR,jumpball,recovered,[],1629622,,,1610612748,0,0,2022-11-02T23:42:11Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Sabonis: Tip to M. Strus,"[1629622, 1628389, 1627734]",1610612748.0,MIA,startperiod,M. Strus,1629622.0,Strus,M. Strus,Adebayo,1628389.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-02T23:42:24.7Z,1,REGULAR,3pt,Jump Shot,[],200768,33.327858081471746,31.61764705882353,1610612748,0,0,2022-11-02T23:42:30Z,70000,92.0,261.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,27.65,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-11-02T23:42:27.7Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,0,0,2022-11-02T23:50:55Z,80000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-11-02T23:42:30.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200768,24.52365308804205,12.009803921568627,1610612748,3,0,2022-11-02T23:42:37Z,90000,190.0,178.0,1,left,K. Lowry 26' 3PT  (3 PTS) (C. Martin 1 AST),"[200768, 1628997]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,26.04,Made,,,,,3.0,C. Martin,1628997.0,1.0,,,,,,,,,,
11,PT11M17.00S,2022-11-02T23:42:54.6Z,1,REGULAR,turnover,traveling,[],1627734,,,1610612758,3,0,2022-11-02T23:43:02Z,110000,,,0,,D. Sabonis traveling TURNOVER (1 TO),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2715.0,1.0,,,,,,,,
12,PT11M12.00S,2022-11-02T23:43:05.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,11.908672798948752,50.245098039215684,1610612748,3,0,2022-11-02T23:43:44Z,120000,-1.0,59.0,1,left,MISS B. Adebayo driving Layup,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.94,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-11-02T23:43:08.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,3,0,2022-11-02T23:43:44Z,130000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M58.00S,2022-11-02T23:43:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,93.9060446780552,54.65686274509803,1610612758,3,2,2022-11-02T23:43:26Z,140000,23.0,5.0,1,right,D. Mitchell driving reverse Layup (2 PTS) (H. Barnes 1 AST),"[1630558, 203084]",1610612758.0,SAC,driving reverse,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,2.38,Made,,,,,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,
16,PT10M49.00S,2022-11-02T23:43:28.4Z,1,REGULAR,turnover,bad pass,[],1628997,,,1610612748,3,2,2022-11-02T23:43:33Z,160000,,,0,,C. Martin bad pass TURNOVER (1 TO),"[1628997, 1631099]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,Murray,1631099.0,,,,,,
17,PT10M49.00S,2022-11-02T23:43:28.4Z,1,REGULAR,steal,,[],1631099,,,1610612758,3,2,2022-11-02T23:43:30Z,170000,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2022-11-02T23:43:32.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631099,93.38042049934296,49.754901960784316,1610612758,3,4,2022-11-02T23:43:40Z,180000,-1.0,10.0,1,right,K. Murray running DUNK (2 PTS),[1631099],1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M29.00S,2022-11-02T23:43:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,7.178055190538765,45.588235294117645,1610612748,5,4,2022-11-02T23:43:54Z,190000,22.0,15.0,1,left,T. Herro driving Layup (2 PTS) (K. Lowry 1 AST),"[1629639, 200768]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.67,Made,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,
21,PT10M03.00S,2022-11-02T23:44:13.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,88.91261498028909,45.83333333333333,1610612758,5,4,2022-11-02T23:44:19Z,210000,-21.0,52.0,1,right,MISS D. Sabonis turnaround Hook,[1627734],1610612758.0,SAC,turnaround,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,5.57,Missed,,,,,,,,,,,,,,,,,,
22,PT10M00.00S,2022-11-02T23:44:16.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,5,4,2022-11-02T23:44:19Z,220000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M48.00S,2022-11-02T23:44:28.8Z,1,REGULAR,2pt,Jump Shot,[],1628389,17.16491458607096,26.715686274509803,1610612748,7,4,2022-11-02T23:44:33Z,230000,116.0,109.0,1,left,B. Adebayo 15' Jump Shot (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,15.94,Made,,,,,2.0,,,,,,,,,,,,,
24,PT09M20.00S,2022-11-02T23:44:56.6Z,1,REGULAR,3pt,Jump Shot,[],1628989,63.288436268068324,41.911764705882355,1610612758,7,7,2022-11-02T23:45:04Z,240000,-40.0,293.0,1,right,K. Huerter 29' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1628989, 1630558]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,29.54,Made,,,,,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,
26,PT09M10.00S,2022-11-02T23:45:07.2Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,7,7,2022-11-02T23:45:11Z,260000,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1628989]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Huerter,1628989.0,,,,,,
27,PT09M10.00S,2022-11-02T23:45:07.2Z,1,REGULAR,steal,,[],1628989,,,1610612758,7,7,2022-11-02T23:45:09Z,270000,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
28,PT09M05.00S,2022-11-02T23:45:11.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628989,67.09921156373193,55.63725490196079,1610612758,7,7,2022-11-02T23:45:21Z,280000,28.0,257.0,1,right,MISS K. Huerter 25' running pullup 3PT,[1628989],1610612758.0,SAC,running pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
29,PT09M02.00S,2022-11-02T23:45:14.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,7,2022-11-02T23:45:21Z,290000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT08M57.00S,2022-11-02T23:45:20.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628997,7.046649145860711,56.86274509803921,1610612748,7,7,2022-11-02T23:45:27Z,300000,-34.0,14.0,1,left,MISS C. Martin driving finger roll Layup,[1628997],1610612748.0,MIA,driving finger roll,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,,,,,,,,,,,,,,
31,PT08M54.00S,2022-11-02T23:45:23.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,7,7,2022-11-02T23:45:27Z,310000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT08M50.00S,2022-11-02T23:45:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,91.5407358738502,48.77450980392157,1610612758,7,9,2022-11-02T23:45:34Z,320000,-6.0,27.0,1,right,D. Sabonis driving Layup (2 PTS),[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.77,Made,,,,,2.0,,,,,,,,,,,,,
33,PT08M30.00S,2022-11-02T23:45:47.3Z,1,REGULAR,3pt,Jump Shot,[],1629639,28.203022339027594,76.47058823529412,1610612748,7,9,2022-11-02T23:45:51Z,330000,-132.0,213.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,25.05,Missed,,,,,,,,,,,,,,,,,,
34,PT08M28.00S,2022-11-02T23:45:49.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,7,9,2022-11-02T23:45:51Z,340000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,33.0,3.0,3.0,0.0,,,,,,,,,,,,,,
35,PT08M23.00S,2022-11-02T23:45:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,91.40932982917214,47.549019607843135,1610612758,7,11,2022-11-02T23:46:04Z,350000,-12.0,28.0,1,right,K. Huerter cutting finger roll Layup (5 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,cutting finger roll,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,3.09,Made,,,,,5.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
37,PT07M59.00S,2022-11-02T23:46:17.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,7.30946123521682,49.01960784313725,1610612748,9,11,2022-11-02T23:46:22Z,370000,5.0,16.0,1,left,B. Adebayo cutting DUNK (4 PTS) (M. Strus 1 AST),"[1628389, 1629622]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.69,Made,,,,,4.0,M. Strus,1629622.0,1.0,,,,,,,,,,
39,PT07M35.00S,2022-11-02T23:46:41.4Z,1,REGULAR,3pt,Jump Shot,[],203084,67.23061760840999,57.107843137254896,1610612758,9,14,2022-11-02T23:46:47Z,390000,36.0,256.0,1,right,H. Barnes 25' 3PT  (3 PTS) (D. Mitchell 2 AST),"[203084, 1630558]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,25.8,Made,,,,,3.0,D. Mitchell,1630558.0,2.0,,,,,,,,,,
41,PT07M10.00S,2022-11-02T23:47:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.652431011826544,46.568627450980394,1610612748,9,14,2022-11-02T23:47:13Z,410000,17.0,10.0,1,left,MISS T. Herro driving Layup,[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,,
42,PT07M08.00S,2022-11-02T23:47:08.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,9,14,2022-11-02T23:47:13Z,420000,,,0,,D. Sabonis REBOUND (Off:0 Def:4),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,41.0,4.0,4.0,0.0,,,,,,,,,,,,,,
43,PT07M03.00S,2022-11-02T23:47:13.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203084,92.72339027595268,45.588235294117645,1610612758,9,16,2022-11-02T23:47:30Z,430000,-22.0,16.0,1,right,H. Barnes cutting Layup (5 PTS) (K. Huerter 1 AST),"[203084, 1628989]",1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,2.72,Made,,,,,5.0,K. Huerter,1628989.0,1.0,,,,,,,,,,
45,PT07M03.00S,2022-11-02T23:47:20.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,9,16,2022-11-02T23:47:20Z,450000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M03.00S,2022-11-02T23:49:43.2Z,1,REGULAR,substitution,out,[],1631099,,,1610612748,9,16,2022-11-02T23:50:05Z,460000,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M03.00S,2022-11-02T23:49:43.2Z,1,REGULAR,substitution,in,[],1626168,,,1610612748,9,16,2022-11-02T23:50:05Z,470000,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M46.00S,2022-11-02T23:50:35.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,17.0335085413929,50.245098039215684,1610612748,11,16,2022-11-02T23:50:42Z,480000,-1.0,108.0,1,left,K. Lowry 10' Jump Shot (5 PTS) (M. Strus 2 AST),"[200768, 1629622]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,10.76,Made,,,,,5.0,M. Strus,1629622.0,2.0,,,,,,,,,,
49,PT06M46.00S,2022-11-02T23:50:40.3Z,1,REGULAR,foul,personal,['1freethrow'],1630558,,,1610612748,11,16,2022-11-02T23:50:52Z,490000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Lowry 1 FT),"[1630558, 200768]",1610612758.0,SAC,shooting,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,2715.0,,,,1.0,0.0,Lowry,200768.0,,
51,PT06M46.00S,2022-11-02T23:51:06.9Z,1,REGULAR,freethrow,1 of 1,[],200768,,,1610612748,12,16,2022-11-02T23:51:07Z,510000,,,0,,K. Lowry Free Throw 1 of 1 (6 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
52,PT06M26.00S,2022-11-02T23:51:27.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,92.72339027595268,48.529411764705884,1610612758,12,18,2022-11-02T23:51:33Z,520000,-7.0,16.0,1,right,D. Sabonis DUNK (4 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.75,Made,,,,,4.0,,,,,,,,,,,,,
53,PT06M16.00S,2022-11-02T23:51:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,8.623521681997373,44.36274509803921,1610612748,14,18,2022-11-02T23:51:44Z,530000,28.0,29.0,1,left,B. Adebayo cutting Layup (6 PTS) (K. Lowry 2 AST),"[1628389, 200768]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,4.02,Made,,,,,6.0,K. Lowry,200768.0,2.0,,,,,,,,,,
