actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-14T00:42:58.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-14T00:42:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-14T00:43:00.3Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2023-02-14T00:43:00Z,40000,False,,,0,,Jump Ball B. Adebayo vs. N. Jokic: Tip to J. Butler,"[202710, 1628389, 203999]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-14T00:43:16.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,31.61957950065703,64.2156862745098,1610612748,3,0,2023-02-14T00:43:53Z,70000,False,-71.0,245.0,1,left,M. Strus 25' 3PT pullup (3 PTS) (J. Butler 1 AST),"[1629622, 202710]",1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,25.48,Made,3.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2023-02-14T00:43:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,91.27792378449409,58.08823529411765,1610612743,3,2,2023-02-14T00:44:23Z,90000,False,40.0,29.0,1,right,N. Jokic driving Layup (2 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.0,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M08.00S,2023-02-14T00:43:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,16.245072273324574,48.529411764705884,1610612748,3,2,2023-02-14T00:44:03Z,100000,False,7.0,100.0,1,left,MISS B. Adebayo 10' driving floating Shot,[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,10.05,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2023-02-14T00:43:58.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,3,2,2023-02-14T00:43:58Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.0,,,,,,,,,,,,,
13,PT11M03.00S,2023-02-14T00:44:09.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629216,28.86005256241787,75.0,1610612748,6,2,2023-02-14T00:44:17Z,130000,False,-125.0,219.0,1,left,G. Vincent 25' 3PT  (3 PTS) (J. Butler 2 AST),"[1629216, 202710]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Left Center,25.2,Made,3.0,J. Butler,202710.0,2.0,,,,,,,,,,,,,,
15,PT10M39.00S,2023-02-14T00:44:33.1Z,1,REGULAR,3pt,Jump Shot,[],1629008,75.90341655716163,86.27450980392157,1610612743,6,5,2023-02-14T00:44:38Z,150000,False,181.0,174.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,25.14,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M27.00S,2023-02-14T00:44:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,19.267411300919843,49.26470588235294,1610612748,6,5,2023-02-14T00:45:44Z,160000,False,4.0,129.0,1,left,MISS B. Adebayo 12' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.87,Missed,,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2023-02-14T00:44:49.0Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,6,5,2023-02-14T00:44:51Z,170000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M17.00S,2023-02-14T00:44:55.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628427,90.48948751642575,54.65686274509803,1610612743,6,7,2023-02-14T00:45:01Z,180000,False,23.0,37.0,1,right,V. Cancar driving finger roll Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[1628427, 203484]",1610612743.0,DEN,driving finger roll,,,Cancar,V. Cancar,,,,,Restricted Area,0-8 Center,4.36,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
20,PT09M55.00S,2023-02-14T00:45:16.7Z,1,REGULAR,3pt,Jump Shot,[],1629216,8.09789750328515,2.696078431372549,1610612748,6,7,2023-02-14T00:45:22Z,200000,False,237.0,24.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Right Corner 3,24+ Right,23.77,Missed,,,,,,,,,,,,,,,,,,
21,PT09M52.00S,2023-02-14T00:45:19.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,7,2023-02-14T00:45:22Z,210000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT09M36.00S,2023-02-14T00:45:37.4Z,1,REGULAR,turnover,out-of-bounds,[],1628427,,,1610612743,6,7,2023-02-14T00:45:51Z,220000,False,,,0,,V. Cancar bad pass out-of-bounds TURNOVER (1 TO),[1628427],1610612743.0,DEN,bad pass,,,Cancar,V. Cancar,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2004.0,1.0,,,,,,,,
23,PT09M23.00S,2023-02-14T00:46:00.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,17.427726675427067,47.30392156862745,1610612748,8,7,2023-02-14T00:46:08Z,230000,False,13.0,111.0,1,left,B. Adebayo 11' floating Jump Shot (2 PTS) (G. Vincent 1 AST),"[1628389, 1629216]",1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,11.21,Made,2.0,G. Vincent,1629216.0,1.0,,,,,,,,,,,,,,
25,PT09M03.00S,2023-02-14T00:46:19.5Z,1,REGULAR,2pt,Jump Shot,[],203484,77.34888304862024,50.98039215686274,1610612743,8,9,2023-02-14T00:46:25Z,250000,False,5.0,160.0,1,right,K. Caldwell-Pope 16' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,16.05,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
