actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-21T00:42:16.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-21T00:42:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-12-21T00:42:20.6Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612741,0,0,2022-12-21T00:42:20Z,40000,False,,,0,,Jump Ball N. Vucevic vs. B. Adebayo: Tip to D. DeRozan,"[201942, 202696, 1628389]",1610612741.0,CHI,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Vucevic,202696.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-12-21T00:42:34.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630172,93.34756898817345,45.34313725490197,1610612741,0,0,2022-12-21T00:42:43Z,70000,False,-23.0,10.0,1,right,MISS P. Williams DUNK,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.54,Missed,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-12-21T00:42:38.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,0,0,2022-12-21T00:42:38Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-12-21T00:43:00.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203897,67.9862023653088,65.44117647058823,1610612741,0,0,2022-12-21T00:43:04Z,100000,False,77.0,248.0,1,right,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,26.01,Missed,,,,,,,,,,,,,,,,
11,PT11M29.00S,2022-12-21T00:43:01.9Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2022-12-21T00:43:04Z,110000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M18.00S,2022-12-21T00:43:13.4Z,1,REGULAR,2pt,Jump Shot,[],1629312,14.980289093298296,91.3985906862745,1610612748,0,0,2022-12-21T00:43:41Z,120000,False,-207.0,88.0,1,left,MISS H. Highsmith 22' Jump Shot,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,16-24 Left,22.5,Missed,,,,,,,,,,,,,,,,
13,PT11M14.00S,2022-12-21T00:43:17.4Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,0,2022-12-21T00:43:18Z,130000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,
15,PT11M03.00S,2022-12-21T00:43:42.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,12.270039421813408,3.4313725490196134,1610612748,0,0,2022-12-21T00:44:02Z,150000,False,233.0,63.0,1,left,MISS M. Strus 24' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,24.11,Missed,,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-12-21T00:43:44.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-12-21T00:44:02Z,160000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Right Corner 3,24+ Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M40.00S,2022-12-21T00:44:06.7Z,1,REGULAR,2pt,Jump Shot,[],202696,95.58147174770039,74.75490196078431,1610612741,0,2,2022-12-21T00:44:22Z,170000,False,124.0,-11.0,1,right,N. Vucevic 12' turnaround Jump Shot (2 PTS) (P. Williams 1 AST),"[202696, 1630172]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Right,12.43,Made,,,,,2.0,P. Williams,1630172.0,1.0,,,,,,,,
19,PT10M23.00S,2022-12-21T00:44:23.4Z,1,REGULAR,3pt,Jump Shot,[],1629622,4.648488830486201,98.52941176470588,1610612748,3,2,2022-12-21T00:44:27Z,190000,False,-243.0,-9.0,1,left,M. Strus 24' 3PT  (3 PTS) (T. Herro 1 AST),"[1629622, 1629639]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Left Corner 3,24+ Left,24.28,Made,,,,,3.0,T. Herro,1629639.0,1.0,,,,,,,,
21,PT10M02.00S,2022-12-21T00:44:45.0Z,1,REGULAR,turnover,lost ball,[],1630172,,,1610612741,3,2,2022-12-21T00:45:42Z,210000,False,,,0,,P. Williams lost ball TURNOVER (1 TO),"[1630172, 1629312]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Highsmith,1629312.0,,,,,
22,PT10M02.00S,2022-12-21T00:44:45.0Z,1,REGULAR,steal,,[],1629312,,,1610612748,3,2,2022-12-21T00:44:47Z,220000,False,,,0,,H. Highsmith STEAL (1 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,
23,PT09M55.00S,2022-12-21T00:44:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203506,5.699737187910642,46.32352941176471,1610612748,3,2,2022-12-21T00:44:56Z,230000,False,18.0,1.0,1,left,MISS V. Oladipo running Layup,[203506],1610612748.0,MIA,running,,,Oladipo,V. Oladipo,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,
24,PT09M52.00S,2022-12-21T00:44:54.1Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,3,2,2022-12-21T00:44:56Z,240000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT09M47.00S,2022-12-21T00:44:59.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630172,92.82194480946123,45.833333333333336,1610612741,3,2,2022-12-21T00:45:05Z,250000,False,-21.0,15.0,1,right,MISS P. Williams running Layup,[1630172],1610612741.0,CHI,running,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.56,Missed,,,,,,,,,,,,,,,,
26,PT09M45.00S,2022-12-21T00:45:01.6Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,3,2,2022-12-21T00:45:05Z,260000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,
27,PT09M32.00S,2022-12-21T00:45:14.8Z,1,REGULAR,3pt,Jump Shot,[],1629639,28.43298291721419,80.88235294117646,1610612748,3,2,2022-12-21T00:45:34Z,270000,False,-154.0,215.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,26.45,Missed,,,,,,,,,,,,,,,,
28,PT09M28.00S,2022-12-21T00:45:18.8Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,3,2,2022-12-21T00:45:34Z,280000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,
29,PT09M12.00S,2022-12-21T00:45:34.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,92.0335085413929,56.127450980392155,1610612741,3,4,2022-12-21T00:45:46Z,290000,False,31.0,22.0,1,right,N. Vucevic turnaround Hook (4 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,3.79,Made,,,,,4.0,D. DeRozan,201942.0,1.0,,,,,,,,
31,PT09M01.00S,2022-12-21T00:45:51.0Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612748,3,4,2022-12-21T00:46:03Z,310000,False,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Adebayo 2 FT),"[202696, 1628389]",1610612741.0,CHI,shooting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628480.0,1.0,0.0,Adebayo,1628389.0
33,PT09M01.00S,2022-12-21T00:46:20.5Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,4,4,2022-12-21T00:46:20Z,330000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
34,PT09M01.00S,2022-12-21T00:46:40.2Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,5,4,2022-12-21T00:46:40Z,340000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
