actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-13T23:42:08.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-13T23:42:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-13T23:42:11.9Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2023-03-13T23:42:12Z,40000,False,,,0,,Jump Ball B. Adebayo vs. W. Kessler: Tip to T. Herro,"[1629639, 1628389, 1631117]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2023-03-13T23:42:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629216,94.69448094612353,3.9215686274509802,1610612748,3,0,2023-03-13T23:42:40Z,70000,False,-230.0,-3.0,1,right,G. Vincent 3PT  (3 PTS) (B. Adebayo 1 AST),"[1629216, 1628389]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Left Corner 3,24+ Left,23.04,Made,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2023-03-13T23:42:52.7Z,1,REGULAR,turnover,bad pass,[],203482,,,1610612762,3,0,2023-03-13T23:42:59Z,90000,False,,,0,,K. Olynyk bad pass TURNOVER (1 TO),"[203482, 202710]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Butler,202710.0,,,,,,,,,,,
10,PT11M15.00S,2023-03-13T23:42:52.7Z,1,REGULAR,steal,,[],202710,,,1610612748,3,0,2023-03-13T23:42:56Z,100000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
11,PT10M51.00S,2023-03-13T23:43:16.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201567,70.51576872536137,23.03921568627451,1610612748,3,0,2023-03-13T23:43:26Z,110000,False,-135.0,225.0,1,right,MISS K. Love 26' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
12,PT10M44.00S,2023-03-13T23:43:23.5Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,3,0,2023-03-13T23:43:23Z,120000,False,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT10M31.00S,2023-03-13T23:43:36.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629216,94.1688567674113,3.9215686274509802,1610612748,3,0,2023-03-13T23:43:41Z,130000,False,-230.0,2.0,1,right,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
14,PT10M28.00S,2023-03-13T23:43:39.3Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,3,0,2023-03-13T23:43:41Z,140000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M25.00S,2023-03-13T23:43:43.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631117,8.886333771353483,49.50980392156863,1610612762,3,2,2023-03-13T23:43:48Z,150000,False,2.0,31.0,1,left,W. Kessler alley-oop DUNK (2 PTS) (K. Olynyk 1 AST),"[1631117, 203482]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,3.11,Made,2.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,,,
17,PT10M14.00S,2023-03-13T23:43:56.0Z,1,REGULAR,foul,personal,[],203482,,,1610612748,3,2,2023-03-13T23:44:12Z,170000,False,,,0,,K. Olynyk personal FOUL (1 PF),"[203482, 201567]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,2715.0,1.0,0.0,Love,201567.0,,
19,PT10M06.00S,2023-03-13T23:44:20.7Z,1,REGULAR,3pt,Jump Shot,[],1629216,68.01905387647832,67.8921568627451,1610612748,6,2,2023-03-13T23:44:41Z,190000,False,89.0,248.0,1,right,G. Vincent 26' 3PT step back (6 PTS) (B. Adebayo 2 AST),"[1629216, 1628389]",1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,26.37,Made,6.0,B. Adebayo,1628389.0,2.0,,,,,,,,,,,,,,
