shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
12:00,2,PT12M00.00S,2022-12-09T00:42:01.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-09T00:42:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:55,4,PT11M55.00S,2022-12-09T00:42:06.4Z,1,REGULAR,jumpball,recovered,[],1630696,,,1610612748,0,0,2022-12-09T00:42:06Z,40000,False,,,0,,Jump Ball B. Adebayo vs. I. Zubac: Tip to D. Smith,"[1630696, 1628389, 1627826]",9,1610612748.0,MIA,startperiod,D. Smith,1630696.0,Smith,D. Smith,Adebayo,1628389.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
11:42,7,PT11M42.00S,2022-12-09T00:42:18.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,84.70762155059133,57.59803921568627,1610612748,0,0,2022-12-09T00:42:29Z,70000,False,38.0,91.0,1,right,MISS B. Adebayo 9' pullup Shot,[1628389],13,1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,9.88,Missed,,,,,,,,,,,,,,,,,,
11:37,8,PT11M37.00S,2022-12-09T00:42:23.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,0,0,2022-12-09T00:42:25Z,80000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],13,1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:33,9,PT11M33.00S,2022-12-09T00:42:27.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,32.40801576872536,46.81372549019608,1610612746,0,3,2022-12-09T00:42:44Z,90000,False,16.0,252.0,1,left,P. George 25' 3PT pullup (3 PTS),[202331],13,1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Center,25.26,Made,,,,,3.0,,,,,,,,,,,,,
11:14,10,PT11M14.00S,2022-12-09T00:42:46.3Z,1,REGULAR,2pt,Jump Shot,[],1630696,72.88107752956637,42.8921568627451,1610612748,0,3,2022-12-09T00:43:47Z,100000,False,-36.0,202.0,1,right,MISS D. Smith 20' step back Shot,[1630696],9,1610612748.0,MIA,step back,,,Smith,D. Smith,,,,,Mid-Range,16-24 Center,20.55,Missed,,,,,,,,,,,,,,,,,,
11:11,11,PT11M11.00S,2022-12-09T00:42:49.3Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,3,2022-12-09T00:42:55Z,110000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11:06,12,PT11M06.00S,2022-12-09T00:42:54.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630696,84.70762155059133,50.73529411764706,1610612748,2,3,2022-12-09T00:43:02Z,120000,False,4.0,91.0,1,right,D. Smith 9' floating Jump Shot (2 PTS) (J. Butler 1 AST),"[1630696, 202710]",9,1610612748.0,MIA,floating,,,Smith,D. Smith,,,,,In The Paint (Non-RA),8-16 Center,9.13,Made,,,,,2.0,J. Butler,202710.0,1.0,,,,,,,,,,
10:45,14,PT10M45.00S,2022-12-09T00:43:15.1Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,2,3,2022-12-09T00:43:24Z,140000,False,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1628389]",40,1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Adebayo,1628389.0,,,,,,,
10:45,15,PT10M45.00S,2022-12-09T00:43:15.1Z,1,REGULAR,steal,,[],1628389,,,1610612748,2,3,2022-12-09T00:43:24Z,150000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
