actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-24T01:12:05.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T01:12:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-24T01:12:07.0Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2022-12-24T01:12:07Z,40000,False,,,0,,Jump Ball B. Adebayo vs. M. Turner: Tip to J. Butler,"[202710, 1628389, 1626167]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-12-24T01:12:27.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202710,10.068988173455978,46.81372549019608,1610612748,2,0,2022-12-24T01:13:00Z,70000,False,16.0,42.0,1,left,J. Butler Hook (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,4.5,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-12-24T01:12:45.3Z,1,REGULAR,3pt,Jump Shot,[],1627741,70.64717477003943,23.03921568627451,1610612754,2,3,2022-12-24T02:12:09Z,80000,False,-135.0,223.0,1,right,B. Hield 26' 3PT  (3 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,26.09,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M07.00S,2022-12-24T01:12:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,7.046649145860711,45.83333333333333,1610612748,2,3,2022-12-24T01:13:06Z,90000,False,21.0,14.0,1,left,MISS J. Butler driving floating Shot,[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,2.49,Missed,,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2022-12-24T01:12:58.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,3,2022-12-24T01:13:06Z,100000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M02.00S,2022-12-24T01:13:09.0Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612754,2,3,2022-12-24T01:13:38Z,110000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1629639, 1631097]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,,,,,,,101284.0,1.0,0.0,Mathurin,1631097.0,,,,,,,,
13,PT11M02.00S,2022-12-24T01:13:40.4Z,1,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,2,3,2022-12-24T01:13:40Z,130000,False,,,0,,MISS B. Mathurin Free Throw 1 of 2,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2022-12-24T01:13:40.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,2,3,2022-12-24T01:13:40Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,
15,PT11M02.00S,2022-12-24T01:13:50.9Z,1,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,2,4,2022-12-24T01:13:50Z,150000,False,,,0,,B. Mathurin Free Throw 2 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M48.00S,2022-12-24T01:14:06.4Z,1,REGULAR,3pt,Jump Shot,[],200768,32.670827858081466,38.23529411764706,1610612748,2,4,2022-12-24T01:14:19Z,160000,False,59.0,255.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Center,26.13,Missed,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2022-12-24T01:14:10.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,4,2022-12-24T01:14:19Z,170000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,
18,PT10M22.00S,2022-12-24T01:14:58.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,67.23061760840999,36.76470588235294,1610612754,2,4,2022-12-24T01:15:07Z,180000,False,-66.0,256.0,1,right,MISS T. Haliburton 26' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,26.39,Missed,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2022-12-24T01:15:01.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,2,4,2022-12-24T01:15:07Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,,18.0,,,,,,,,,,,,,,,,
