actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-01T23:42:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-01T23:42:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-01T23:42:38.3Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2022-11-01T23:42:38Z,40000,,,0,,Jump Ball B. Adebayo vs. K. Looney: Tip to J. Butler,"[202710, 1628389, 1626172]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-01T23:42:52.0Z,1,REGULAR,turnover,lost ball,[],200768,,,1610612748,0,0,2022-11-01T23:42:59Z,70000,,,0,,K. Lowry lost ball TURNOVER (1 TO),"[200768, 201939]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Left,1.0,Curry,201939.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-11-01T23:42:52.0Z,1,REGULAR,steal,,[],201939,,,1610612744,0,0,2022-11-01T23:42:59Z,80000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-11-01T23:43:04.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,91.80354796320631,2.2058823529411766,1610612744,0,3,2022-11-01T23:43:16Z,90000,-239.0,25.0,1,right,A. Wiggins 24' 3PT  (3 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,24.03,Made,3.0,S. Curry,201939.0,1.0,,,,,,,,,,,
11,PT11M05.00S,2022-11-01T23:43:26.9Z,1,REGULAR,3pt,Jump Shot,[],1628997,13.748357424441524,1.4705882352941175,1610612748,3,3,2022-11-01T23:43:33Z,110000,243.0,77.0,1,left,C. Martin 25' 3PT  (3 PTS) (J. Butler 1 AST),"[1628997, 202710]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,25.44,Made,3.0,J. Butler,202710.0,1.0,,,,,,,,,,,
13,PT10M43.00S,2022-11-01T23:43:52.0Z,1,REGULAR,turnover,out-of-bounds,[],202691,,,1610612744,3,3,2022-11-01T23:44:00Z,130000,,,0,,K. Thompson bad pass out-of-bounds TURNOVER (1 TO),[202691],1610612744.0,GSW,bad pass,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right,1.0,,,,,,,,,201638.0,,,,,,,,,,
14,PT10M27.00S,2022-11-01T23:44:15.2Z,1,REGULAR,foul,personal,[],1626172,,,1610612748,3,3,2022-11-01T23:44:30Z,140000,,,0,,K. Looney personal FOUL (1 PF),"[1626172, 1628997]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,,,,,203177.0,1.0,0.0,Martin,1628997.0,,,,,,
16,PT10M11.00S,2022-11-01T23:44:47.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628997,19.66162943495401,26.225490196078432,1610612748,3,3,2022-11-01T23:44:52Z,160000,119.0,132.0,1,left,MISS C. Martin 17' pullup Shot,[1628997],1610612748.0,MIA,pullup,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right Center,,,,17.79,Missed,,,,,,,,,,,,,,,
17,PT10M08.00S,2022-11-01T23:44:49.7Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,3,3,2022-11-01T23:44:49Z,170000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,
