actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M43.00S,2022-11-08T01:33:51.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,5,2022-11-08T01:33:51Z,180000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,17.0,,,,,,,,,,
20,PT10M43.00S,2022-11-08T01:34:11.7Z,1,REGULAR,foul,personal,['1freethrow'],200768,,,1610612757,0,5,2022-11-08T01:35:09Z,200000,,,0,,K. Lowry away-from-play personal FOUL (1 PF) (Grant 1 FT),"[200768, 203924]",1610612748.0,MIA,away-from-play,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,202058.0,1.0,0.0,Grant,203924.0,,
28,PT10M43.00S,2022-11-08T01:34:28.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203081,,,1610612757,0,6,2022-11-08T02:28:34Z,215000,,,0,,D. Lillard away-from-play Free Throw 1 of 1 (1 PTS),[203081],1610612757.0,POR,away-from-play,,,Lillard,D. Lillard,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
44,PT10M41.00S,2022-11-08T01:34:37.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629014,92.42772667542707,51.96078431372549,1610612757,0,6,2022-11-08T01:39:10Z,217500,10.0,19.0,1,right,MISS A. Simons cutting Layup,[1629014],1610612757.0,POR,cutting,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,2.11,Missed,,,,,,,,,,,,,,,
45,PT10M40.00S,2022-11-08T01:34:38.0Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,6,2022-11-08T01:39:10Z,218750,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,
22,PT10M31.00S,2022-11-08T01:34:45.5Z,1,REGULAR,3pt,Jump Shot,[],200768,12.171484888304862,97.79411764705883,1610612748,3,6,2022-11-08T01:42:02Z,220000,-239.0,62.0,1,left,K. Lowry 24' 3PT step back (3 PTS) (J. Butler 1 AST),"[200768, 202710]",1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,Left Corner 3,24+ Left,,,,24.69,Made,3.0,J. Butler,202710.0,1.0,,,,,,,,,,,
24,PT10M09.00S,2022-11-08T01:35:13.3Z,1,REGULAR,foul,personal,[],202710,,,1610612757,3,6,2022-11-08T01:35:20Z,240000,,,0,,J. Butler personal FOUL (1 PF),"[202710, 203081]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1627963.0,1.0,0.0,Lillard,203081.0,,
26,PT09M59.00S,2022-11-08T01:35:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,94.1688567674113,47.30392156862745,1610612757,3,8,2022-11-08T01:35:54Z,260000,-13.0,2.0,1,right,J. Grant Layup (4 PTS) (A. Simons 1 AST),"[203924, 1629014]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,1.37,Made,4.0,A. Simons,1629014.0,1.0,,,,,,,,,,,
30,PT09M36.00S,2022-11-08T01:36:13.3Z,1,REGULAR,3pt,Jump Shot,[],1628997,13.87976346911958,2.450980392156863,1610612748,3,8,2022-11-08T01:36:22Z,290000,238.0,78.0,1,left,MISS C. Martin 25' 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,25.02,Missed,,,,,,,,,,,,,,,
31,PT09M34.00S,2022-11-08T01:36:15.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,3,8,2022-11-08T01:36:15Z,300000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Right Corner 3,24+ Right,,,,,,,,,,30.0,3.0,3.0,0.0,,,,,,,
