actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-23T00:11:04.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T00:11:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-23T00:11:07.4Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2022-10-23T00:11:07Z,40000,,,0,,Jump Ball S. Barnes vs. B. Adebayo: Tip to F. VanVleet,"[1627832, 1630567, 1628389]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Barnes,1630567.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-10-23T00:11:14.6Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,0,2022-10-23T00:11:21Z,70000,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 200768]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,1.0,Lowry,200768.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2022-10-23T00:11:14.6Z,1,REGULAR,steal,,[],200768,,,1610612748,0,0,2022-10-23T00:11:16Z,80000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-10-23T00:11:18.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",200768,6.652431011826544,47.30392156862745,1610612748,0,0,2022-10-23T00:11:30Z,90000,13.0,10.0,1,left,MISS K. Lowry running Layup,[200768],1610612748.0,MIA,running,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,1.68,Missed,,,,,,,,,,,,,,,
10,PT11M42.00S,2022-10-23T00:11:21.6Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,0,2022-10-23T00:11:21Z,100000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M31.00S,2022-10-23T00:11:33.0Z,1,REGULAR,3pt,Jump Shot,[],1628384,81.553876478318,93.13725490196079,1610612761,0,0,2022-10-23T00:11:45Z,110000,216.0,121.0,1,right,MISS O. Anunoby 24' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,24.73,Missed,,,,,,,,,,,,,,,
12,PT11M27.00S,2022-10-23T00:11:37.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2022-10-23T00:11:45Z,120000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M04.00S,2022-10-23T00:11:59.5Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,0,0,2022-10-23T00:12:09Z,130000,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 1627832]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.0,VanVleet,1627832.0,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2022-10-23T00:11:59.5Z,1,REGULAR,steal,,[],1627832,,,1610612761,0,0,2022-10-23T00:12:02Z,140000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
