actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-25T00:33:34.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-25T00:33:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-25T00:33:44.1Z,1,REGULAR,violation,jumpball,[],1629057,,,0,0,0,2023-01-25T00:33:44Z,40000,False,,,0,,R. Williams III jumpball VIOLATION,[1629057],1610612738.0,BOS,202901.0,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,
5,PT11M45.00S,2023-01-25T00:34:15.8Z,1,REGULAR,3pt,Jump Shot,[],200768,34.11629434954008,60.5392156862745,1610612748,0,0,2023-01-25T00:34:30Z,50000,False,-53.0,268.0,1,left,MISS K. Lowry 27' pullup 3PT,[200768],1610612748.0,MIA,,Lowry,K. Lowry,pullup,Above the Break 3,24+ Center,27.33,Missed,,,,,,,,,,,,,,,,,
6,PT11M43.00S,2023-01-25T00:34:17.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,0,2023-01-25T00:34:30Z,60000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,White,D. White,,Above the Break 3,24+ Center,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,
7,PT11M23.00S,2023-01-25T00:34:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,90.3580814717477,36.27450980392157,1610612738,0,2,2023-01-25T00:34:41Z,70000,False,-69.0,38.0,1,right,D. White 7' turnaround Jump Shot (2 PTS),[1628401],1610612738.0,BOS,,White,D. White,turnaround,In The Paint (Non-RA),0-8 Center,7.85,Made,,,,,2.0,,,,,,,,,,,,
8,PT11M13.00S,2023-01-25T00:34:48.1Z,1,REGULAR,2pt,Jump Shot,[],1628997,30.17411300919842,46.81372549019608,1610612748,0,2,2023-01-25T00:35:07Z,80000,False,16.0,231.0,1,left,MISS C. Martin 23' Jump Shot,[1628997],1610612748.0,MIA,,Martin,C. Martin,,Mid-Range,16-24 Center,23.16,Missed,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2023-01-25T00:34:50.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,2,2023-01-25T00:35:07Z,90000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,Williams III,R. Williams III,,Mid-Range,16-24 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT10M57.00S,2023-01-25T00:35:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.9060446780552,50.49019607843137,1610612738,0,4,2023-01-25T00:37:56Z,100000,False,2.0,5.0,1,right,J. Tatum driving Layup (2 PTS) (P. Pritchard 1 AST),"[1628369, 1630202]",1610612738.0,BOS,,Tatum,J. Tatum,driving,Restricted Area,0-8 Center,0.54,Made,,,,,2.0,P. Pritchard,1630202.0,1.0,,,,,,,,,
11,PT10M43.00S,2023-01-25T00:35:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,14.931011826544022,37.745098039215684,1610612748,2,4,2023-01-25T00:38:03Z,110000,False,61.0,88.0,1,left,T. Herro 10' floating Jump Shot (2 PTS),[1629639],1610612748.0,MIA,,Herro,T. Herro,floating,In The Paint (Non-RA),8-16 Right,10.72,Made,,,,,2.0,,,,,,,,,,,,
59,PT10M26.00S,2023-01-25T00:35:34.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,91.77069645203679,2.6960784313725554,1610612738,2,4,2023-01-25T00:55:03Z,125000,False,-237.0,25.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,White,D. White,,Left Corner 3,24+ Left,23.78,Missed,,,,,,,,,,,,,,,,,
60,PT10M25.00S,2023-01-25T00:35:35.5Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,2,4,2023-01-25T00:41:55Z,132500,False,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612738.0,BOS,,White,D. White,,Mid-Range,16-24 Left,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,,
