actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-22T20:42:37.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-22T20:42:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-01-22T20:42:49.8Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2023-01-22T20:42:49Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Valanciunas: Tip to J. Butler,"[202710, 1628389, 202685]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-01-22T20:42:58.6Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,0,0,2023-01-22T20:43:05Z,70000,False,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1630530]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Left Center,1.0,Murphy III,1630530.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-01-22T20:42:58.6Z,1,REGULAR,steal,,[],1630530,,,1610612740,0,0,2023-01-22T20:43:34Z,80000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2023-01-22T20:43:20.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202685,5.732588699080158,38.48039215686275,1610612740,0,2,2023-01-22T20:43:25Z,90000,False,58.0,1.0,1,left,J. Valanciunas Hook (2 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,5.76,Made,2.0,,,,,,,,,,,,,,
10,PT11M02.00S,2023-01-22T20:43:34.8Z,1,REGULAR,3pt,Jump Shot,[],1628997,93.24901445466492,96.32352941176471,1610612748,0,2,2023-01-22T20:43:40Z,100000,False,232.0,11.0,1,right,MISS C. Martin 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,23.19,Missed,,,,,,,,,,,,,,,
11,PT10M59.00S,2023-01-22T20:43:37.8Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,0,2,2023-01-22T20:43:40Z,110000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M57.00S,2023-01-22T20:43:38.8Z,1,REGULAR,turnover,lost ball,[],1630700,,,1610612740,0,2,2023-01-22T20:43:43Z,120000,False,,,0,,D. Daniels lost ball TURNOVER (1 TO),"[1630700, 202710]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Right Center,1.0,Butler,202710.0,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2023-01-22T20:43:38.8Z,1,REGULAR,steal,,[],202710,,,1610612748,0,2,2023-01-22T20:43:40Z,130000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2023-01-22T20:43:46.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,87.20433639947439,54.166666666666664,1610612748,2,2,2023-01-22T20:43:53Z,140000,False,21.0,68.0,1,right,B. Adebayo 7' fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,7.09,Made,2.0,,,,,,,,,,,,,,
