actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-13T00:42:08.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-13T00:42:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-13T00:42:10.5Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2023-01-13T00:42:10Z,40000,False,,,0,,Jump Ball B. Lopez vs. B. Adebayo: Tip to B. Portis,"[1626171, 201572, 1628389]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Lopez,201572.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-13T00:42:23.4Z,1,REGULAR,foul,personal,['3freethrow'],1629312,,,1610612749,0,0,2023-01-13T00:42:52Z,70000,False,,,0,,H. Highsmith shooting personal FOUL (1 PF) (Connaughton 3 FT),"[1629312, 1626192]",1610612748.0,MIA,shooting,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,1628480.0,1.0,0.0,Connaughton,1626192.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2023-01-13T00:43:26.8Z,1,REGULAR,freethrow,1 of 3,[],1626192,,,1610612749,0,1,2023-01-13T00:44:00Z,90000,False,,,0,,P. Connaughton Free Throw 1 of 3 (1 PTS),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2023-01-13T00:43:26.8Z,1,REGULAR,freethrow,2 of 3,[],1626192,,,1610612749,0,1,2023-01-13T00:44:00Z,100000,False,,,0,,MISS P. Connaughton Free Throw 2 of 3,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M44.00S,2023-01-13T00:43:26.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,0,1,2023-01-13T00:44:00Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
12,PT11M44.00S,2023-01-13T00:43:26.8Z,1,REGULAR,freethrow,3 of 3,[],1626192,,,1610612749,0,1,2023-01-13T00:44:00Z,120000,False,,,0,,MISS P. Connaughton Free Throw 3 of 3,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
13,PT11M42.00S,2023-01-13T00:43:28.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,1,2023-01-13T00:44:00Z,130000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M26.00S,2023-01-13T00:44:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,87.72996057818659,50.49019607843137,1610612748,2,1,2023-01-13T00:44:21Z,140000,False,2.0,63.0,1,right,B. Adebayo 6' fadeaway Jump Shot (2 PTS) (M. Strus 1 AST),"[1628389, 1629622]",1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,,,,,6.28,M. Strus,1629622.0,1.0,,,,,
16,PT11M12.00S,2023-01-13T00:44:28.3Z,1,REGULAR,2pt,Jump Shot,[],201572,10.200394218134035,22.058823529411764,1610612749,2,1,2023-01-13T00:44:34Z,160000,False,140.0,43.0,1,left,MISS B. Lopez 14' turnaround fadeaway Shot,[201572],1610612749.0,MIL,turnaround fadeaway,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,,14.63,,,,,,,,
17,PT11M08.00S,2023-01-13T00:44:32.3Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,2,1,2023-01-13T00:44:34Z,170000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Right,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M51.00S,2023-01-13T00:44:48.8Z,1,REGULAR,3pt,Jump Shot,[],1629216,87.99277266754271,97.05882352941177,1610612748,2,1,2023-01-13T00:44:54Z,180000,False,235.0,60.0,1,right,MISS G. Vincent 24' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,24.29,,,,,,,,
19,PT10M48.00S,2023-01-13T00:44:52.5Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,2,1,2023-01-13T00:44:52Z,190000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Right Corner 3,24+ Right,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M39.00S,2023-01-13T00:45:01.1Z,1,REGULAR,2pt,Jump Shot,[],1630699,7.884362680683312,76.00337009803921,1610612749,2,1,2023-01-13T00:45:08Z,200000,False,-130.0,22.0,1,left,MISS M. Beauchamp 13' pullup Shot,[1630699],1610612749.0,MIL,pullup,,,Beauchamp,M. Beauchamp,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,,,13.18,,,,,,,,
21,PT10M35.00S,2023-01-13T00:45:05.1Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,2,1,2023-01-13T00:45:08Z,210000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Mid-Range,8-16 Left,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT10M21.00S,2023-01-13T00:45:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,92.24704336399473,59.82689950980392,1610612748,4,1,2023-01-13T00:45:57Z,220000,False,49.0,20.0,1,right,M. Strus driving Layup (2 PTS),[1629622],1610612748.0,MIA,driving,,,Strus,M. Strus,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,,,,,5.32,,,,,,,,
23,PT10M10.00S,2023-01-13T00:45:29.8Z,1,REGULAR,2pt,Jump Shot,[],201950,22.421156373193167,54.166666666666664,1610612749,4,3,2023-01-13T00:45:36Z,230000,False,-21.0,158.0,1,left,J. Holiday 15' fadeaway Jump Shot (2 PTS),[201950],1610612749.0,MIL,fadeaway,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Center,,,,,,Made,2.0,,,,,15.97,,,,,,,,
24,PT09M58.00S,2023-01-13T00:45:43.8Z,1,REGULAR,2pt,Jump Shot,[],1628389,77.61169513797634,53.67647058823529,1610612748,6,3,2023-01-13T00:45:49Z,240000,False,18.0,158.0,1,right,B. Adebayo 15' Jump Shot (4 PTS) (M. Strus 2 AST),"[1628389, 1629622]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,,,,Made,4.0,,,,,15.91,M. Strus,1629622.0,2.0,,,,,
26,PT09M43.00S,2023-01-13T00:45:57.8Z,1,REGULAR,3pt,Jump Shot,[],1626192,34.90473061760841,54.65686274509803,1610612749,6,6,2023-01-13T00:46:05Z,260000,False,-23.0,276.0,1,left,P. Connaughton 27' 3PT  (4 PTS) (B. Lopez 1 AST),"[1626192, 201572]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Center,,,,,,Made,4.0,,,,,27.66,B. Lopez,201572.0,1.0,,,,,
