actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-15T23:41:49.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-15T23:41:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2023-03-15T23:41:56.1Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2023-03-15T23:41:56Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. B. Adebayo: Tip to T. Jones,"[1626145, 1628991, 1628389]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Jackson Jr.,1628991.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-03-15T23:42:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,6.652431011826544,50.73529411764706,1610612763,0,0,2023-03-15T23:42:14Z,70000,False,-4.0,10.0,1,left,MISS D. Bane driving Layup - blocked,"[1630217, 1628389]",1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.07,Missed,Adebayo,1628389.0,,,,,,,,,,,,,,,,
146,PT11M41.00S,2023-03-15T23:42:07.3Z,1,REGULAR,block,,[],1628389,,,1610612763,0,0,2023-03-16T00:06:19Z,75000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-03-15T23:42:08.3Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,0,2023-03-16T00:11:02Z,80000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
144,PT11M37.00S,2023-03-15T23:42:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,9.937582128777924,52.20588235294118,1610612763,0,0,2023-03-16T00:11:02Z,85000,False,-11.0,41.0,1,left,MISS J. Jackson Jr. tip Layup,[1628991],1610612763.0,MEM,tip,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,4.24,Missed,,,,,,,,,,,,,,,,,,
145,PT11M36.00S,2023-03-15T23:42:20.0Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,0,0,2023-03-16T00:11:28Z,87500,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,
9,PT11M18.00S,2023-03-15T23:42:30.7Z,1,REGULAR,3pt,Jump Shot,[],201567,73.53810775295663,14.460784313725492,1610612748,0,0,2023-03-15T23:42:35Z,90000,False,-178.0,196.0,1,right,MISS K. Love 26' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2023-03-15T23:42:33.7Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,0,0,2023-03-15T23:42:35Z,100000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M11.00S,2023-03-15T23:42:41.6Z,1,REGULAR,turnover,traveling,[],1630217,,,1610612763,0,0,2023-03-15T23:42:48Z,110000,False,,,0,,D. Bane traveling TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1830.0,1.0,,,,,,,,,,
