actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-24T23:40:37.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-24T23:40:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-24T23:40:39.8Z,1,REGULAR,jumpball,recovered,[],1629622,,,1610612748,0,0,2022-10-24T23:40:39Z,40000,,,0,,Jump Ball B. Adebayo vs. C. Koloko: Tip to M. Strus,"[1629622, 1628389, 1631132]",1610612748.0,MIA,startperiod,M. Strus,1629622.0,Strus,M. Strus,Adebayo,1628389.0,Koloko,1631132.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-10-24T23:40:57.2Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,0,0,2022-10-24T23:41:01Z,70000,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1627783]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-10-24T23:40:57.2Z,1,REGULAR,steal,,[],1627783,,,1610612761,0,0,2022-10-24T23:40:59Z,80000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-10-24T23:41:02.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627783,87.72996057818659,55.392156862745104,1610612761,0,2,2022-10-24T23:42:15Z,90000,27.0,63.0,1,right,P. Siakam 6' running Layup (2 PTS),[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,6.84,Made,2.0,,,,,,,,,,,,,,
10,PT11M21.00S,2022-10-24T23:41:17.1Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,0,2,2022-10-24T23:41:31Z,100000,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (2 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,2.0,,,,,,1146.0,,,,,,,,,,,,,
11,PT11M07.00S,2022-10-24T23:41:35.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627832,86.02168199737189,43.38235294117647,1610612761,0,2,2022-10-24T23:41:52Z,110000,-33.0,79.0,1,right,MISS F. VanVleet 8' Jump Shot,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,8.56,Missed,,,,,,,,,,,,,,,
12,PT11M03.00S,2022-10-24T23:41:39.5Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,0,2,2022-10-24T23:41:52Z,120000,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,
13,PT10M53.00S,2022-10-24T23:41:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627832,94.43166885676742,47.05882352941176,1610612761,0,4,2022-10-24T23:42:00Z,130000,-15.0,0.0,1,right,F. VanVleet driving reverse Layup (2 PTS),[1627832],1610612761.0,TOR,driving reverse,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,1.47,Made,2.0,,,,,,,,,,,,,,
14,PT10M29.00S,2022-10-24T23:42:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,9.149145860709593,57.35294117647059,1610612748,2,4,2022-10-24T23:42:20Z,140000,-37.0,34.0,1,left,T. Herro driving Layup (2 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,4.98,Made,2.0,,,,,,,,,,,,,,
