actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-24T00:40:18.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T00:40:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-24T00:40:20.5Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2021-10-24T00:40:20Z,40000,,,0,,Jump Ball J. Poeltl vs. G. Antetokounmpo: Tip to D. Murray,"[1627749, 1627751, 203507]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-10-24T00:40:42.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,10.85742444152431,36.029411764705884,1610612759,2,0,2021-10-24T00:40:48Z,70000,70.0,50.0,1,left,J. Poeltl 8' Hook (2 PTS) (D. White 1 AST),"[1627751, 1628401]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,8.57,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2021-10-24T00:40:56.1Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,2,0,2021-10-24T00:42:20Z,90000,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1627749]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,1.0,Murray,1627749.0,,,,,,,,,,,,
10,PT11M21.00S,2021-10-24T00:40:56.1Z,1,REGULAR,steal,,[],1627749,,,1610612759,2,0,2021-10-24T00:40:58Z,100000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2021-10-24T00:41:07.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627751,20.581471747700395,50.73529411764706,1610612759,4,0,2021-10-24T00:41:21Z,110000,-4.0,141.0,1,left,J. Poeltl 14' floating Jump Shot (4 PTS) (K. Johnson 1 AST),"[1627751, 1629640]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,14.1,Made,4.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,,
13,PT11M00.00S,2021-10-24T00:41:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,92.32917214191852,54.41176470588235,1610612749,4,0,2021-10-24T00:44:55Z,130000,22.0,20.0,1,right,MISS G. Allen driving Layup,[1628960],1610612749.0,MIL,driving,,,Allen,G. Allen,,,,,2.95,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2021-10-24T00:41:19.4Z,1,REGULAR,rebound,offensive,[],1626192,,,1610612749,4,0,2021-10-24T00:44:55Z,140000,,,0,,P. Connaughton REBOUND (Off:1 Def:0),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
15,PT10M59.00S,2021-10-24T00:41:25.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626192,94.40999984741211,50.0,1610612749,4,2,2021-10-24T00:44:01Z,150000,0.0,0.0,1,right,P. Connaughton putback Layup (2 PTS),[1626192],1610612749.0,MIL,putback,,,Connaughton,P. Connaughton,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2021-10-24T00:41:27.6Z,1,REGULAR,foul,personal,['1freethrow'],1629640,,,1610612749,4,2,2021-10-24T00:41:35Z,160000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Connaughton 1 FT),"[1629640, 1626192]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,2530.0,1.0,0.0,Connaughton,1626192.0,,,
18,PT10M59.00S,2021-10-24T00:41:45.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1626192,,,1610612749,4,3,2021-10-24T00:41:45Z,180000,,,0,,P. Connaughton Free Throw 1 of 1 (3 PTS),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
19,PT10M50.00S,2021-10-24T00:41:56.7Z,1,REGULAR,3pt,Jump Shot,[],203926,32.14520367936925,64.2156862745098,1610612759,7,3,2021-10-24T00:42:07Z,190000,-71.0,250.0,1,left,D. McDermott 25' 3PT  (3 PTS) (J. Poeltl 1 AST),"[203926, 1627751]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,25.96,Made,3.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,,
21,PT10M38.00S,2021-10-24T00:42:08.2Z,1,REGULAR,3pt,Jump Shot,[],201950,71.04139290407359,22.794117647058822,1610612749,7,3,2021-10-24T00:42:53Z,210000,-136.0,220.0,1,right,MISS J. Holiday 25' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M38.00S,2021-10-24T00:42:08.2Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,7,3,2021-10-24T00:42:53Z,220000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,
23,PT10M26.00S,2021-10-24T00:42:19.8Z,1,REGULAR,3pt,Jump Shot,[],1629640,28.33442838370565,21.813725490196077,1610612759,7,3,2021-10-24T00:42:34Z,230000,141.0,214.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M23.00S,2021-10-24T00:42:22.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,7,3,2021-10-24T00:42:34Z,240000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT10M17.00S,2021-10-24T00:42:28.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203507,94.1688567674113,47.794117647058826,1610612749,7,3,2021-10-24T00:47:01Z,250000,-11.0,2.0,1,right,MISS G. Antetokounmpo running Layup,[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,1.12,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M15.00S,2021-10-24T00:42:30.4Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,7,3,2021-10-24T00:42:43Z,260000,,,0,,D. McDermott REBOUND (Off:0 Def:2),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,
27,PT10M09.00S,2021-10-24T00:42:37.7Z,1,REGULAR,3pt,Jump Shot,[],203926,33.065045992115635,50.49019607843137,1610612759,10,3,2021-10-24T00:42:48Z,270000,-2.0,258.0,1,left,D. McDermott 25' 3PT  (6 PTS) (D. White 2 AST),"[203926, 1628401]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,25.83,Made,6.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,,
29,PT09M54.00S,2021-10-24T00:42:51.5Z,1,REGULAR,2pt,Jump Shot,[],203114,87.33574244415243,77.20588235294117,1610612749,10,5,2021-10-24T00:42:58Z,290000,136.0,67.0,1,right,K. Middleton 15' step back Jump Shot (2 PTS),[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,15.14,Made,2.0,,,,,,,,,,,,,,,,,,
