actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-12T01:40:08.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-12T01:40:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-03-12T01:40:13.5Z,1,REGULAR,jumpball,recovered,[],1627863,,,1610612762,0,0,2022-03-12T01:40:13Z,40000,,,0,,Jump Ball R. Gobert vs. J. Poeltl: Tip to D. House Jr.,"[1627863, 203497, 1627751]",1610612762.0,UTA,startperiod,D. House Jr.,1627863.0,House Jr.,D. House Jr.,Gobert,203497.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-12T01:40:23.1Z,1,REGULAR,turnover,out-of-bounds,[],201144,,,1610612762,0,0,2022-03-12T01:40:35Z,70000,,,0,,M. Conley bad pass out-of-bounds TURNOVER (1 TO),[201144],1610612762.0,UTA,bad pass,,,Conley,M. Conley,,,,,204058.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-03-12T01:40:41.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,5.601182654402102,75.98039215686273,1610612759,0,0,2022-03-12T01:41:04Z,80000,-130.0,0.0,1,left,MISS D. Murray 12' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,12.99,Missed,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-03-12T01:40:44.8Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,0,0,2022-03-12T01:40:44Z,90000,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M27.00S,2022-03-12T01:40:46.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627863,74.06373193166885,81.86274509803921,1610612762,0,3,2022-03-12T01:41:32Z,100000,159.0,191.0,1,right,D. House Jr. 24' 3PT pullup (3 PTS) (M. Conley 1 AST),"[1627863, 201144]",1610612762.0,UTA,pullup,,,House Jr.,D. House Jr.,,,,,,,24.89,Made,,,,,3.0,M. Conley,201144.0,1.0,,,,,,,,,
12,PT11M15.00S,2022-03-12T01:40:58.3Z,1,REGULAR,3pt,Jump Shot,[],1629640,24.26084099868594,14.705882352941178,1610612759,3,3,2022-03-12T01:41:02Z,120000,176.0,176.0,1,left,K. Johnson 24' 3PT  (3 PTS) (J. Poeltl 1 AST),"[1629640, 1627751]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,24.9,Made,,,,,3.0,J. Poeltl,1627751.0,1.0,,,,,,,,,
14,PT11M07.00S,2022-03-12T01:41:07.1Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,3,3,2022-03-12T01:41:12Z,140000,,,0,,M. Conley bad pass TURNOVER (2 TO),"[201144, 1627749]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,2.0,,,,,,,,,,,Murray,1627749.0,,,,,,,
15,PT11M07.00S,2022-03-12T01:41:07.1Z,1,REGULAR,steal,,[],1627749,,,1610612759,3,3,2022-03-12T01:41:09Z,150000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2022-03-12T01:41:12.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,31.09395532194481,33.82352941176471,1610612759,3,3,2022-03-12T01:41:17Z,160000,81.0,240.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,25.31,Missed,,,,,,,,,,,,,,,,,
17,PT10M58.00S,2022-03-12T01:41:16.1Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,3,3,2022-03-12T01:41:16Z,170000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M50.00S,2022-03-12T01:41:26.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,3,3,2022-03-12T01:41:26Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M48.00S,2022-03-12T01:41:44.4Z,1,REGULAR,3pt,Jump Shot,[],1628378,87.46714848883047,4.411764705882353,1610612762,3,3,2022-03-12T01:41:48Z,190000,-228.0,65.0,1,right,MISS D. Mitchell 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,23.71,Missed,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2022-03-12T01:41:47.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,3,3,2022-03-12T01:41:48Z,200000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M29.00S,2022-03-12T01:42:03.2Z,1,REGULAR,2pt,Jump Shot,[],1626196,21.107095926412615,41.911764705882355,1610612759,5,3,2022-03-12T01:42:08Z,210000,40.0,146.0,1,left,J. Richardson 15' pullup Jump Shot (2 PTS),[1626196],1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,,,15.14,Made,,,,,2.0,,,,,,,,,,,,
22,PT10M19.00S,2022-03-12T01:42:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,89.96386333771353,47.794117647058826,1610612762,5,3,2022-03-12T01:42:17Z,220000,-11.0,42.0,1,right,MISS M. Conley floating Shot - blocked,"[201144, 1626196]",1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,,,4.32,Missed,,,,,,,,,,,Richardson,1626196.0,,,,,
23,PT10M19.00S,2022-03-12T01:42:13.4Z,1,REGULAR,block,,[],1626196,,,1610612762,5,3,2022-03-12T01:42:16Z,230000,,,0,,J. Richardson BLOCK (1 BLK),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2022-03-12T01:42:16.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,5,3,2022-03-12T01:42:17Z,240000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT10M11.00S,2022-03-12T01:42:20.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627749,5.732588699080158,52.69607843137255,1610612759,5,3,2022-03-12T01:42:26Z,250000,-13.0,1.0,1,left,MISS D. Murray Layup - blocked,"[1627749, 1627863]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,1.36,Missed,,,,,,,,,,,House Jr.,1627863.0,,,,,
26,PT10M11.00S,2022-03-12T01:42:20.5Z,1,REGULAR,block,,[],1627863,,,1610612759,5,3,2022-03-12T01:42:23Z,260000,,,0,,D. House Jr. BLOCK (1 BLK),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M07.00S,2022-03-12T01:42:24.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,5,3,2022-03-12T01:42:26Z,270000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT10M01.00S,2022-03-12T01:42:31.1Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,5,3,2022-03-12T01:42:36Z,280000,,,0,,M. Conley bad pass TURNOVER (3 TO),"[201144, 1627749]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,3.0,,,,,,,,,,,Murray,1627749.0,,,,,,,
29,PT10M01.00S,2022-03-12T01:42:31.1Z,1,REGULAR,steal,,[],1627749,,,1610612759,5,3,2022-03-12T01:42:33Z,290000,,,0,,D. Murray STEAL (2 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M00.00S,2022-03-12T01:42:49.4Z,1,REGULAR,foul,personal,[],1628378,,,1610612759,5,3,2022-03-12T01:42:59Z,310000,,,0,,D. Mitchell take personal FOUL (1 PF),"[1628378, 1627749]",1610612762.0,UTA,take,,,Mitchell,D. Mitchell,,,,,2714.0,,,,,,,,,,,,,,,,1.0,0.0,Murray,1627749.0,
33,PT09M50.00S,2022-03-12T01:42:59.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626196,23.73521681997372,87.74509803921569,1610612759,5,3,2022-03-12T01:43:03Z,330000,-189.0,171.0,1,left,MISS J. Richardson 25' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,25.44,Missed,,,,,,,,,,,,,,,,,
34,PT09M47.00S,2022-03-12T01:43:02.8Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612762,5,3,2022-03-12T01:43:03Z,340000,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT09M39.00S,2022-03-12T01:43:10.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,71.30420499342969,76.9607843137255,1610612762,5,6,2022-03-12T01:43:15Z,350000,135.0,217.0,1,right,D. Mitchell 25' 3PT  (3 PTS) (R. O'Neale 1 AST),"[1628378, 1626220]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,25.56,Made,,,,,3.0,R. O'Neale,1626220.0,1.0,,,,,,,,,
37,PT09M25.00S,2022-03-12T01:43:28.1Z,1,REGULAR,turnover,out-of-bounds,[],1627751,,,1610612759,5,6,2022-03-12T01:43:36Z,370000,,,0,,J. Poeltl lost ball out-of-bounds TURNOVER (1 TO),[1627751],1610612759.0,SAS,lost ball,,,Poeltl,J. Poeltl,,,,,204058.0,1.0,,,,,,,,,,,,,,,,,,,
38,PT09M14.00S,2022-03-12T01:43:47.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,67.62483574244416,61.76470588235294,1610612762,5,9,2022-03-12T01:45:01Z,380000,59.0,252.0,1,right,M. Conley 25' 3PT pullup (3 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,,,25.86,Made,,,,,3.0,,,,,,,,,,,,
39,PT08M54.00S,2022-03-12T01:44:11.8Z,1,REGULAR,foul,personal,['2freethrow'],201144,,,1610612759,5,9,2022-03-12T01:44:20Z,390000,,,0,,M. Conley shooting personal FOUL (1 PF) (Murray 2 FT),"[201144, 1627749]",1610612762.0,UTA,shooting,,,Conley,M. Conley,,,,,204058.0,,,,,,,,,,,,,,,,1.0,0.0,Murray,1627749.0,
41,PT08M54.00S,2022-03-12T01:44:32.0Z,1,REGULAR,freethrow,1 of 2,[],1627749,,,1610612759,6,9,2022-03-12T01:44:32Z,410000,,,0,,D. Murray Free Throw 1 of 2 (1 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
42,PT08M54.00S,2022-03-12T01:44:50.4Z,1,REGULAR,freethrow,2 of 2,[],1627749,,,1610612759,7,9,2022-03-12T01:44:50Z,420000,,,0,,D. Murray Free Throw 2 of 2 (2 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
43,PT08M42.00S,2022-03-12T01:45:06.7Z,1,REGULAR,foul,personal,[],1626196,,,1610612762,7,9,2022-03-12T01:45:13Z,430000,,,0,,J. Richardson personal FOUL (1 PF),"[1626196, 1628378]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,2714.0,,,,,,,,,,,,,,,,1.0,0.0,Mitchell,1628378.0,
45,PT08M36.00S,2022-03-12T01:45:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,65.52233902759527,38.48039215686275,1610612762,7,12,2022-03-12T01:45:33Z,450000,-58.0,272.0,1,right,D. Mitchell 27' 3PT  (6 PTS) (M. Conley 2 AST),"[1628378, 201144]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,27.76,Made,,,,,6.0,M. Conley,201144.0,2.0,,,,,,,,,
47,PT08M08.00S,2022-03-12T01:45:54.8Z,1,REGULAR,3pt,Jump Shot,[],1629640,32.933639947437584,25.49019607843137,1610612759,7,12,2022-03-12T01:45:58Z,470000,123.0,257.0,1,left,MISS K. Johnson 28' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,28.48,Missed,,,,,,,,,,,,,,,,,
48,PT08M06.00S,2022-03-12T01:45:56.8Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612762,7,12,2022-03-12T01:45:58Z,480000,,,0,,D. House Jr. REBOUND (Off:0 Def:2),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT07M51.00S,2022-03-12T01:46:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,93.24901445466492,60.29411764705882,1610612762,7,12,2022-03-12T01:46:19Z,490000,51.0,11.0,1,right,MISS D. Mitchell turnaround Shot,[1628378],1610612762.0,UTA,turnaround,,,Mitchell,D. Mitchell,,,,,,,5.27,Missed,,,,,,,,,,,,,,,,,
50,PT07M49.00S,2022-03-12T01:46:13.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,7,12,2022-03-12T01:46:13Z,500000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,,
51,PT07M40.00S,2022-03-12T01:46:23.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,11.777266754270697,48.529411764705884,1610612759,9,12,2022-03-12T01:46:27Z,510000,7.0,58.0,1,left,J. Poeltl Hook (2 PTS) (J. Richardson 1 AST),"[1627751, 1626196]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,5.87,Made,,,,,2.0,J. Richardson,1626196.0,1.0,,,,,,,,,
53,PT07M21.00S,2022-03-12T01:46:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626220,91.27792378449409,54.90196078431373,1610612762,9,14,2022-03-12T01:47:15Z,530000,25.0,29.0,1,right,R. O'Neale driving floating Jump Shot (2 PTS) (D. Mitchell 1 AST),"[1626220, 1628378]",1610612762.0,UTA,driving floating,,,O'Neale,R. O'Neale,,,,,,,3.83,Made,,,,,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,
