actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-13T01:11:11.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T01:11:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-13T01:11:13.9Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2022-03-13T01:11:13Z,40000,,,0,,Jump Ball Z. Collins vs. I. Jackson: Tip to T. Jones,"[1630200, 1628380, 1630543]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Collins,1628380.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-13T01:11:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,90.22667542706965,50.49019607843137,1610612759,0,0,2022-03-13T01:11:30Z,70000,2.0,39.0,1,right,MISS D. McDermott driving finger roll Layup,[203926],1610612759.0,SAS,driving finger roll,,,McDermott,D. McDermott,,,,,3.95,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-13T01:11:27.4Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,0,0,2022-03-13T01:11:31Z,80000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-03-13T01:11:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,7.835085413929041,46.07843137254902,1610612754,0,0,2022-03-13T01:11:39Z,90000,20.0,21.0,1,left,MISS I. Jackson Layup,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,2.88,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-03-13T01:11:37.9Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,0,0,2022-03-13T01:11:39Z,100000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-03-13T01:11:51.0Z,1,REGULAR,2pt,Jump Shot,[],1628380,76.69185282522996,35.049019607843135,1610612759,2,0,2022-03-13T01:11:58Z,110000,-75.0,167.0,1,right,Z. Collins 18' Jump Shot (2 PTS) (D. Vassell 1 AST),"[1628380, 1630170]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,18.26,Made,,,,,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,
13,PT11M06.00S,2022-03-13T01:12:04.7Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612754,2,0,2022-03-13T01:12:12Z,130000,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1630200]",1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,1.0,Jones,1630200.0,,,,,,,,
14,PT11M06.00S,2022-03-13T01:12:04.7Z,1,REGULAR,steal,,[],1630200,,,1610612759,2,0,2022-03-13T01:12:07Z,140000,,,0,,T. Jones STEAL (1 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2022-03-13T01:12:08.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630200,92.85479632063075,45.83333333333333,1610612759,4,0,2022-03-13T01:12:21Z,150000,-21.0,15.0,1,right,T. Jones running finger roll Layup (2 PTS),[1630200],1610612759.0,SAS,running finger roll,,,Jones,T. Jones,,,,,2.55,Made,,,,,2.0,,,,,,,,,,,,,,
