actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-10T00:40:35.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-10T00:40:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-10T00:40:37.7Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-04-10T00:40:37Z,40000,,,0,,Jump Ball K. Looney vs. Z. Collins: Tip to D. Green,"[203110, 1626172, 1628380]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-04-10T00:40:48.4Z,1,REGULAR,2pt,Jump Shot,[],1627814,20.844283837056505,43.627450980392155,1610612744,0,0,2022-04-10T00:40:54Z,70000,32.0,143.0,1,left,MISS D. Lee 14' pullup Shot,[1627814],1610612744.0,GSW,pullup,,,Lee,D. Lee,,,,,14.69,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-04-10T00:40:50.4Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,0,0,2022-04-10T00:40:50Z,80000,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-04-10T00:41:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,82.7365308804205,49.754901960784316,1610612759,2,0,2022-04-10T00:41:08Z,100000,-1.0,110.0,1,right,T. Jones 10' driving floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,10.98,Made,,,,,2.0,,,,,,,,,,,,,,
11,PT11M12.00S,2022-04-10T00:41:36.7Z,1,REGULAR,violation,kicked ball,[],1628966,,,1610612744,2,0,2022-04-10T00:41:45Z,110000,,,0,,K. Bates-Diop kicked ball VIOLATION,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,1627529.0,,,,,,,,,,,,,
12,PT11M01.00S,2022-04-10T00:41:47.6Z,1,REGULAR,3pt,Jump Shot,[],1627814,30.831143232588698,28.186274509803923,1610612744,2,0,2022-04-10T00:41:52Z,120000,109.0,237.0,1,left,MISS D. Lee 26' 3PT,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-04-10T00:41:50.6Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,2,0,2022-04-10T00:41:52Z,130000,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-04-10T00:42:00.3Z,1,REGULAR,2pt,Jump Shot,[],1626196,76.95466491458606,65.68627450980392,1610612759,2,0,2022-04-10T00:42:06Z,140000,78.0,164.0,1,right,MISS J. Richardson 18' pullup Shot,[1626196],1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,18.19,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2022-04-10T00:42:03.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,0,2022-04-10T00:42:06Z,150000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
