actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-03-19T00:40:10.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-19T00:40:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M48.00S,2022-03-19T00:40:21.2Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2022-03-19T00:40:21Z,40000,,,0,,Jump Ball J. Valanciunas vs. J. Poeltl: Tip to H. Jones,"[1630529, 202685, 1627751]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-19T00:40:31.1Z,1,REGULAR,2pt,Jump Shot,[],202685,90.88370565045992,69.36274509803921,1610612740,0,2,2022-03-19T00:40:39Z,70000,97.0,33.0,1,right,J. Valanciunas 10' bank Jump Shot (2 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,bank,,,Valanciunas,J. Valanciunas,,,,,10.23,Made,2.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-19T00:40:46.2Z,1,REGULAR,violation,kicked ball,[],1630529,,,1610612759,0,2,2022-03-19T00:40:56Z,90000,,,0,,H. Jones kicked ball VIOLATION,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,201246.0,,,,,,,,,,,,,
10,PT11M19.00S,2022-03-19T00:41:11.5Z,1,REGULAR,2pt,Jump Shot,[],1630170,20.45006570302234,50.49019607843137,1610612759,0,2,2022-03-19T00:41:20Z,100000,-2.0,140.0,1,left,MISS D. Vassell 13' turnaround Shot,[1630170],1610612759.0,SAS,turnaround,,,Vassell,D. Vassell,,,,,13.97,Missed,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-03-19T00:41:14.5Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,0,2,2022-03-19T00:41:21Z,110000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M10.00S,2022-03-19T00:41:19.7Z,1,REGULAR,3pt,Jump Shot,[],202685,68.01905387647832,59.55882352941176,1610612740,0,5,2022-03-19T00:41:32Z,120000,48.0,248.0,1,right,J. Valanciunas 25' 3PT  (5 PTS) (D. Graham 2 AST),"[202685, 1628984]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.27,Made,5.0,D. Graham,1628984.0,2.0,,,,,,,,,,,,,,
14,PT10M59.00S,2022-03-19T00:41:31.3Z,1,REGULAR,3pt,Jump Shot,[],1630563,10.726018396846255,3.1862745098039214,1610612759,0,5,2022-03-19T00:41:35Z,140000,234.0,48.0,1,left,MISS J. Primo 3PT,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,23.9,Missed,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-03-19T00:41:33.2Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,5,2022-03-19T00:41:33Z,150000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,
16,PT10M54.00S,2022-03-19T00:41:35.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629640,18.610381077529567,93.87254901960785,1610612759,0,5,2022-03-19T00:41:41Z,160000,-219.0,122.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,
