actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M50.00S,2022-03-19T00:41:39.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,5,2022-03-19T00:41:41Z,170000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M36.00S,2022-03-19T00:41:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,95.0886990801577,50.0,1610612740,0,5,2022-03-19T00:42:13Z,180000,0.0,-6.0,1,right,MISS J. Hayes alley-oop Layup,[1629637],1610612740.0,NOP,alley-oop,,,Hayes,J. Hayes,,,,,0.63,Missed,,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2022-03-19T00:41:53.7Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,5,2022-03-19T00:42:13Z,185000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
19,PT10M21.00S,2022-03-19T00:42:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,17.16491458607096,54.65686274509803,1610612759,0,5,2022-03-19T00:42:16Z,190000,-23.0,109.0,1,left,MISS J. Poeltl 11' Jump Shot,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,11.14,Missed,,,,,,,,,,,,,,,,,,
20,PT10M17.00S,2022-03-19T00:42:12.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,5,2022-03-19T00:42:16Z,200000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,
22,PT10M03.00S,2022-03-19T00:42:26.4Z,1,REGULAR,3pt,Jump Shot,[],1628984,76.95466491458606,7.598039215686274,1610612740,0,5,2022-03-19T00:42:43Z,210000,-212.0,164.0,1,right,MISS D. Graham 26' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,26.81,Missed,,,,,,,,,,,,,,,,,,
23,PT09M59.00S,2022-03-19T00:42:30.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,5,2022-03-19T00:42:43Z,220000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,
24,PT09M50.00S,2022-03-19T00:42:39.3Z,1,REGULAR,2pt,Jump Shot,[],1630170,27.808804204993432,47.05882352941176,1610612759,2,5,2022-03-19T00:42:46Z,230000,15.0,209.0,1,left,D. Vassell 20' Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1630170, 1627751]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,20.94,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
26,PT09M34.00S,2022-03-19T00:42:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,89.30683311432325,63.48039215686274,1610612740,2,7,2022-03-19T00:43:02Z,250000,67.0,48.0,1,right,J. Valanciunas 8' fadeaway bank Jump Shot (7 PTS),[202685],1610612740.0,NOP,fadeaway bank,,,Valanciunas,J. Valanciunas,,,,,8.27,Made,7.0,,,,,,,,,,,,,,,,,
27,PT09M19.00S,2022-03-19T00:43:11.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,14.011169513797633,39.21568627450981,1610612759,2,7,2022-03-19T00:43:15Z,260000,54.0,79.0,1,left,MISS J. Poeltl 9' Jump Shot,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,9.58,Missed,,,,,,,,,,,,,,,,,,
28,PT09M16.00S,2022-03-19T00:43:14.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,7,2022-03-19T00:43:15Z,270000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,27.0,3.0,3.0,0.0,,,,,,,,,
29,PT09M09.00S,2022-03-19T00:43:21.0Z,1,REGULAR,2pt,Jump Shot,[],202685,80.76544021024968,68.62745098039215,1610612740,2,9,2022-03-19T00:43:27Z,280000,93.0,128.0,1,right,J. Valanciunas 15' Jump Shot (9 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,15.85,Made,9.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,
31,PT08M54.00S,2022-03-19T00:43:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,6.783837056504599,45.588235294117645,1610612759,2,9,2022-03-19T00:43:43Z,300000,22.0,11.0,1,left,MISS D. Murray driving finger roll Layup - blocked,"[1627749, 1629637]",1610612759.0,SAS,driving finger roll,,,Murray,D. Murray,,,,,2.48,Missed,,,,,,,,,,Hayes,1629637.0,,,,,,,
32,PT08M54.00S,2022-03-19T00:43:35.6Z,1,REGULAR,block,,[],1629637,,,1610612759,2,9,2022-03-19T00:43:37Z,310000,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M54.00S,2022-03-19T00:43:35.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,2,9,2022-03-19T00:43:43Z,320000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,
34,PT08M54.00S,2022-03-19T00:43:39.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,2,9,2022-03-19T00:43:39Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M44.00S,2022-03-19T00:44:05.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629640,5.469776609724048,38.23529411764706,1610612759,4,9,2022-03-19T01:38:22Z,340000,59.0,-1.0,1,left,K. Johnson Layup (2 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,5.88,Made,2.0,,,,,,,,,,,,,,,,,
36,PT08M34.00S,2022-03-19T00:44:15.4Z,1,REGULAR,2pt,Jump Shot,[],203468,75.24638633377135,61.76470588235294,1610612740,4,11,2022-03-19T00:44:20Z,350000,59.0,180.0,1,right,C. McCollum 18' Jump Shot (2 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,18.96,Made,2.0,,,,,,,,,,,,,,,,,
37,PT08M16.00S,2022-03-19T00:44:33.6Z,1,REGULAR,3pt,Jump Shot,[],1627749,4.155716162943495,95.58823529411765,1610612759,4,11,2022-03-19T00:44:37Z,360000,-228.0,-13.0,1,left,MISS D. Murray 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,22.83,Missed,,,,,,,,,,,,,,,,,,
38,PT08M13.00S,2022-03-19T00:44:36.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,4,11,2022-03-19T00:44:37Z,370000,,,0,,J. Valanciunas REBOUND (Off:0 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,37.0,4.0,4.0,0.0,,,,,,,,,
39,PT08M06.00S,2022-03-19T00:44:43.1Z,1,REGULAR,2pt,Jump Shot,[],203468,93.38042049934296,18.38235294117647,1610612740,4,11,2022-03-19T00:44:49Z,380000,-158.0,10.0,1,right,MISS C. McCollum 15' step back Shot,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,15.84,Missed,,,,,,,,,,,,,,,,,,
40,PT08M06.00S,2022-03-19T00:44:43.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,4,11,2022-03-19T00:44:49Z,390000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,
41,PT08M06.00S,2022-03-19T00:44:48.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,4,11,2022-03-19T00:44:48Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M58.00S,2022-03-19T00:45:07.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630529,91.01511169513797,4.166666666666666,1610612740,4,11,2022-03-19T00:45:15Z,410000,-229.0,32.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,23.14,Missed,,,,,,,,,,,,,,,,,,
43,PT07M55.00S,2022-03-19T00:45:10.9Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,4,11,2022-03-19T00:45:15Z,420000,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,42.0,5.0,4.0,1.0,,,,,,,,,
44,PT07M54.00S,2022-03-19T00:45:12.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628984,70.12155059132719,73.2843137254902,1610612740,4,14,2022-03-19T00:45:18Z,430000,116.0,228.0,1,right,D. Graham 25' 3PT  (3 PTS) (J. Valanciunas 1 AST),"[1628984, 202685]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,25.64,Made,3.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,
46,PT07M53.00S,2022-03-19T00:45:18.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,4,14,2022-03-19T00:45:18Z,450000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M53.00S,2022-03-19T00:47:54.3Z,1,REGULAR,substitution,out,[],1630563,,,1610612759,4,14,2022-03-19T00:47:57Z,460000,,,0,,SUB out: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M53.00S,2022-03-19T00:47:54.3Z,1,REGULAR,substitution,in,[],1629022,,,1610612759,4,14,2022-03-19T00:47:57Z,470000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M35.00S,2022-03-19T00:48:30.6Z,1,REGULAR,turnover,lost ball,[],1629022,,,1610612759,4,14,2022-03-19T00:48:36Z,480000,,,0,,L. Walker IV lost ball TURNOVER (1 TO),"[1629022, 1628984]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,1.0,Graham,1628984.0,,,,
50,PT07M35.00S,2022-03-19T00:48:30.6Z,1,REGULAR,steal,,[],1628984,,,1610612740,4,14,2022-03-19T00:48:33Z,490000,,,0,,D. Graham STEAL (1 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M31.00S,2022-03-19T00:48:34.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628984,93.9060446780552,49.50980392156863,1610612740,4,14,2022-03-19T00:48:43Z,500000,-2.0,5.0,1,right,MISS D. Graham running finger roll Layup,[1628984],1610612740.0,NOP,running finger roll,,,Graham,D. Graham,,,,,0.54,Missed,,,,,,,,,,,,,,,,,,
52,PT07M29.00S,2022-03-19T00:48:36.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,4,14,2022-03-19T00:48:36Z,510000,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,
53,PT07M24.00S,2022-03-19T00:48:42.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,31.09395532194481,27.941176470588236,1610612759,7,14,2022-03-19T00:48:47Z,520000,110.0,240.0,1,left,D. Vassell 26' 3PT  (5 PTS) (D. Murray 1 AST),"[1630170, 1627749]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,26.4,Made,5.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
55,PT07M07.00S,2022-03-19T00:48:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.9862023653088,48.529411764705884,1610612740,7,16,2022-03-19T00:49:15Z,540000,-7.0,13.0,1,right,H. Jones driving Layup (2 PTS),[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,1.53,Made,2.0,,,,,,,,,,,,,,,,,
56,PT06M51.00S,2022-03-19T00:49:14.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,13.222733245729303,53.92156862745098,1610612759,7,16,2022-03-19T00:49:20Z,550000,-20.0,72.0,1,left,MISS J. Poeltl 7' Hook,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,7.44,Missed,,,,,,,,,,,,,,,,,,
57,PT06M50.00S,2022-03-19T00:49:15.7Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,7,16,2022-03-19T00:49:20Z,560000,,,0,,J. Poeltl REBOUND (Off:2 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,56.0,3.0,1.0,2.0,,,,,,,,,
58,PT06M50.00S,2022-03-19T00:49:18.5Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612759,7,16,2022-03-19T00:49:25Z,570000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Poeltl 2 FT),"[202685, 1627751]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,1662.0,,,,,,,,,,1.0,0.0,Poeltl,1627751.0
60,PT06M50.00S,2022-03-19T00:49:47.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612759,7,16,2022-03-19T00:50:08Z,590000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2022-03-19T00:49:47.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,7,16,2022-03-19T00:50:08Z,600000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,
62,PT06M50.00S,2022-03-19T00:49:47.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612759,7,16,2022-03-19T00:50:08Z,610000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2022-03-19T00:49:50.5Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,7,16,2022-03-19T00:52:17Z,620000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,
64,PT06M36.00S,2022-03-19T00:50:18.1Z,1,REGULAR,2pt,Jump Shot,[],202685,86.02168199737189,75.24509803921569,1610612740,7,16,2022-03-19T00:50:23Z,630000,126.0,79.0,1,right,MISS J. Valanciunas 14' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,14.88,Missed,,,,,,,,,,,,,,,,,,
65,PT06M32.00S,2022-03-19T00:50:22.1Z,1,REGULAR,rebound,offensive,[],203468,,,1610612740,7,16,2022-03-19T00:57:03Z,640000,,,0,,C. McCollum REBOUND (Off:1 Def:0),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,64.0,1.0,0.0,1.0,,,,,,,,,
66,PT06M31.00S,2022-03-19T00:50:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203468,93.24901445466492,48.28431372549019,1610612740,7,16,2022-03-19T00:50:27Z,650000,-9.0,11.0,1,right,MISS C. McCollum driving Layup - blocked,"[203468, 1627749]",1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,1.4,Missed,,,,,,,,,,Murray,1627749.0,,,,,,,
67,PT06M31.00S,2022-03-19T00:50:23.0Z,1,REGULAR,block,,[],1627749,,,1610612740,7,16,2022-03-19T00:50:25Z,660000,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2022-03-19T00:50:26.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,7,16,2022-03-19T00:50:27Z,670000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,
69,PT06M26.00S,2022-03-19T00:50:28.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629022,12.697109067017081,3.431372549019608,1610612759,7,16,2022-03-19T00:50:33Z,680000,233.0,67.0,1,left,MISS L. Walker IV 24' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,24.22,Missed,,,,,,,,,,,,,,,,,,
70,PT06M21.00S,2022-03-19T00:50:33.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,7,16,2022-03-19T00:50:33Z,690000,,,0,,J. Valanciunas REBOUND (Off:1 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,69.0,6.0,5.0,1.0,,,,,,,,,
71,PT06M12.00S,2022-03-19T00:50:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,93.11760840998686,49.50980392156863,1610612740,7,18,2022-03-19T00:50:48Z,700000,-2.0,12.0,1,right,J. Hayes Layup (2 PTS) (J. Valanciunas 2 AST),"[1629637, 202685]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,1.25,Made,2.0,J. Valanciunas,202685.0,2.0,,,,,,,,,,,,,,
73,PT05M45.00S,2022-03-19T00:51:08.5Z,1,REGULAR,2pt,Jump Shot,[],1630170,24.655059132720105,67.64705882352942,1610612759,7,18,2022-03-19T00:51:13Z,720000,-88.0,179.0,1,left,MISS D. Vassell 19' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,19.98,Missed,,,,,,,,,,,,,,,,,,
74,PT05M42.00S,2022-03-19T00:51:11.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,7,18,2022-03-19T00:51:13Z,730000,,,0,,J. Valanciunas REBOUND (Off:1 Def:6),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,73.0,7.0,6.0,1.0,,,,,,,,,
75,PT05M30.00S,2022-03-19T00:51:24.0Z,1,REGULAR,3pt,Jump Shot,[],1628984,89.04402102496715,95.83333333333334,1610612740,7,18,2022-03-19T00:51:30Z,740000,229.0,50.0,1,right,MISS D. Graham 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,
76,PT05M26.00S,2022-03-19T00:51:28.0Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,7,18,2022-03-19T00:51:30Z,750000,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,75.0,1.0,0.0,1.0,,,,,,,,,
77,PT05M25.00S,2022-03-19T00:51:28.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629637,84.44480946123521,46.81372549019608,1610612740,7,20,2022-03-19T00:51:33Z,760000,-16.0,94.0,1,right,J. Hayes 9' Jump Shot (4 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,9.5,Made,4.0,,,,,,,,,,,,,,,,,
78,PT05M13.00S,2022-03-19T00:51:42.9Z,1,REGULAR,foul,personal,[],202685,,,1610612759,7,20,2022-03-19T00:52:01Z,770000,,,0,,J. Valanciunas personal FOUL (2 PF),"[202685, 1627749]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,1363.0,,,,,,,,,,2.0,0.0,Murray,1627749.0
80,PT05M13.00S,2022-03-19T00:51:49.1Z,1,REGULAR,substitution,out,[],1627749,,,1610612759,7,20,2022-03-19T00:52:01Z,790000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M13.00S,2022-03-19T00:51:49.1Z,1,REGULAR,substitution,out,[],1627751,,,1610612759,7,20,2022-03-19T00:52:01Z,800000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M13.00S,2022-03-19T00:51:49.1Z,1,REGULAR,substitution,out,[],202685,,,1610612759,7,20,2022-03-19T00:52:01Z,810000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2022-03-19T00:51:49.1Z,1,REGULAR,substitution,in,[],1630200,,,1610612759,7,20,2022-03-19T00:52:01Z,820000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M13.00S,2022-03-19T00:51:49.1Z,1,REGULAR,substitution,in,[],1628380,,,1610612759,7,20,2022-03-19T00:52:01Z,830000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M13.00S,2022-03-19T00:51:49.1Z,1,REGULAR,substitution,in,[],1626195,,,1610612759,7,20,2022-03-19T00:52:01Z,840000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M13.00S,2022-03-19T00:52:04.0Z,1,REGULAR,substitution,out,[],1628984,,,1610612759,7,20,2022-03-19T00:52:07Z,850000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
