actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-31T00:40:10.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-31T00:40:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-31T00:40:13.1Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2022-03-31T00:40:13Z,40000,,,0,,Jump Ball S. Adams vs. J. Poeltl: Tip to T. Jones,"[1626145, 203500, 1627751]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-31T00:40:22.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,92.9862023653088,50.98039215686274,1610612763,0,2,2022-03-31T00:40:28Z,70000,5.0,13.0,1,right,J. Jackson Jr. DUNK (2 PTS) (S. Adams 1 AST),"[1628991, 203500]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,1.43,Made,2.0,S. Adams,203500.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-03-31T00:40:41.8Z,1,REGULAR,3pt,Jump Shot,[],1629640,27.677398160315374,21.323529411764707,1610612759,0,2,2022-03-31T00:40:48Z,90000,143.0,208.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-03-31T00:40:45.8Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,2,2022-03-31T00:40:48Z,100000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2022-03-31T00:40:52.6Z,1,REGULAR,3pt,Jump Shot,[],1628991,84.05059132720105,2.2058823529411766,1610612763,0,5,2022-03-31T00:40:56Z,110000,-239.0,97.0,1,right,J. Jackson Jr. 25' 3PT  (5 PTS) (T. Jones 1 AST),"[1628991, 1626145]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,25.81,Made,5.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,,
13,PT11M03.00S,2022-03-31T00:41:06.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,28.597240473061763,20.098039215686274,1610612759,3,5,2022-03-31T00:41:10Z,130000,150.0,216.0,1,left,K. Johnson 26' 3PT  (3 PTS) (J. Poeltl 1 AST),"[1629640, 1627751]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,26.29,Made,3.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
15,PT10M40.00S,2022-03-31T00:41:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,80.50262812089356,63.48039215686274,1610612763,3,7,2022-03-31T00:41:33Z,150000,67.0,131.0,1,right,T. Jones 14' floating Jump Shot (2 PTS),[1626145],1610612763.0,MEM,floating,,,Jones,T. Jones,,,,,14.71,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M27.00S,2022-03-31T00:41:44.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,3,7,2022-03-31T00:41:44Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M18.00S,2022-03-31T00:42:09.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,6.521024967148489,52.450980392156865,1610612759,3,7,2022-03-31T00:42:15Z,170000,-12.0,9.0,1,left,MISS D. Murray driving Layup,[1627749],1610612759.0,SAS,driving,,,Murray,D. Murray,,,,,1.51,Missed,,,,,,,,,,,,,,,,,,
