actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-27T00:40:12.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T00:40:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-27T00:40:14.4Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2021-10-27T00:40:14Z,40000,,,0,,Jump Ball J. Poeltl vs. D. Jordan: Tip to D. Murray,"[1627749, 1627751, 201599]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2021-10-27T00:40:25.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,0,2021-10-27T00:40:25Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2021-10-27T00:40:36.0Z,1,REGULAR,2pt,Jump Shot,[],203926,94.30026281208936,79.41176470588235,1610612759,0,0,2021-10-27T00:40:40Z,80000,147.0,1.0,1,right,MISS D. McDermott 14' Jump Shot,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,14.71,Missed,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2021-10-27T00:40:40.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2021-10-27T00:40:40Z,90000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M24.00S,2021-10-27T00:40:59.8Z,1,REGULAR,2pt,Jump Shot,[],203076,18.084756898817346,69.11764705882352,1610612747,0,0,2021-10-27T00:41:07Z,100000,-96.0,117.0,1,left,MISS A. Davis 15' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,15.15,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-10-27T00:41:03.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,0,0,2021-10-27T00:41:07Z,110000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M14.00S,2021-10-27T00:41:09.1Z,1,REGULAR,3pt,Jump Shot,[],1629640,77.87450722733246,91.91176470588235,1610612759,0,0,2021-10-27T00:41:15Z,120000,210.0,155.0,1,right,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2021-10-27T00:41:12.1Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,0,0,2021-10-27T00:41:15Z,130000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M06.00S,2021-10-27T00:41:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,7.178055190538765,55.14705882352941,1610612747,0,0,2021-10-27T00:41:50Z,140000,-26.0,15.0,1,left,MISS A. Davis alley-oop Layup,[203076],1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,2.98,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2021-10-27T00:41:20.2Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2021-10-27T00:41:20Z,150000,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,,
16,PT11M00.00S,2021-10-27T00:41:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,8.229303547963205,46.32352941176471,1610612747,0,0,2021-10-27T00:41:33Z,160000,18.0,25.0,1,left,MISS R. Westbrook Layup,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,3.1,Missed,,,,,,,,,,,,,,,,,,
17,PT10M58.00S,2021-10-27T00:41:25.0Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612759,0,0,2021-10-27T00:41:33Z,170000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M55.00S,2021-10-27T00:41:27.9Z,1,REGULAR,3pt,Jump Shot,[],203926,73.66951379763469,7.8431372549019605,1610612759,0,0,2021-10-27T00:42:36Z,180000,-211.0,195.0,1,right,MISS D. McDermott 28' running 3PT,[203926],1610612759.0,SAS,running,,,McDermott,D. McDermott,,,,,28.72,Missed,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2021-10-27T00:41:31.3Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,0,0,2021-10-27T00:41:31Z,190000,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M50.00S,2021-10-27T00:41:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629640,93.9060446780552,42.8921568627451,1610612759,0,0,2021-10-27T00:41:41Z,200000,-36.0,5.0,1,right,MISS K. Johnson Layup,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,3.58,Missed,,,,,,,,,,,,,,,,,,
21,PT10M47.00S,2021-10-27T00:41:36.4Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,0,0,2021-10-27T00:41:41Z,210000,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M45.00S,2021-10-27T00:41:38.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201566,6.783837056504599,52.69607843137255,1610612747,0,2,2021-10-27T00:44:16Z,220000,-13.0,11.0,1,left,R. Westbrook running Layup (2 PTS) (M. Monk 1 AST),"[201566, 1628370]",1610612747.0,LAL,running,,,Westbrook,R. Westbrook,,,,,1.76,Made,,,,,2.0,M. Monk,1628370.0,1.0,,,,,,,,,,
24,PT10M29.00S,2021-10-27T00:41:57.1Z,1,REGULAR,foul,personal,['2freethrow'],201599,,,1610612759,0,2,2021-10-27T00:48:32Z,240000,,,0,,D. Jordan shooting personal FOUL (1 PF) (Johnson 2 FT),"[201599, 1629640]",1610612747.0,LAL,shooting,,,Jordan,D. Jordan,,,,,,,,,,,,,,,101283.0,1.0,0.0,Johnson,1629640.0,,,,,
