actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-20T01:40:05.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T01:40:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-20T01:40:08.2Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2022-01-20T01:40:08Z,40000,,,0,,Jump Ball J. Poeltl vs. J. Robinson-Earl: Tip to D. Murray,"[1627749, 1627751, 1630526]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-20T01:40:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.03745072273325,49.754901960784316,1610612759,2,0,2022-01-20T01:40:25Z,70000,-1.0,4.0,1,right,J. Poeltl cutting finger roll Layup (2 PTS) (D. White 1 AST),"[1627751, 1628401]",1610612759.0,SAS,cutting finger roll,,,Poeltl,J. Poeltl,,,,,0.37,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-20T01:40:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,6.1268068331143235,50.73529411764706,1610612760,2,2,2022-01-20T01:40:47Z,90000,-4.0,5.0,1,left,A. Wiggins cutting finger roll Layup (2 PTS) (J. Giddey 1 AST),"[1630598, 1630581]",1610612760.0,OKC,cutting finger roll,,,Wiggins,A. Wiggins,,,,,0.63,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,,
11,PT11M08.00S,2022-01-20T01:40:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,93.38042049934296,48.529411764705884,1610612759,2,2,2022-01-20T01:41:02Z,110000,-7.0,10.0,1,right,MISS D. McDermott driving finger roll Layup,[203926],1610612759.0,SAS,driving finger roll,,,McDermott,D. McDermott,,,,,1.22,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2022-01-20T01:41:01.0Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,2,2,2022-01-20T01:41:02Z,120000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M53.00S,2022-01-20T01:41:11.5Z,1,REGULAR,3pt,Jump Shot,[],1630598,13.61695137976347,93.87254901960785,1610612760,2,2,2022-01-20T01:41:17Z,130000,-219.0,75.0,1,left,MISS A. Wiggins step back 3PT,[1630598],1610612760.0,OKC,step back,,,Wiggins,A. Wiggins,,,,,23.2,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2022-01-20T01:41:13.5Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,2,2,2022-01-20T01:41:17Z,140000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M40.00S,2022-01-20T01:41:25.0Z,1,REGULAR,3pt,Jump Shot,[],1628401,72.35545335085413,20.833333333333336,1610612759,2,2,2022-01-20T01:41:30Z,150000,-146.0,207.0,1,right,MISS D. White 25' 3PT,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2022-01-20T01:41:27.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,2,2,2022-01-20T01:41:30Z,160000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,
17,PT10M38.00S,2022-01-20T01:41:30.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,2,2022-01-20T01:41:30Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M29.00S,2022-01-20T01:41:41.3Z,1,REGULAR,turnover,bad pass,[],1630598,,,1610612760,2,2,2022-01-20T01:46:41Z,180000,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[1630598, 1627749]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,1.0,Murray,1627749.0,,,,,,,,
19,PT10M29.00S,2022-01-20T01:41:41.3Z,1,REGULAR,steal,,[],1627749,,,1610612759,2,2,2022-01-20T01:46:41Z,190000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2022-01-20T01:41:46.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203926,76.82325886990802,88.97058823529412,1610612759,5,2,2022-01-20T01:43:51Z,200000,195.0,165.0,1,right,D. McDermott 25' 3PT running (3 PTS) (D. Murray 1 AST),"[203926, 1627749]",1610612759.0,SAS,running,,,McDermott,D. McDermott,,,,,25.56,Made,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,,
22,PT10M10.00S,2022-01-20T01:42:02.5Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612760,5,2,2022-01-20T01:42:52Z,220000,,,0,,J. Giddey bad pass out-of-bounds TURNOVER (1 TO),[1630581],1610612760.0,OKC,bad pass,,,Giddey,J. Giddey,,,,,,,,,,,,,,,1.0,,,203593.0,,,,,,,
23,PT09M57.00S,2022-01-20T01:42:21.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,69.99014454664915,25.245098039215684,1610612759,5,2,2022-01-20T01:42:26Z,230000,-124.0,230.0,1,right,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2022-01-20T01:42:25.4Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,5,2,2022-01-20T01:42:26Z,240000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT09M42.00S,2022-01-20T01:42:35.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,32.802233902759525,24.754901960784316,1610612760,5,2,2022-01-20T01:42:44Z,250000,126.0,256.0,1,left,MISS L. Dort 28' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,28.52,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2022-01-20T01:42:39.9Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,5,2,2022-01-20T01:42:44Z,260000,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,
27,PT09M36.00S,2022-01-20T01:42:42.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630581,5.995400788436268,3.9215686274509802,1610612760,5,2,2022-01-20T01:45:01Z,270000,230.0,4.0,1,left,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2022-01-20T01:42:42.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,5,2,2022-01-20T01:42:47Z,280000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
